Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Kaique Rocha,br BRA,DF,23-113,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,2.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches
Erick,br BRA,MF,26-219,10,10,892.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,0.3,2.1,8.0,38.0,13.0,0.1,0.0,0.1,0.1,0.1,0.18,0.03,0.21,0.18,0.21,Matches
Fernandinho,br BRA,MF,39-047,9,9,782.0,8.7,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,1.1,0.3,1.6,1.9,20.0,79.0,24.0,0.12,0.23,0.35,0.0,0.23,0.13,0.19,0.31,0.04,0.22,Matches
Lucas Esquivel,ar ARG,DF,22-250,9,9,759.0,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,1.3,1.3,11.0,33.0,32.0,0.0,0.24,0.24,0.0,0.24,0.01,0.15,0.16,0.01,0.16,Matches
Bento,br BRA,GK,25-010,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thiago Heleno,br BRA,DF,35-277,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.4,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Leonardo Godoy,ar ARG,DF,29-053,8,7,536.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,8.0,17.0,34.0,0.17,0.0,0.17,0.17,0.17,0.04,0.06,0.1,0.04,0.1,Matches
Tomás Cuello,ar ARG,"FW,MF",24-107,9,7,504.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.8,20.0,17.0,51.0,0.18,0.18,0.36,0.18,0.36,0.21,0.12,0.33,0.21,0.33,Matches
Pablo,br BRA,"FW,MF",31-363,9,6,450.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,5.0,17.0,18.0,0.4,0.0,0.4,0.4,0.4,0.16,0.09,0.25,0.16,0.25,Matches
Nikão,br BRA,"FW,MF",31-327,7,5,458.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.7,10.0,28.0,23.0,0.2,0.0,0.2,0.2,0.2,0.28,0.06,0.34,0.28,0.34,Matches
Christian,br BRA,"FW,MF",23-184,6,5,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,4.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches
Agustín Canobbio,uy URU,"FW,MF",25-263,6,5,362.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.6,0.6,0.9,1.6,12.0,17.0,32.0,0.5,0.25,0.75,0.5,0.75,0.16,0.24,0.4,0.16,0.4,Matches
Gonzalo Mastriani,uy URU,FW,31-053,9,4,397.0,4.4,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,2.2,1.0,9.0,19.0,0.91,0.0,0.91,0.91,0.91,0.51,0.0,0.51,0.51,0.51,Matches
Julimar,br BRA,"FW,MF",23-147,9,3,388.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.6,1.8,14.0,14.0,35.0,0.0,0.23,0.23,0.0,0.23,0.28,0.14,0.42,0.28,0.42,Matches
Mádson,br BRA,DF,32-159,8,3,364.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,5.0,7.0,22.0,0.0,0.25,0.25,0.0,0.25,0.07,0.23,0.3,0.07,0.3,Matches
Bruno Zapelli,ar ARG,"MF,FW",22-034,9,3,316.0,3.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,2.0,2.7,10.0,15.0,22.0,0.0,0.57,0.57,0.0,0.57,0.18,0.58,0.76,0.18,0.76,Matches
Mateo Gamarra,py PAR,DF,23-244,4,3,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.21,0.2,0.21,Matches
Leonardo Linck,br BRA,GK,23-109,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Filipinho,br BRA,MF,22-246,6,3,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
