Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Ronaldo,br BRA,GK,27-303,10.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,Matches
Shaylon,br BRA,"MF,FW",27-054,9.2,4,2,2,2,0,0,13,0.0,13,10,0,10,7,11,2,0,Matches
Guilherme Romão,br BRA,DF,26-257,9.0,6,1,3,2,1,2,3,66.7,1,8,2,6,12,18,30,0,Matches
Gabriel Baralhas,br BRA,MF,25-254,7.5,17,10,4,13,0,5,16,31.3,11,15,4,11,6,23,13,1,Matches
Luiz Fernando,br BRA,"FW,MF",27-248,7.9,9,6,3,4,2,1,9,11.1,8,12,5,7,5,14,8,0,Matches
Rhaldney,br BRA,MF,25-213,7.2,21,15,4,14,3,6,17,35.3,11,8,3,5,6,27,9,0,Matches
Maguinho,br BRA,"DF,FW",31-166,6.8,15,7,8,5,2,6,8,75.0,2,10,3,7,4,19,7,0,Matches
Adriano Martins,br BRA,DF,27-080,6.6,2,2,1,1,0,2,6,33.3,4,8,7,1,10,12,26,0,Matches
Alix Vinicius,br BRA,DF,24-227,6.1,6,5,4,2,0,4,7,57.1,3,10,8,2,5,11,39,0,Matches
Emiliano Rodríguez,uy URU,FW,20-340,5.9,4,2,0,1,3,1,6,16.7,5,4,0,4,1,5,3,0,Matches
Lucas Kal,br BRA,"MF,DF",28-096,5.6,6,4,2,3,1,3,6,50.0,3,4,1,3,8,14,10,0,Matches
Alejo Cruz,uy URU,"FW,MF",23-293,5.4,12,8,4,5,3,5,10,50.0,5,11,1,10,2,14,5,0,Matches
Bruno Tubarão,br BRA,DF,29-107,4.2,13,8,6,6,1,5,7,71.4,2,3,0,3,3,16,9,0,Matches
Pedrão,br BRA,DF,31-185,3.4,9,3,5,3,1,4,5,80.0,1,6,3,3,0,9,12,0,Matches
Budiga Roni,br BRA,MF,25-066,2.2,3,3,3,0,0,2,6,33.3,4,4,4,0,3,6,8,0,Matches
Luiz Felipe,br BRA,"DF,MF",30-285,2.1,0,0,0,0,0,0,0,0.0,0,2,1,1,4,4,5,0,Matches
Vágner Love,br BRA,"FW,MF",40-009,2.0,0,0,0,0,0,0,4,0.0,4,3,0,3,1,1,2,0,Matches
Derek,br BRA,FW,26-201,1.8,1,0,0,1,0,1,2,50.0,1,4,0,4,1,2,1,0,Matches
Gabriel Barros,br BRA,"FW,MF",22-239,0.9,2,1,2,0,0,2,5,40.0,3,1,0,1,0,2,0,0,Matches
Luiz Gustavo,br BRA,DF,21-021,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches
Max,br BRA,"FW,MF",21-358,2.1,6,3,2,3,1,5,5,100.0,0,1,0,1,0,6,1,0,Matches
Danielzinho,br BRA,"MF,FW",28-161,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Yony González,co COL,"MF,FW",29-345,1.1,0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,3,0,Matches
Mateo Zuleta,co COL,"FW,MF",22-013,0.3,2,1,0,1,1,1,4,25.0,3,1,0,1,1,3,0,0,Matches
Squad Total,0,0,27.0,10.0,139,82,53,67,19,55,141,39.0,86,128,43,85,80,219,201,1,0
Opponent Total,0,0,28.5,10.0,131,88,60,57,14,67,123,54.5,56,103,41,62,84,215,237,4,0
