Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Ronaldo,br BRA,GK,27-303,10.0,282,190,92,25,0,1,0,0,0,0,0,0,190,0,0,Matches
Shaylon,br BRA,"MF,FW",27-054,9.2,424,351,67,26,0,1,50,6,27,9,17,0,319,6,3,Matches
Guilherme Romão,br BRA,DF,26-257,9.0,486,384,99,8,0,0,19,91,0,0,0,0,352,3,7,Matches
Gabriel Baralhas,br BRA,MF,25-254,7.5,301,293,7,3,1,5,7,4,0,0,0,0,248,1,5,Matches
Luiz Fernando,br BRA,"FW,MF",27-248,7.9,205,200,4,1,0,1,10,1,0,0,0,0,144,1,9,Matches
Rhaldney,br BRA,MF,25-213,7.2,375,366,9,6,0,4,3,1,0,0,0,0,335,0,5,Matches
Maguinho,br BRA,"DF,FW",31-166,6.8,342,290,52,1,0,1,22,51,0,0,0,0,266,0,4,Matches
Adriano Martins,br BRA,DF,27-080,6.6,297,292,5,5,0,5,2,0,0,0,0,0,245,0,2,Matches
Alix Vinicius,br BRA,DF,24-227,6.1,297,285,12,10,0,5,0,2,0,0,0,0,261,0,1,Matches
Emiliano Rodríguez,uy URU,FW,20-340,5.9,112,105,6,0,0,0,5,0,0,0,0,0,73,1,5,Matches
Lucas Kal,br BRA,"MF,DF",28-096,5.6,291,276,15,9,0,5,5,3,0,0,0,0,247,0,4,Matches
Alejo Cruz,uy URU,"FW,MF",23-293,5.4,222,189,32,8,0,0,37,10,14,7,5,0,161,1,9,Matches
Bruno Tubarão,br BRA,DF,29-107,4.2,195,166,28,4,0,0,15,24,0,0,0,0,145,1,4,Matches
Pedrão,br BRA,DF,31-185,3.4,164,158,6,5,0,2,0,0,0,0,0,0,141,0,0,Matches
Budiga Roni,br BRA,MF,25-066,2.2,124,121,3,2,0,2,1,0,0,0,0,0,109,0,3,Matches
Luiz Felipe,br BRA,"DF,MF",30-285,2.1,79,75,4,3,0,0,1,1,0,0,0,0,60,0,1,Matches
Vágner Love,br BRA,"FW,MF",40-009,2.0,36,34,2,0,0,0,2,1,0,0,0,0,28,0,3,Matches
Derek,br BRA,FW,26-201,1.8,28,25,3,0,0,0,1,0,0,0,0,0,18,0,3,Matches
Gabriel Barros,br BRA,"FW,MF",22-239,0.9,24,23,1,0,0,1,2,1,0,0,0,0,18,0,1,Matches
Luiz Gustavo,br BRA,DF,21-021,0.5,23,21,2,2,0,0,0,0,0,0,0,0,15,0,0,Matches
Max,br BRA,"FW,MF",21-358,2.1,67,65,2,0,0,0,9,0,0,0,0,0,51,0,5,Matches
Danielzinho,br BRA,"MF,FW",28-161,1.1,112,106,6,1,0,0,6,2,2,1,0,0,92,0,1,Matches
Yony González,co COL,"MF,FW",29-345,1.1,24,23,1,0,0,1,5,1,0,0,0,0,17,0,1,Matches
Mateo Zuleta,co COL,"FW,MF",22-013,0.3,19,19,0,0,0,0,3,0,0,0,0,0,12,0,0,Matches
Squad Total,0,0,27.0,10.0,4529,4057,458,119,1,34,205,199,43,17,22,0,3547,14,76,0
Opponent Total,0,0,28.5,10.0,4924,4480,431,121,6,43,179,172,48,20,16,1,3943,13,100,0
