Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Renzo Saravia,ar ARG,DF,31-004,8.0,2,0,0,22,11,1,17,11,15,0,1,0,54,10,7,58.8,Matches
Paulinho,br BRA,FW,23-341,7.4,2,1,0,7,7,3,4,2,2,0,0,0,30,6,5,54.5,Matches
Éverson,br BRA,GK,33-334,7.0,3,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0.0,Matches
Gustavo Scarpa,br BRA,"DF,MF",30-167,6.3,2,0,0,5,12,1,70,3,5,0,0,0,19,6,8,42.9,Matches
Federico Zaracho,ar ARG,MF,26-102,5.3,1,0,0,6,8,1,4,11,9,0,0,0,29,4,6,40.0,Matches
Hulk,br BRA,FW,37-331,5.0,3,1,1,6,16,6,8,0,1,0,0,0,5,7,5,58.3,Matches
Otávio,br BRA,MF,30-047,5.0,0,0,0,6,4,0,2,9,11,0,0,0,28,9,8,52.9,Matches
Alan Franco,ec ECU,MF,25-304,5.0,3,0,0,11,4,0,4,8,8,0,0,0,19,7,1,87.5,Matches
Rodrigo Battaglia,ar ARG,"DF,MF",32-344,4.4,5,2,2,10,1,0,0,3,3,0,0,0,20,10,10,50.0,Matches
Guilherme Arana,br BRA,DF,27-067,5.1,2,0,0,4,3,2,24,11,8,0,0,0,24,4,9,30.8,Matches
Igor Gomes,br BRA,MF,25-095,4.2,1,0,0,5,6,0,10,4,6,0,0,0,21,2,2,50.0,Matches
Bruno Fuchs,br BRA,DF,25-080,3.9,3,1,1,4,2,0,2,4,6,0,0,0,29,8,5,61.5,Matches
Alisson,br BRA,"DF,MF",18-273,3.4,0,0,0,6,8,0,13,2,6,0,0,0,18,0,5,0.0,Matches
Mauricio Lemos,uy URU,DF,28-175,3.0,3,0,0,10,1,0,0,1,2,0,0,0,8,7,5,58.3,Matches
Jemerson,br BRA,DF,31-301,2.3,2,0,0,2,4,0,1,5,1,0,0,0,10,8,2,80.0,Matches
Igor Rabello,br BRA,"DF,MF",29-053,3.1,1,0,0,4,1,0,0,2,3,0,0,0,10,8,7,53.3,Matches
Rômulo,br BRA,DF,20-141,2.3,0,0,0,3,0,0,1,6,4,0,0,0,11,8,1,88.9,Matches
Carlos Eduardo,br BRA,FW,20-027,1.9,0,0,0,8,5,1,1,1,4,0,0,0,3,2,8,20.0,Matches
Eduardo Vargas,cl CHI,"FW,MF",34-213,1.7,0,0,0,2,4,2,3,1,0,1,0,0,5,9,4,69.2,Matches
Matheus Mendes,br BRA,GK,25-102,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Rubens,br BRA,DF,22-365,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,Matches
Pedrinho,br BRA,"MF,DF",26-068,0.8,1,0,0,1,1,0,2,0,2,0,0,0,5,0,1,0.0,Matches
Brahian Palacios,co COL,"FW,MF",21-209,0.4,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0.0,Matches
Alan Kardec,br BRA,"FW,DF",35-160,0.2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,66.7,Matches
Squad Total,0,0,28.5,8.0,34,5,4,123,105,18,166,84,97,1,1,0,357,117,100,53.9,0
Opponent Total,0,0,28.4,8.0,35,1,0,107,116,7,119,68,77,1,1,0,327,101,117,46.3,0
