Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Renzo Saravia,ar ARG,DF,31-004,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,19.0,51.0,21.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches
Paulinho,br BRA,FW,23-341,8,8,670.0,7.4,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.7,1.9,0.5,2.4,23.0,22.0,66.0,0.4,0.13,0.54,0.27,0.4,0.36,0.06,0.42,0.25,0.32,Matches
Éverson,br BRA,GK,33-334,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Scarpa,br BRA,"DF,MF",30-167,8,7,570.0,6.3,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.9,21.0,38.0,55.0,0.32,0.32,0.63,0.32,0.63,0.08,0.22,0.3,0.08,0.3,Matches
Federico Zaracho,ar ARG,MF,26-102,8,7,477.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,5.0,15.0,21.0,0.38,0.0,0.38,0.38,0.38,0.1,0.03,0.13,0.1,0.13,Matches
Hulk,br BRA,FW,37-331,6,6,448.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.5,0.5,0.6,1.1,5.0,10.0,27.0,0.2,0.4,0.6,0.2,0.6,0.1,0.13,0.23,0.1,0.23,Matches
Otávio,br BRA,MF,30-047,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,7.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Alan Franco,ec ECU,MF,25-304,6,5,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.7,0.8,2.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,Matches
Rodrigo Battaglia,ar ARG,"DF,MF",32-344,5,5,395.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Guilherme Arana,br BRA,DF,27-067,6,4,462.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,11.0,36.0,34.0,0.19,0.19,0.39,0.19,0.39,0.03,0.07,0.1,0.03,0.1,Matches
Igor Gomes,br BRA,MF,25-095,7,4,378.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,5.0,25.0,15.0,0.0,0.48,0.48,0.0,0.48,0.05,0.19,0.25,0.05,0.25,Matches
Bruno Fuchs,br BRA,DF,25-080,4,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Alisson,br BRA,"DF,MF",18-273,7,3,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,12.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches
Mauricio Lemos,uy URU,DF,28-175,5,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches
Jemerson,br BRA,DF,31-301,3,3,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Rabello,br BRA,"DF,MF",29-053,6,2,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches
Rômulo,br BRA,DF,20-141,3,2,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Carlos Eduardo,br BRA,FW,20-027,5,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.23,0.21,0.23,Matches
Eduardo Vargas,cl CHI,"FW,MF",34-213,6,1,151.0,1.7,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.4,2.4,3.0,7.0,19.0,1.79,0.0,1.79,1.79,1.79,1.18,0.23,1.41,1.18,1.41,Matches
Matheus Mendes,br BRA,GK,25-102,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubens,br BRA,DF,22-365,1,1,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedrinho,br BRA,"MF,DF",26-068,4,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.08,0.28,0.35,0.08,0.35,Matches
Brahian Palacios,co COL,"FW,MF",21-209,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Alan Kardec,br BRA,"FW,DF",35-160,3,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,Matches
Robert Conceição,br BRA,MF,20-336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Delfim,br BRA,GK,21-346,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Isaac,br BRA,FW,20-086,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mariano,br BRA,"DF,MF",37-363,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Vitor,br BRA,MF,19-299,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.5,8,88,720.0,8.0,12.0,8.0,20.0,11.0,1.0,1.0,34.0,5.0,8.2,7.4,6.0,13.5,129.0,346.0,344.0,1.5,1.0,2.5,1.37,2.37,1.03,0.75,1.78,0.93,1.68,0
Opponent Total,0,0,28.4,8,88,720.0,8.0,9.0,5.0,14.0,8.0,1.0,1.0,35.0,1.0,8.1,7.3,6.1,13.4,84.0,226.0,224.0,1.13,0.62,1.75,1.0,1.62,1.01,0.76,1.77,0.91,1.67,0
