Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Renzo Saravia,ar ARG,DF,31-004,8.0,638,31,195,344,106,5,638,12,2,16.7,9,75.0,360,1812,1008,19,13,1,11,3,424,21,Matches
Paulinho,br BRA,FW,23-341,7.4,326,2,27,154,153,27,325,19,11,57.9,8,42.1,214,1416,692,23,23,10,12,17,274,66,Matches
Éverson,br BRA,GK,33-334,7.0,234,200,231,3,0,0,234,0,0,0.0,0,0.0,137,611,317,0,0,0,0,0,142,0,Matches
Gustavo Scarpa,br BRA,"DF,MF",30-167,6.3,450,9,68,171,213,10,450,8,3,37.5,2,25.0,268,1547,736,21,14,5,9,3,312,55,Matches
Federico Zaracho,ar ARG,MF,26-102,5.3,300,3,49,166,86,11,300,14,4,28.6,9,64.3,147,598,243,5,5,0,14,6,189,21,Matches
Hulk,br BRA,FW,37-331,5.0,186,4,6,72,108,11,186,7,2,28.6,5,71.4,106,461,204,5,7,3,9,10,149,27,Matches
Otávio,br BRA,MF,30-047,5.0,376,16,98,236,43,4,376,5,5,100.0,0,0.0,225,1124,459,7,6,1,4,3,271,6,Matches
Alan Franco,ec ECU,MF,25-304,5.0,284,8,48,164,73,5,284,1,1,100.0,0,0.0,146,516,226,2,5,1,5,2,190,18,Matches
Rodrigo Battaglia,ar ARG,"DF,MF",32-344,4.4,277,26,121,141,18,3,277,3,2,66.7,1,33.3,135,810,387,1,1,0,2,0,176,0,Matches
Guilherme Arana,br BRA,DF,27-067,5.1,459,10,129,201,131,12,459,11,3,27.3,8,72.7,272,1179,697,11,7,2,5,0,332,34,Matches
Igor Gomes,br BRA,MF,25-095,4.2,268,4,60,139,71,8,268,12,5,41.7,5,41.7,146,711,339,5,4,1,3,7,191,15,Matches
Bruno Fuchs,br BRA,DF,25-080,3.9,301,32,148,141,15,1,301,3,3,100.0,0,0.0,172,835,497,0,1,0,4,1,197,0,Matches
Alisson,br BRA,"DF,MF",18-273,3.4,177,4,21,73,83,11,177,17,6,35.3,7,41.2,118,839,338,12,9,6,7,4,131,38,Matches
Mauricio Lemos,uy URU,DF,28-175,3.0,215,30,88,111,18,8,215,2,1,50.0,1,50.0,122,623,371,1,3,0,1,1,148,2,Matches
Jemerson,br BRA,DF,31-301,2.3,145,9,67,74,4,0,145,0,0,0.0,0,0.0,87,390,150,0,1,0,1,0,105,0,Matches
Igor Rabello,br BRA,"DF,MF",29-053,3.1,188,26,94,86,8,3,188,1,0,0.0,1,100.0,88,431,249,0,2,0,0,0,114,0,Matches
Rômulo,br BRA,DF,20-141,2.3,127,19,66,48,14,3,127,1,1,100.0,0,0.0,55,270,131,3,3,0,3,0,68,2,Matches
Carlos Eduardo,br BRA,FW,20-027,1.9,60,2,6,35,19,9,60,4,3,75.0,0,0.0,28,229,127,5,3,1,6,3,36,5,Matches
Eduardo Vargas,cl CHI,"FW,MF",34-213,1.7,76,3,5,33,39,17,76,5,3,60.0,2,40.0,53,322,132,3,2,0,4,3,63,19,Matches
Matheus Mendes,br BRA,GK,25-102,1.0,39,33,39,0,0,0,39,0,0,0.0,0,0.0,11,69,48,0,0,0,0,0,9,0,Matches
Rubens,br BRA,DF,22-365,0.1,11,2,3,4,4,0,11,0,0,0.0,0,0.0,5,27,4,0,0,0,0,0,8,2,Matches
Pedrinho,br BRA,"MF,DF",26-068,0.8,70,0,6,41,23,2,70,3,2,66.7,1,33.3,44,300,149,4,3,0,2,1,54,9,Matches
Brahian Palacios,co COL,"FW,MF",21-209,0.4,16,0,3,6,7,0,16,1,0,0.0,1,100.0,12,123,78,1,2,0,2,1,12,2,Matches
Alan Kardec,br BRA,"FW,DF",35-160,0.2,5,0,0,0,5,1,5,0,0,0.0,0,0.0,2,15,15,1,1,0,0,0,5,2,Matches
Squad Total,0,0,28.5,8.0,5228,473,1578,2443,1241,151,5227,129,57,44.2,60,46.5,2953,15258,7597,129,115,31,104,65,3600,344,0
Opponent Total,0,0,28.4,8.0,4087,473,1306,1878,947,120,4086,137,48,35.0,72,52.6,2088,10428,5097,84,92,15,130,98,2447,224,0
