Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Marcos Felipe,br BRA,GK,28-068,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,2.0,13.0,9.0,4.0,0.44,0.0,11.6,9.5,2.1,0.23,0.0,Matches
Luciano Juba,br BRA,DF,24-296,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,2.0,13.0,9.0,4.0,0.44,0.0,11.6,9.5,2.1,0.23,0.0,Matches
Jean Lucas,br BRA,MF,25-364,9,793.0,88.0,97.9,8.8,9,88.0,8,0,0.0,0,2.0,13.0,9.0,4.0,0.45,0.45,11.4,9.1,2.3,0.26,1.25,Matches
Caio Alexandre,br BRA,MF,25-117,9,703.0,78.0,86.8,7.8,9,78.0,1,0,0.0,0,2.0,11.0,7.0,4.0,0.51,0.51,9.7,7.6,2.0,0.26,0.19,Matches
Everton Ribeiro,br BRA,"MF,FW",35-071,9,636.0,71.0,78.5,7.1,9,71.0,0,0,0.0,0,2.0,9.0,7.0,2.0,0.28,-0.75,7.5,6.9,0.7,0.09,-0.64,Matches
Gabriel,br BRA,DF,23-045,8,720.0,90.0,88.9,8.0,8,90.0,8,0,0.0,1,2.25,12.0,7.0,5.0,0.62,1.62,10.9,7.6,3.3,0.41,1.61,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28-279,9,678.0,75.0,83.7,7.5,8,79.0,2,1,45.0,0,2.0,10.0,9.0,1.0,0.13,-1.91,9.3,7.7,1.6,0.21,-0.15,Matches
Thaciano,br BRA,FW,29-039,8,616.0,77.0,76.0,6.8,8,77.0,1,0,0.0,0,1.88,10.0,7.0,3.0,0.44,-0.03,8.5,7.1,1.4,0.2,-0.14,Matches
Santiago Arias,co COL,DF,32-159,7,630.0,90.0,77.8,7.0,7,90.0,7,0,0.0,0,2.0,10.0,7.0,3.0,0.43,-0.07,9.4,6.3,3.0,0.43,0.9,Matches
Everaldo Stum,br BRA,FW,32-351,9,454.0,50.0,56.0,5.0,6,67.0,1,3,17.0,0,2.0,7.0,4.0,3.0,0.59,0.34,7.3,3.4,3.9,0.77,1.23,Matches
Kanu,br BRA,DF,27-105,5,450.0,90.0,55.6,5.0,5,90.0,5,0,0.0,2,2.17,7.0,4.0,3.0,0.6,0.35,5.8,4.3,1.5,0.3,0.15,Matches
Víctor Cuesta,ar ARG,DF,35-214,4,328.0,82.0,40.5,3.6,4,82.0,2,0,0.0,3,1.25,5.0,7.0,-2.0,-0.55,-1.67,3.1,5.6,-2.4,-0.67,-1.51,Matches
Ademir Santos,br BRA,"FW,MF",29-125,8,274.0,34.0,33.8,3.0,3,58.0,0,5,20.0,1,2.25,4.0,5.0,-1.0,-0.33,-1.17,3.7,3.6,0.2,0.06,-0.26,Matches
Rezende,br BRA,"MF,DF",29-170,9,296.0,33.0,36.5,3.3,2,90.0,2,7,17.0,0,2.0,5.0,3.0,2.0,0.61,0.26,5.4,4.6,0.8,0.24,0.01,Matches
Gilberto,br BRA,DF,31-105,2,147.0,74.0,18.1,1.6,2,74.0,0,0,0.0,7,2.0,2.0,2.0,0.0,0.0,-0.54,1.5,2.1,-0.5,-0.33,-0.69,Matches
Oscar Estupiñan,co COL,"FW,MF",27-174,5,142.0,28.0,17.5,1.6,1,45.0,0,4,24.0,4,1.2,2.0,0.0,2.0,1.27,1.0,1.4,2.3,-0.9,-0.58,-0.99,Matches
Biel,br BRA,"FW,MF",23-080,9,230.0,26.0,28.4,2.6,0,0.0,0,9,26.0,0,2.0,6.0,2.0,4.0,1.57,1.57,4.7,3.5,1.2,0.48,0.35,Matches
Carlos de Pena,uy URU,"MF,FW",32-101,8,131.0,16.0,16.2,1.5,0,0.0,0,8,16.0,0,2.13,3.0,1.0,2.0,1.37,1.11,2.2,1.7,0.5,0.33,0.12,Matches
