Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Marcos Felipe,br BRA,GK,28-068,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Luciano Juba,br BRA,DF,24-296,9.0,0,6,1,16.7,0.67,0.11,0.0,0.0,25.6,3,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jean Lucas,br BRA,MF,25-364,8.8,1,23,5,21.7,2.61,0.57,0.04,0.2,22.8,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Caio Alexandre,br BRA,MF,25-117,7.8,2,6,3,50.0,0.77,0.38,0.33,0.67,25.5,0,0,0,0.2,0.2,0.03,1.8,1.8,Matches
Everton Ribeiro,br BRA,"MF,FW",35-071,7.1,0,7,2,28.6,0.99,0.28,0.0,0.0,26.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Gabriel,br BRA,DF,23-045,8.0,0,7,2,28.6,0.87,0.25,0.0,0.0,14.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28-279,7.5,1,8,3,37.5,1.06,0.4,0.13,0.33,19.4,1,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Thaciano,br BRA,FW,29-039,6.8,1,15,3,20.0,2.19,0.44,0.07,0.33,13.1,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
Santiago Arias,co COL,DF,32-159,7.0,0,2,0,0.0,0.29,0.0,0.0,0.0,13.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Everaldo Stum,br BRA,FW,32-351,5.0,4,15,8,53.3,2.97,1.59,0.2,0.38,15.6,0,1,1,2.7,1.9,0.14,1.3,1.1,Matches
Kanu,br BRA,DF,27-105,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,15.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Víctor Cuesta,ar ARG,DF,35-214,3.6,0,2,1,50.0,0.55,0.27,0.0,0.0,20.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Ademir Santos,br BRA,"FW,MF",29-125,3.0,1,4,2,50.0,1.31,0.66,0.25,0.5,18.8,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
Rezende,br BRA,"MF,DF",29-170,3.3,0,1,0,0.0,0.3,0.0,0.0,0.0,8.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Gilberto,br BRA,DF,31-105,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Oscar Estupiñan,co COL,"FW,MF",27-174,1.6,0,4,1,25.0,2.54,0.63,0.0,0.0,16.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Biel,br BRA,"FW,MF",23-080,2.6,2,8,2,25.0,3.13,0.78,0.25,1.0,16.4,0,0,0,1.7,1.7,0.22,0.3,0.3,Matches
Carlos de Pena,uy URU,"MF,FW",32-101,1.5,0,2,1,50.0,1.37,0.69,0.0,0.0,23.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rafael Ratão,br BRA,FW,28-203,0.4,1,2,2,100.0,4.86,4.86,0.5,0.5,11.1,0,0,0,1.1,1.1,0.56,-0.1,-0.1,Matches
Cicinho,bg BUL,"DF,MF",35-177,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Yago,br BRA,MF,29-138,0.1,0,2,0,0.0,22.5,0.0,0.0,0.0,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Squad Total,0,0,28.5,9.0,13,115,37,32.2,12.78,4.11,0.1,0.32,19.1,4,1,1,11.6,10.8,0.1,1.4,1.2,0
Opponent Total,0,0,28.7,9.0,9,132,47,35.6,14.67,5.22,0.07,0.19,20.1,8,0,0,9.5,9.5,0.07,-0.5,-0.5,0
