Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Bastos,ao ANG,DF,33-085,9.4,621,75,276,329,21,9,621,1,0,0.0,1,100.0,370,1436,666,5,3,0,5,0,440,1,Matches
Júnior Santos,br BRA,FW,29-253,8.8,302,7,24,114,170,48,302,26,16,61.5,10,38.5,187,1475,735,27,16,17,31,14,223,74,Matches
Lucas Halter,br BRA,DF,24-049,7.8,523,80,258,255,11,4,523,0,0,0.0,0,0.0,307,1508,965,4,4,0,3,0,388,0,Matches
Marlon Freitas,br BRA,MF,29-085,7.4,541,24,132,332,79,1,541,2,1,50.0,1,50.0,306,1428,802,12,6,0,2,3,383,12,Matches
Luiz Henrique,br BRA,"MF,FW",23-170,6.2,239,8,41,100,102,17,239,12,6,50.0,5,41.7,149,858,321,11,12,6,17,17,180,41,Matches
John,br BRA,GK,28-128,7.0,294,205,289,5,0,0,294,0,0,0.0,0,0.0,177,987,576,0,0,0,1,0,146,0,Matches
Tchê Tchê,br BRA,"MF,FW",31-295,6.8,343,6,55,213,80,7,343,5,4,80.0,1,20.0,225,1190,520,12,8,0,8,7,268,18,Matches
Damián Suárez,uy URU,DF,36-054,6.4,366,23,108,158,103,4,366,3,3,100.0,0,0.0,157,502,310,6,7,1,8,1,196,27,Matches
Danilo Barbosa,br BRA,MF,28-113,5.3,320,20,87,193,42,7,320,7,6,85.7,1,14.3,164,694,339,6,3,1,11,10,219,5,Matches
Cuiabano,br BRA,DF,21-125,5.5,339,15,82,144,117,9,339,7,2,28.6,5,71.4,138,725,415,12,6,3,5,1,160,48,Matches
Gregore,br BRA,MF,30-110,4.9,373,26,104,257,15,1,373,2,2,100.0,0,0.0,222,874,385,1,4,0,5,8,237,5,Matches
Jeffinho,br BRA,"FW,MF",24-173,3.6,148,1,20,68,65,15,148,14,7,50.0,7,50.0,96,511,206,6,6,2,9,13,109,22,Matches
Jefferson Savarino,ve VEN,"MF,FW",27-222,4.9,219,4,23,90,107,15,219,4,1,25.0,2,50.0,125,584,303,9,7,2,14,8,158,33,Matches
Hugo,br BRA,DF,22-274,4.0,226,11,72,104,51,4,226,4,1,25.0,1,25.0,98,438,218,8,3,2,7,0,118,9,Matches
Mateo Ponte,uy URU,DF,21-027,3.3,161,9,45,88,31,3,161,7,3,42.9,3,42.9,77,342,194,8,2,0,2,4,88,18,Matches
Óscar Romero,py PAR,"MF,FW",31-352,3.4,209,5,26,117,68,5,209,8,6,75.0,2,25.0,129,580,227,5,7,1,12,7,140,21,Matches
Tiquinho Soares,br BRA,FW,33-155,3.2,108,3,10,60,38,13,107,3,2,66.7,1,33.3,59,198,68,1,0,0,9,11,88,13,Matches
Gatito Fernández,py PAR,GK,36-083,3.0,101,85,101,0,0,0,101,0,0,0.0,0,0.0,51,222,135,0,0,0,0,0,55,0,Matches
Alexander Barboza,ar ARG,DF,29-096,2.4,145,20,62,76,8,4,145,0,0,0.0,0,0.0,82,333,137,1,0,0,2,1,88,2,Matches
Carlos Eduardo,br BRA,FW,34-247,2.1,78,2,8,47,23,3,78,3,1,33.3,2,66.7,48,226,128,3,3,0,3,1,60,6,Matches
Fernando Marçal,br BRA,DF,35-122,0.5,41,5,20,12,9,0,41,0,0,0.0,0,0.0,19,93,28,1,0,0,1,0,20,1,Matches
Matheus Nascimento,br BRA,FW,20-109,0.3,6,0,0,2,4,1,6,0,0,0.0,0,0.0,4,24,22,1,1,0,2,0,5,1,Matches
Diego Hernández,uy URU,"FW,MF",23-364,1.8,93,1,16,44,33,3,93,4,1,25.0,3,75.0,41,181,52,1,2,1,3,2,47,8,Matches
Yarlen Augusto,br BRA,MF,18-121,0.9,24,1,6,5,13,1,24,3,0,0.0,3,100.0,14,73,27,1,0,1,2,4,18,6,Matches
Pablo,br BRA,DF,32-365,0.3,23,4,7,16,0,0,23,1,1,100.0,0,0.0,5,28,17,0,0,0,1,0,16,0,Matches
Fabiano,br BRA,DF,18-066,0.2,11,1,2,6,3,0,11,1,1,100.0,0,0.0,9,58,23,1,0,0,1,1,9,2,Matches
Jacob Montes,ni NCA,"FW,MF",25-244,0.2,9,0,2,3,4,2,9,1,1,100.0,0,0.0,2,22,0,0,0,0,1,0,7,1,Matches
Patrick de Paula,br BRA,MF,24-286,0.2,8,0,0,7,2,0,8,0,0,0.0,0,0.0,3,21,18,1,1,0,1,0,4,1,Matches
Squad Total,0,0,28.6,10.0,5871,641,1876,2845,1199,176,5870,118,65,55.1,48,40.7,3264,15611,7837,143,101,37,166,113,3870,375,0
Opponent Total,0,0,28.2,10.0,5546,534,1618,2596,1370,213,5545,182,77,42.3,90,49.5,2903,15496,7628,157,110,45,138,82,3581,380,0
