Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Bastos,ao ANG,DF,33-085,9.4,2,7,2,28.6,0.74,0.21,0.29,1.0,9.2,0,0,0,0.6,0.6,0.09,1.4,1.4,Matches
Júnior Santos,br BRA,FW,29-253,8.8,3,20,8,40.0,2.28,0.91,0.15,0.38,15.2,0,0,0,3.2,3.2,0.16,-0.2,-0.2,Matches
Lucas Halter,br BRA,DF,24-049,7.8,0,4,1,25.0,0.51,0.13,0.0,0.0,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Marlon Freitas,br BRA,MF,29-085,7.4,0,6,1,16.7,0.81,0.13,0.0,0.0,23.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Luiz Henrique,br BRA,"MF,FW",23-170,6.2,1,11,2,18.2,1.76,0.32,0.09,0.5,24.4,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
John,br BRA,GK,28-128,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Tchê Tchê,br BRA,"MF,FW",31-295,6.8,0,8,1,12.5,1.17,0.15,0.0,0.0,27.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Damián Suárez,uy URU,DF,36-054,6.4,0,3,0,0.0,0.47,0.0,0.0,0.0,30.8,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Danilo Barbosa,br BRA,MF,28-113,5.3,3,7,3,42.9,1.32,0.56,0.43,1.0,15.0,0,0,0,1.0,1.0,0.14,2.0,2.0,Matches
Cuiabano,br BRA,DF,21-125,5.5,1,8,3,37.5,1.45,0.55,0.13,0.33,16.6,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Gregore,br BRA,MF,30-110,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,11.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jeffinho,br BRA,"FW,MF",24-173,3.6,1,10,5,50.0,2.78,1.39,0.1,0.2,19.4,1,0,0,1.7,1.7,0.18,-0.7,-0.7,Matches
Jefferson Savarino,ve VEN,"MF,FW",27-222,4.9,2,11,6,54.5,2.26,1.23,0.18,0.33,20.0,1,0,0,0.7,0.7,0.06,1.3,1.3,Matches
Hugo,br BRA,DF,22-274,4.0,0,2,0,0.0,0.5,0.0,0.0,0.0,18.3,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
Mateo Ponte,uy URU,DF,21-027,3.3,1,2,1,50.0,0.61,0.3,0.5,1.0,15.5,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
Óscar Romero,py PAR,"MF,FW",31-352,3.4,0,3,2,66.7,0.87,0.58,0.0,0.0,31.4,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Tiquinho Soares,br BRA,FW,33-155,3.2,2,5,1,20.0,1.57,0.31,0.2,1.0,12.4,0,1,1,2.0,1.2,0.24,0.0,-0.2,Matches
Gatito Fernández,py PAR,GK,36-083,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Alexander Barboza,ar ARG,DF,29-096,2.4,0,6,1,16.7,2.52,0.42,0.0,0.0,21.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Carlos Eduardo,br BRA,FW,34-247,2.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Marçal,br BRA,DF,35-122,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Nascimento,br BRA,FW,20-109,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Hernández,uy URU,"FW,MF",23-364,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Yarlen Augusto,br BRA,MF,18-121,0.9,0,1,0,0.0,1.14,0.0,0.0,0.0,17.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Pablo,br BRA,DF,32-365,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Fabiano,br BRA,DF,18-066,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Jacob Montes,ni NCA,"FW,MF",25-244,0.2,1,1,1,100.0,4.74,4.74,1.0,1.0,13.1,0,0,0,0.1,0.1,0.12,0.9,0.9,Matches
Patrick de Paula,br BRA,MF,24-286,0.2,0,1,0,0.0,6.0,0.0,0.0,0.0,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Squad Total,0,0,28.6,10.0,17,117,39,33.3,11.7,3.9,0.14,0.41,19.3,4,1,1,12.0,11.2,0.1,5.0,4.8,0
Opponent Total,0,0,28.2,10.0,9,126,31,24.6,12.6,3.1,0.06,0.26,19.6,3,1,1,10.3,9.6,0.08,-1.3,-1.6,0
