Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Hugo,br BRA,DF,26-296,9.3,24,13,10,10,4,14,21,66.7,7,10,4,6,8,32,37,0,Matches
Rodrigo Garro,ar ARG,"MF,FW",26-168,8.7,10,7,1,4,5,7,24,29.2,17,13,3,10,9,19,3,0,Matches
Raniele,br BRA,MF,27-172,8.4,14,9,5,8,1,6,20,30.0,14,17,6,11,13,27,17,0,Matches
Wesley Ribeiro,br BRA,FW,19-107,8.1,7,5,1,4,2,5,8,62.5,3,11,0,11,4,11,0,0,Matches
Félix Torres Caicedo,ec ECU,DF,27-161,7.0,6,2,5,1,0,4,8,50.0,4,8,3,5,15,21,29,0,Matches
Cacá,br BRA,DF,25-056,6.8,6,3,5,1,0,4,7,57.1,3,18,13,5,2,8,35,1,Matches
Yuri Alberto,br BRA,FW,23-094,6.2,5,3,0,2,3,2,4,50.0,2,2,0,2,6,11,5,0,Matches
Carlos Miguel,br BRA,GK,25-255,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,Matches
Breno,br BRA,MF,19-121,5.6,4,1,0,2,2,0,5,0.0,5,14,2,12,5,9,6,0,Matches
Igor Coronado,br BRA,"MF,FW",31-307,5.6,9,5,3,3,3,1,6,16.7,5,12,1,11,4,13,5,0,Matches
Matheuzinho,br BRA,"DF,FW",23-286,6.0,14,12,10,4,0,8,17,47.1,9,8,3,5,7,21,21,1,Matches
Ángel Romero,py PAR,FW,31-352,4.7,2,2,0,2,0,1,5,20.0,4,2,0,2,0,2,4,0,Matches
Fagner,br BRA,"DF,MF",35-009,4.3,7,3,2,3,2,4,9,44.4,5,2,1,1,3,10,6,0,Matches
Gustavo Henrique,br BRA,DF,31-088,4.2,4,3,3,1,0,3,3,100.0,0,5,3,2,5,9,18,0,Matches
Cássio,br BRA,GK,37-014,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,Matches
Gustavo Mosquito,br BRA,FW,26-287,3.0,4,3,1,2,1,0,5,0.0,5,1,0,1,2,6,1,0,Matches
Fausto Vera,ar ARG,MF,24-086,2.4,1,1,0,1,0,1,4,25.0,3,2,1,1,5,6,0,0,Matches
Pedro Henrique,br BRA,FW,34-004,0.8,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,2,0,Matches
Pedro Raul,br BRA,FW,27-228,2.1,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0,Matches
Paulinho,br BRA,MF,35-331,1.3,6,5,2,3,1,4,6,66.7,2,2,1,1,0,6,3,0,Matches
Caetano,br BRA,"DF,FW",24-362,1.2,1,1,1,0,0,1,1,100.0,0,1,1,0,4,5,11,0,Matches
Raul Bicalho,br BRA,DF,25-057,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,4,2,0,Matches
Matheus Donelli,br BRA,GK,22-034,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Gabriel Moscardo,br BRA,MF,18-266,0.9,4,3,2,2,0,2,4,50.0,2,1,0,1,0,4,4,0,Matches
Maycon,br BRA,MF,26-341,0.5,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Matheus Bidu,br BRA,DF,25-047,0.5,0,0,0,0,0,0,0,0.0,0,1,0,1,2,2,2,0,Matches
Giovane,br BRA,"MF,DF",20-209,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Guilherme Biro,br BRA,MF,20-061,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Léo Mana,br BRA,DF,20-075,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
João Pedro,br BRA,DF,20-172,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Matheus Araújo,br BRA,FW,22-029,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.6,10.0,132,83,51,56,25,68,162,42.0,94,133,42,91,98,230,218,4,0
Opponent Total,0,0,28.8,10.0,191,132,92,73,26,87,173,50.3,86,108,36,72,83,274,216,3,0
