Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Hugo,br BRA,DF,26-296,9.3,1,0,0,16,7,0,4,8,13,0,1,0,32,22,12,64.7,Matches
Rodrigo Garro,ar ARG,"MF,FW",26-168,8.7,4,0,0,14,29,1,62,9,7,0,0,0,55,4,10,28.6,Matches
Raniele,br BRA,MF,27-172,8.4,3,0,0,10,16,0,3,13,9,0,0,0,36,17,13,56.7,Matches
Wesley Ribeiro,br BRA,FW,19-107,8.1,2,0,0,8,15,2,25,4,5,0,0,0,30,1,4,20.0,Matches
Félix Torres Caicedo,ec ECU,DF,27-161,7.0,1,0,0,7,2,1,1,15,2,0,0,0,37,20,9,69.0,Matches
Cacá,br BRA,DF,25-056,6.8,0,0,0,8,7,0,0,2,3,0,0,2,18,21,8,72.4,Matches
Yuri Alberto,br BRA,FW,23-094,6.2,3,0,0,7,11,3,1,6,3,0,0,0,25,11,12,47.8,Matches
Carlos Miguel,br BRA,GK,25-255,6.0,3,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0,Matches
Breno,br BRA,MF,19-121,5.6,2,0,0,13,10,1,4,5,1,0,0,0,30,5,0,100.0,Matches
Igor Coronado,br BRA,"MF,FW",31-307,5.6,0,0,0,7,5,0,44,4,5,0,0,0,17,2,5,28.6,Matches
Matheuzinho,br BRA,"DF,FW",23-286,6.0,1,0,0,5,8,0,22,7,12,0,0,0,19,1,2,33.3,Matches
Ángel Romero,py PAR,FW,31-352,4.7,2,0,0,3,12,3,12,0,2,0,0,0,17,6,9,40.0,Matches
Fagner,br BRA,"DF,MF",35-009,4.3,1,0,0,1,1,0,17,3,3,0,0,0,12,1,0,100.0,Matches
Gustavo Henrique,br BRA,DF,31-088,4.2,2,1,1,5,2,0,0,5,3,0,0,0,6,14,6,70.0,Matches
Cássio,br BRA,GK,37-014,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Gustavo Mosquito,br BRA,FW,26-287,3.0,1,0,0,4,2,0,10,2,3,0,0,0,13,1,0,100.0,Matches
Fausto Vera,ar ARG,MF,24-086,2.4,0,0,0,2,3,0,0,5,1,0,0,0,8,1,5,16.7,Matches
Pedro Henrique,br BRA,FW,34-004,0.8,1,0,0,1,2,1,2,0,1,0,0,0,4,1,1,50.0,Matches
Pedro Raul,br BRA,FW,27-228,2.1,0,0,0,4,4,1,0,0,1,0,0,0,9,4,13,23.5,Matches
Paulinho,br BRA,MF,35-331,1.3,0,0,0,1,3,0,0,0,5,0,0,0,6,6,4,60.0,Matches
Caetano,br BRA,"DF,FW",24-362,1.2,2,1,1,3,0,0,0,4,1,0,0,0,6,1,3,25.0,Matches
Raul Bicalho,br BRA,DF,25-057,1.0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,4,20.0,Matches
Matheus Donelli,br BRA,GK,22-034,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,Matches
Gabriel Moscardo,br BRA,MF,18-266,0.9,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,75.0,Matches
Maycon,br BRA,MF,26-341,0.5,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,75.0,Matches
Matheus Bidu,br BRA,DF,25-047,0.5,0,0,0,3,4,0,1,2,0,0,0,0,8,1,0,100.0,Matches
Giovane,br BRA,"MF,DF",20-209,0.4,0,0,0,2,1,0,3,0,0,0,0,0,1,1,0,100.0,Matches
Guilherme Biro,br BRA,MF,20-061,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Léo Mana,br BRA,DF,20-075,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Matches
João Pedro,br BRA,DF,20-172,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Matheus Araújo,br BRA,FW,22-029,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,26.6,10.0,30,2,2,129,145,13,212,98,83,0,1,2,406,150,122,55.1,0
Opponent Total,0,0,28.8,10.0,35,2,2,150,127,17,177,83,132,1,0,0,433,122,150,44.9,0
