Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Hugo,br BRA,DF,26-296,9.3,524,34,173,271,83,12,524,5,4,80.0,0,0.0,209,1011,599,12,1,1,8,7,259,18,Matches
Rodrigo Garro,ar ARG,"MF,FW",26-168,8.7,537,5,70,290,186,16,537,19,8,42.1,9,47.4,287,1364,666,12,12,3,9,17,350,32,Matches
Raniele,br BRA,MF,27-172,8.4,385,17,121,219,49,14,385,6,4,66.7,2,33.3,178,952,435,10,6,1,11,1,216,11,Matches
Wesley Ribeiro,br BRA,FW,19-107,8.1,294,0,21,127,158,19,294,64,29,45.3,31,48.4,200,1992,1001,34,28,10,18,16,212,59,Matches
Félix Torres Caicedo,ec ECU,DF,27-161,7.0,499,58,239,240,24,12,499,5,2,40.0,3,60.0,251,1107,593,3,2,0,4,1,304,0,Matches
Cacá,br BRA,DF,25-056,6.8,377,68,209,158,11,7,377,2,1,50.0,0,0.0,222,927,491,1,0,0,2,4,244,0,Matches
Yuri Alberto,br BRA,FW,23-094,6.2,176,4,11,74,93,31,176,9,4,44.4,5,55.6,101,487,184,9,4,5,18,9,118,31,Matches
Carlos Miguel,br BRA,GK,25-255,6.0,201,159,200,1,0,0,201,0,0,0.0,0,0.0,104,462,314,0,0,0,0,0,78,0,Matches
Breno,br BRA,MF,19-121,5.6,264,11,52,161,53,3,264,4,1,25.0,2,50.0,146,592,250,5,3,0,6,8,170,10,Matches
Igor Coronado,br BRA,"MF,FW",31-307,5.6,351,8,42,173,139,12,351,26,12,46.2,12,46.2,205,1169,575,17,18,2,22,12,244,35,Matches
Matheuzinho,br BRA,"DF,FW",23-286,6.0,334,17,110,128,97,10,334,2,1,50.0,1,50.0,130,604,310,3,8,0,5,2,167,30,Matches
Ángel Romero,py PAR,FW,31-352,4.7,178,5,8,82,89,11,178,13,6,46.2,7,53.8,108,470,210,7,3,1,14,5,139,38,Matches
Fagner,br BRA,"DF,MF",35-009,4.3,242,8,64,122,57,0,242,3,2,66.7,1,33.3,109,483,328,5,3,0,1,0,138,9,Matches
Gustavo Henrique,br BRA,DF,31-088,4.2,218,30,109,101,8,8,218,0,0,0.0,0,0.0,110,415,193,1,0,0,2,1,139,1,Matches
Cássio,br BRA,GK,37-014,3.0,91,75,91,0,0,0,91,0,0,0.0,0,0.0,53,294,187,0,0,0,0,0,36,0,Matches
Gustavo Mosquito,br BRA,FW,26-287,3.0,110,0,7,48,57,9,110,11,3,27.3,7,63.6,73,482,206,6,5,5,5,8,84,26,Matches
Fausto Vera,ar ARG,MF,24-086,2.4,162,2,24,105,33,3,162,5,2,40.0,3,60.0,90,495,255,6,3,0,1,3,120,6,Matches
Pedro Henrique,br BRA,FW,34-004,0.8,29,2,4,13,12,2,29,0,0,0.0,0,0.0,16,98,45,2,2,0,0,0,18,3,Matches
Pedro Raul,br BRA,FW,27-228,2.1,62,1,4,36,23,10,62,4,3,75.0,1,25.0,29,117,43,2,2,1,6,2,38,12,Matches
Paulinho,br BRA,MF,35-331,1.3,82,4,23,40,20,11,82,0,0,0.0,0,0.0,32,179,69,3,2,0,4,2,48,2,Matches
Caetano,br BRA,"DF,FW",24-362,1.2,70,15,37,32,1,1,70,0,0,0.0,0,0.0,39,163,116,0,0,0,0,0,45,0,Matches
Raul Bicalho,br BRA,DF,25-057,1.0,71,4,39,27,5,1,71,3,2,66.7,1,33.3,37,130,62,1,0,0,1,0,47,2,Matches
Matheus Donelli,br BRA,GK,22-034,1.0,32,29,32,0,0,0,32,0,0,0.0,0,0.0,15,58,29,0,0,0,0,0,17,0,Matches
Gabriel Moscardo,br BRA,MF,18-266,0.9,35,4,10,18,7,1,35,0,0,0.0,0,0.0,17,80,39,1,0,0,1,2,22,0,Matches
Maycon,br BRA,MF,26-341,0.5,37,0,7,22,8,0,37,0,0,0.0,0,0.0,14,133,99,3,2,0,0,1,23,2,Matches
Matheus Bidu,br BRA,DF,25-047,0.5,49,4,17,26,6,0,49,0,0,0.0,0,0.0,31,142,85,3,0,0,0,1,29,0,Matches
Giovane,br BRA,"MF,DF",20-209,0.4,15,0,3,8,4,0,15,3,1,33.3,2,66.7,11,70,22,0,0,0,2,2,12,1,Matches
Guilherme Biro,br BRA,MF,20-061,0.1,10,0,0,4,6,0,10,0,0,0.0,0,0.0,8,50,25,0,1,0,0,0,9,1,Matches
Léo Mana,br BRA,DF,20-075,0.1,17,1,5,7,5,0,17,0,0,0.0,0,0.0,9,36,24,1,1,0,2,0,10,1,Matches
João Pedro,br BRA,DF,20-172,0.1,5,3,3,2,0,0,5,1,1,100.0,0,0.0,1,6,0,0,0,0,0,0,1,0,Matches
Matheus Araújo,br BRA,FW,22-029,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.6,10.0,5457,568,1735,2535,1234,193,5457,185,86,46.5,87,47.0,2835,14568,7455,147,106,29,142,104,3337,330,0
Opponent Total,0,0,28.8,10.0,5810,608,1870,2547,1448,184,5809,176,94,53.4,68,38.6,2989,15727,8341,159,133,37,135,64,3669,334,0
