Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Barreto,br BRA,MF,28-193,7.6,12,5,8,3,1,6,17,35.3,11,21,7,14,3,15,12,0,Matches
Rodrigo Fagundes,br BRA,DF,37-102,7.0,9,8,7,2,0,5,5,100.0,0,14,12,2,12,21,46,0,Matches
Marcelo Hermes,br BRA,"DF,MF",29-140,6.7,7,4,4,2,1,4,12,33.3,8,6,0,6,10,17,19,0,Matches
Yannick Bolasie,cd COD,FW,35-027,6.6,5,4,1,2,2,2,3,66.7,1,2,1,1,2,7,0,0,Matches
Marquinhos Gabriel,br BRA,MF,33-335,5.1,4,2,3,0,1,2,5,40.0,3,5,0,5,3,7,5,0,Matches
Higor Meritão,br BRA,MF,29-363,5.1,9,5,5,4,0,4,14,28.6,10,10,5,5,10,19,10,1,Matches
Claudinho,br BRA,DF,23-270,5.0,9,5,7,0,2,7,18,38.9,11,8,2,6,9,18,15,0,Matches
Gustavo,br BRA,GK,31-102,4.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,Matches
Tobias Figueiredo,pt POR,DF,30-139,4.0,6,5,4,2,0,4,6,66.7,2,8,7,1,4,10,23,0,Matches
Matheusinho,br BRA,"MF,FW",26-130,3.9,6,2,4,1,1,3,4,75.0,1,4,0,4,3,9,3,0,Matches
Éder,it ITA,FW,37-218,3.6,4,2,0,3,1,1,2,50.0,1,0,0,0,0,4,0,0,Matches
Arthur,br BRA,"FW,MF",32-005,3.7,0,0,0,0,0,0,2,0.0,2,5,0,5,0,0,4,0,Matches
Ronald,br BRA,MF,27-002,3.5,13,8,6,6,1,6,10,60.0,4,3,0,3,2,15,1,0,Matches
Walisson Maia,br BRA,DF,32-304,3.4,4,3,4,0,0,0,1,0.0,1,3,3,0,2,6,22,1,Matches
Alisson,br BRA,GK,29-012,3.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Jonathan,br BRA,DF,31-300,2.9,4,1,4,0,0,3,4,75.0,1,4,0,4,2,6,5,0,Matches
Fellipe Mateus,br BRA,MF,33-129,2.9,0,0,0,0,0,0,7,0.0,7,6,2,4,1,1,2,0,Matches
Newton,br BRA,MF,24-100,2.2,2,2,0,2,0,0,1,0.0,1,1,1,0,1,3,8,0,Matches
Miguel Trauco,pe PER,DF,31-300,2.2,5,3,3,2,0,2,3,66.7,1,2,0,2,1,6,10,0,Matches
Wilker Ángel,ve VEN,DF,31-094,1.8,1,1,1,0,0,1,2,50.0,1,3,2,1,0,1,17,0,Matches
Renato Kayser,br BRA,FW,28-124,0.9,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0,Matches
Felipe Vizeu,br BRA,FW,27-100,0.5,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Yerson Candelo,co COL,DF,32-117,0.3,3,1,1,2,0,0,0,0.0,0,0,0,0,1,4,0,0,Matches
Allano,br BRA,FW,29-057,0.2,4,3,3,1,0,2,2,100.0,0,2,0,2,0,4,0,0,Matches
Mateo Barcia,uy URU,"MF,FW",23-122,0.2,3,2,1,2,0,2,4,50.0,2,0,0,0,1,4,1,0,Matches
João Carlos,br BRA,FW,22-365,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Eliédson,br BRA,MF,21-095,0.0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Squad Total,0,0,31.0,8.0,111,66,67,34,10,54,122,44.3,68,109,43,66,67,178,205,3,0
Opponent Total,0,0,28.4,8.0,147,99,41,80,26,58,132,43.9,74,103,24,79,74,221,114,1,0
