Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Anderson,br BRA,GK,26-107,9.0,233,164,69,7,0,3,0,0,0,0,0,0,197,0,0,Matches
William,br BRA,DF,29-078,9.0,508,423,82,10,0,2,46,72,0,0,0,0,384,3,15,Matches
Lucas Silva,br BRA,MF,31-125,7.3,322,294,27,4,0,1,11,1,16,6,4,0,273,1,3,Matches
João Marcelo,br BRA,DF,24-007,8.0,395,385,10,9,0,0,1,0,0,0,0,0,357,0,1,Matches
Matheus Pereira,pt POR,"FW,MF",28-046,7.9,389,328,58,20,2,2,41,1,27,11,13,0,300,3,12,Matches
Marlon,br BRA,DF,27-031,7.4,420,360,60,7,0,10,19,52,1,1,0,0,340,0,9,Matches
Rafael Silva,br BRA,FW,32-077,5.9,98,97,1,0,0,0,2,0,0,0,0,0,83,0,7,Matches
Zé Ivaldo,br BRA,DF,27-120,7.5,346,324,19,17,0,8,3,2,0,0,0,0,271,3,9,Matches
Lucas Romero,ar ARG,MF,30-063,6.5,408,383,23,18,0,3,0,5,0,0,0,0,360,2,5,Matches
Ramiro Benetti,br BRA,MF,31-029,5.0,228,221,6,3,1,0,3,2,0,0,0,0,184,1,5,Matches
Arthur,br BRA,FW,25-353,4.0,110,108,2,1,0,0,9,1,0,0,0,0,83,0,5,Matches
Gabriel Veron,br BRA,"MF,FW",21-291,3.6,82,82,0,0,0,0,3,0,0,0,0,0,58,0,2,Matches
Álvaro Barreal,ar ARG,"MF,FW",23-308,3.5,177,170,6,0,0,0,16,4,2,0,2,0,125,1,6,Matches
Neris,br BRA,DF,32-003,2.6,115,112,2,2,0,2,0,0,0,0,0,0,101,1,3,Matches
Robert,br BRA,MF,19-068,2.3,54,54,0,0,0,0,2,0,0,0,0,0,38,0,2,Matches
Machado,br BRA,MF,28-152,1.2,50,45,5,2,0,3,3,0,3,0,2,0,44,0,0,Matches
Kaiki,br BRA,DF,21-104,1.3,59,47,12,0,0,0,2,12,0,0,0,0,53,0,0,Matches
José Cifuentes,ec ECU,MF,25-100,0.8,39,39,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
Vitor Hugo Amorim,br BRA,MF,20-123,1.3,47,45,2,2,0,0,1,0,0,0,0,0,38,0,1,Matches
Rafael Elias,br BRA,FW,25-069,1.1,24,23,1,0,0,0,0,0,0,0,0,0,17,0,1,Matches
João Pedro,br BRA,"FW,MF",21-139,0.9,23,23,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches
João Wellington,br BRA,MF,20-170,0.8,22,20,2,0,0,0,0,2,0,0,0,0,18,0,0,Matches
Mateus Vital,br BRA,MF,26-129,0.8,35,35,0,0,0,0,1,0,0,0,0,0,29,0,1,Matches
Arthur Rodrigues,br BRA,FW,20-129,0.5,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Lucas Villalba,ar ARG,"DF,MF",29-306,0.3,18,15,3,2,0,0,0,1,0,0,0,0,15,0,0,Matches
Wesley Gasolina,br BRA,MF,24-099,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,27.4,9.0,4211,3806,390,104,3,34,164,155,49,18,21,0,3415,15,87,0
Opponent Total,0,0,28.8,9.0,4351,3916,433,118,3,51,173,186,41,16,17,0,3566,2,101,0
