Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Walter,br BRA,GK,36-215,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Marllon Borges,br BRA,DF,32-065,9.0,0,4,1,25.0,0.44,0.11,0.0,0.0,12.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Isidro Pitta,py PAR,FW,24-311,7.9,3,19,4,21.1,2.4,0.51,0.11,0.5,17.4,0,1,1,3.2,2.4,0.12,-0.2,-0.4,Matches
Alan Empereur,br BRA,DF,30-102,7.9,0,2,0,0.0,0.25,0.0,0.0,0.0,11.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Clayson,br BRA,"FW,MF",29-093,6.9,3,21,7,33.3,3.06,1.02,0.14,0.43,19.0,4,0,0,1.3,1.3,0.06,1.7,1.7,Matches
Denilson,br BRA,MF,23-089,6.3,0,6,3,50.0,0.95,0.47,0.0,0.0,25.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Matheus Alexandre,br BRA,DF,25-074,7.3,0,2,0,0.0,0.28,0.0,0.0,0.0,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Lucas Mineiro,br BRA,MF,28-117,6.9,0,3,1,33.3,0.43,0.14,0.0,0.0,18.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ramon,br BRA,DF,23-099,6.4,2,3,2,66.7,0.47,0.31,0.67,1.0,19.5,0,0,0,0.4,0.4,0.14,1.6,1.6,Matches
Fernando Sobral,br BRA,MF,29-186,6.0,1,7,1,14.3,1.17,0.17,0.0,0.0,30.2,0,1,1,1.0,0.2,0.03,0.0,-0.2,Matches
Max,br BRA,"MF,FW",23-039,5.0,1,8,2,25.0,1.6,0.4,0.13,0.5,23.9,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Jonathan Cafu,br BRA,"FW,MF",32-346,5.2,1,8,4,50.0,1.55,0.78,0.13,0.25,12.8,0,0,0,2.0,2.0,0.25,-1.0,-1.0,Matches
Bruno Fabiano Alves,br BRA,DF,33-065,4.3,0,4,1,25.0,0.94,0.23,0.0,0.0,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rikelme,br BRA,DF,20-340,3.7,0,1,1,100.0,0.27,0.27,0.0,0.0,33.0,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Derik Lacerda,br BRA,"MF,FW",24-267,3.1,0,3,0,0.0,0.98,0.0,0.0,0.0,16.5,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Railan,br BRA,DF,24-102,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Eliel Chrystian,br BRA,"FW,MF",21-146,2.2,1,5,3,60.0,2.27,1.36,0.2,0.33,11.9,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Lucas Fernandes,br BRA,MF,26-274,1.8,0,4,2,50.0,2.22,1.11,0.0,0.0,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Gabriel Knesowitsch,br BRA,DF,20-246,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Allyson Aires dos Santos,br BRA,DF,33-241,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Deyverson,br BRA,FW,33-043,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
André Luis,br BRA,"FW,MF",27-060,1.5,0,1,0,0.0,0.66,0.0,0.0,0.0,12.0,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Guilherme Madruga,br BRA,"MF,FW",23-222,1.1,0,3,1,33.3,2.65,0.88,0.0,0.0,14.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Luciano Giménez,ar ARG,"FW,MF",24-123,0.8,0,1,0,0.0,1.3,0.0,0.0,0.0,14.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Filipe Augusto,br BRA,MF,30-313,0.4,0,1,1,100.0,2.73,2.73,0.0,0.0,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Squad Total,0,0,28.0,10.0,12,106,34,32.1,10.6,3.4,0.09,0.29,19.2,6,2,2,10.2,8.7,0.09,1.8,1.3,0
Opponent Total,0,0,28.4,10.0,15,126,46,36.5,12.6,4.6,0.1,0.28,18.4,4,2,2,12.2,10.6,0.08,2.8,2.4,0
