Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Agustín Rossi,ar ARG,GK,28-304,9.0,4,0.44,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabrício Bruno,br BRA,DF,28-129,8.0,3,0.37,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro,br BRA,FW,27-000,7.9,21,2.67,14,0,2,2,2,1,6,0.76,3,0,1,1,1,0,Matches
Léo Pereira,br BRA,DF,28-141,7.8,15,1.91,14,0,0,0,0,1,2,0.25,2,0,0,0,0,0,Matches
Nicolás De La Cruz,uy URU,MF,27-019,6.0,43,7.18,31,5,1,1,5,0,3,0.5,3,0,0,0,0,0,Matches
Ayrton Lucas,br BRA,DF,27-001,5.7,13,2.26,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gerson,br BRA,"FW,MF",27-031,5.8,28,4.8,25,1,0,1,1,0,4,0.69,2,1,0,1,0,0,Matches
Bruno Henrique,br BRA,FW,33-173,5.8,17,2.93,11,0,2,2,2,0,2,0.34,1,0,0,0,1,0,Matches
Guillermo Varela,uy URU,DF,31-088,4.6,8,1.74,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Allan,br BRA,MF,27-109,4.3,8,1.87,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Everton Soares,br BRA,FW,28-090,2.6,7,2.67,5,1,1,0,0,0,2,0.76,1,1,0,0,0,0,Matches
Luiz Araújo,br BRA,"FW,MF",28-018,5.8,20,3.45,14,2,2,2,0,0,3,0.52,1,1,1,0,0,0,Matches
Erick Pulgar,cl CHI,MF,30-157,4.1,5,1.23,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Giorgian De Arrascaeta,uy URU,MF,30-019,3.8,20,5.31,14,2,2,0,2,0,4,1.06,3,0,1,0,0,0,Matches
Wesley,br BRA,DF,20-288,3.4,5,1.47,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lorran,br BRA,MF,17-352,3.0,15,4.95,11,2,0,1,0,1,4,1.32,3,0,0,0,0,1,Matches
David Luiz,br BRA,DF,37-059,3.0,5,1.67,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leo Ortiz,br BRA,"MF,DF",28-169,2.9,3,1.05,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matías Viña,uy URU,DF,26-224,2.1,7,3.35,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor,br BRA,MF,21-105,0.8,5,5.92,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Carlinhos,br BRA,"FW,DF",27-129,0.7,1,1.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Barbosa,br BRA,"FW,MF",27-295,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Victor Hugo,br BRA,"FW,MF",20-040,0.8,4,4.86,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Evertton,br BRA,MF,21-113,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.1,9.0,257,28.56,202,17,11,10,14,3,30,3.33,19,3,3,2,2,1,0
Opponent Total,0,0,27.9,9.0,188,20.89,135,19,6,16,10,2,13,1.44,8,2,1,2,0,0,0
