Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Agustín Rossi,ar ARG,GK,28-304,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,2.0,16.0,8.0,8.0,0.89,0.0,12.3,8.3,4.1,0.45,0.0,Matches
Fabrício Bruno,br BRA,DF,28-129,8,720.0,90.0,88.9,8.0,8,90.0,8,0,0.0,1,2.13,15.0,7.0,8.0,1.0,1.0,10.6,7.6,3.0,0.37,-0.75,Matches
Pedro,br BRA,FW,27-000,9,709.0,79.0,87.5,7.9,8,83.0,6,1,45.0,0,2.0,14.0,8.0,6.0,0.76,-1.02,10.7,7.0,3.8,0.48,0.19,Matches
Léo Pereira,br BRA,DF,28-141,8,706.0,88.0,87.2,7.8,8,88.0,7,0,0.0,0,1.88,9.0,7.0,2.0,0.25,-4.94,7.7,8.2,-0.5,-0.06,-4.0,Matches
Nicolás De La Cruz,uy URU,MF,27-019,7,539.0,77.0,66.5,6.0,6,87.0,3,1,15.0,0,2.0,12.0,5.0,7.0,1.17,0.84,9.6,5.1,4.5,0.75,0.89,Matches
Ayrton Lucas,br BRA,DF,27-001,6,517.0,86.0,63.8,5.7,6,86.0,4,0,0.0,0,1.83,6.0,4.0,2.0,0.35,-1.49,6.3,5.8,0.5,0.09,-1.01,Matches
Gerson,br BRA,"FW,MF",27-031,9,525.0,58.0,64.8,5.8,5,88.0,4,4,22.0,0,2.0,12.0,6.0,6.0,1.03,0.4,9.1,5.9,3.3,0.56,0.3,Matches
Bruno Henrique,br BRA,FW,33-173,8,523.0,65.0,64.6,5.8,5,78.0,3,3,44.0,0,1.88,8.0,5.0,3.0,0.52,-1.05,7.0,4.1,2.9,0.5,0.12,Matches
Guillermo Varela,uy URU,DF,31-088,5,414.0,83.0,51.1,4.6,5,83.0,3,0,0.0,1,2.0,9.0,3.0,6.0,1.3,0.85,6.7,3.0,3.8,0.82,0.75,Matches
Allan,br BRA,MF,27-109,6,385.0,64.0,47.5,4.3,5,68.0,1,1,45.0,1,1.83,6.0,5.0,1.0,0.23,-1.25,5.7,3.8,2.0,0.46,0.02,Matches
Everton Soares,br BRA,FW,28-090,5,236.0,47.0,29.1,2.6,5,47.0,0,0,0.0,0,3.0,7.0,1.0,6.0,2.29,1.97,4.6,2.5,2.2,0.82,0.52,Matches
Luiz Araújo,br BRA,"FW,MF",28-018,9,522.0,58.0,64.4,5.8,4,79.0,1,5,41.0,0,2.0,8.0,5.0,3.0,0.52,-1.05,6.3,5.3,1.0,0.17,-0.8,Matches
Erick Pulgar,cl CHI,MF,30-157,5,366.0,73.0,45.2,4.1,4,79.0,3,1,51.0,0,2.0,8.0,2.0,6.0,1.48,1.07,5.7,2.9,2.8,0.7,0.45,Matches
Giorgian De Arrascaeta,uy URU,MF,30-019,4,339.0,85.0,41.9,3.8,4,85.0,3,0,0.0,2,1.75,8.0,3.0,5.0,1.33,0.75,5.9,2.3,3.5,0.94,0.84,Matches
Wesley,br BRA,DF,20-288,5,306.0,61.0,37.8,3.4,3,90.0,3,2,18.0,3,1.6,5.0,4.0,1.0,0.29,-0.96,4.4,3.7,0.7,0.21,-0.39,Matches
Lorran,br BRA,MF,17-352,6,273.0,46.0,33.7,3.0,3,78.0,0,3,13.0,3,1.83,6.0,1.0,5.0,1.65,1.15,4.2,3.3,0.9,0.31,-0.22,Matches
David Luiz,br BRA,DF,37-059,3,270.0,90.0,33.3,3.0,3,90.0,3,0,0.0,6,2.33,9.0,3.0,6.0,2.0,1.67,5.3,2.3,3.0,1.0,0.81,Matches
Leo Ortiz,br BRA,"MF,DF",28-169,4,257.0,64.0,31.7,2.9,3,85.0,1,1,3.0,5,2.0,3.0,1.0,2.0,0.7,-0.28,2.9,1.6,1.4,0.48,0.03,Matches
Matías Viña,uy URU,DF,26-224,4,188.0,47.0,23.2,2.1,2,83.0,1,2,12.0,2,1.75,8.0,3.0,5.0,2.39,1.96,4.9,1.9,3.0,1.44,1.29,Matches
Igor,br BRA,MF,21-105,3,76.0,25.0,9.4,0.8,2,33.0,0,1,11.0,5,2.33,0.0,1.0,-1.0,-1.18,-2.29,0.7,0.9,-0.2,-0.22,-0.74,Matches
Carlinhos,br BRA,"FW,DF",27-129,2,59.0,30.0,7.3,0.7,1,45.0,0,1,14.0,4,2.0,1.0,0.0,1.0,1.53,0.69,1.0,0.2,0.8,1.17,0.77,Matches
Gabriel Barbosa,br BRA,"FW,MF",27-295,3,80.0,27.0,9.9,0.9,0,0.0,0,3,27.0,2,2.33,3.0,1.0,2.0,2.25,1.51,1.9,2.0,-0.1,-0.1,-0.62,Matches
Victor Hugo,br BRA,"FW,MF",20-040,5,74.0,15.0,9.1,0.8,0,0.0,0,5,15.0,4,2.6,2.0,3.0,-1.0,-1.22,-2.32,1.7,2.1,-0.4,-0.48,-1.03,Matches
Evertton,br BRA,MF,21-113,2,16.0,8.0,2.0,0.2,0,0.0,0,2,8.0,3,2.0,1.0,2.0,-1.0,-5.63,-6.65,0.4,1.3,-0.9,-5.33,-5.9,Matches
Cleiton,br BRA,DF,21-056,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Cunha,br BRA,GK,23-027,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Francisco Dyogo,br BRA,GK,20-163,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Gonçalves,br BRA,FW,18-307,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iago,br BRA,DF,19-063,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rayan,br BRA,MF,19-169,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Sales,br BRA,DF,17-363,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Weliton,cl CHI,FW,19-068,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Werton,br BRA,FW,20-278,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,28.1,9,810.0,90.0,100.0,9.0,99,81.0,63,36,24.0,72,2.0,16.0,8.0,8.0,0.89,0.0,12.3,8.3,4.1,0.45,0.0,0
Opponent Total,0,0,27.9,9,810.0,90.0,100.0,9.0,99,81.0,53,44,23.0,61,0.67,8.0,16.0,-8.0,-0.89,0.0,8.3,12.3,-4.1,-0.45,0.0,0
