Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Agustín Rossi,ar ARG,GK,28-304,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício Bruno,br BRA,DF,28-129,8.0,0,2,1,50.0,0.25,0.12,0.0,0.0,12.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Pedro,br BRA,FW,27-000,7.9,3,23,10,43.5,2.92,1.27,0.09,0.2,14.6,0,1,1,3.5,2.7,0.12,-0.5,-0.7,Matches
Léo Pereira,br BRA,DF,28-141,7.8,0,3,0,0.0,0.38,0.0,0.0,0.0,7.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Nicolás De La Cruz,uy URU,MF,27-019,6.0,2,16,7,43.8,2.67,1.17,0.13,0.29,25.6,5,0,0,1.6,1.6,0.1,0.4,0.4,Matches
Ayrton Lucas,br BRA,DF,27-001,5.7,0,6,0,0.0,1.04,0.0,0.0,0.0,30.3,0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
Gerson,br BRA,"FW,MF",27-031,5.8,0,9,2,22.2,1.54,0.34,0.0,0.0,19.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Bruno Henrique,br BRA,FW,33-173,5.8,2,19,6,31.6,3.27,1.03,0.11,0.33,20.7,0,0,0,1.7,1.7,0.09,0.3,0.3,Matches
Guillermo Varela,uy URU,DF,31-088,4.6,0,1,1,100.0,0.22,0.22,0.0,0.0,11.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Allan,br BRA,MF,27-109,4.3,0,2,2,100.0,0.47,0.47,0.0,0.0,33.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Everton Soares,br BRA,FW,28-090,2.6,1,13,8,61.5,4.96,3.05,0.08,0.13,25.3,1,0,0,0.4,0.4,0.03,0.6,0.6,Matches
Luiz Araújo,br BRA,"FW,MF",28-018,5.8,3,17,5,29.4,2.93,0.86,0.18,0.6,19.3,0,0,0,0.9,0.9,0.05,2.1,2.1,Matches
Erick Pulgar,cl CHI,MF,30-157,4.1,0,2,1,50.0,0.49,0.25,0.0,0.0,20.8,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Giorgian De Arrascaeta,uy URU,MF,30-019,3.8,1,8,3,37.5,2.12,0.8,0.13,0.33,17.4,0,0,0,0.7,0.7,0.09,0.3,0.3,Matches
Wesley,br BRA,DF,20-288,3.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Lorran,br BRA,MF,17-352,3.0,1,9,4,44.4,2.97,1.32,0.11,0.25,14.4,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
David Luiz,br BRA,DF,37-059,3.0,1,2,1,50.0,0.67,0.33,0.5,1.0,10.9,0,0,0,0.2,0.2,0.1,0.8,0.8,Matches
Leo Ortiz,br BRA,"MF,DF",28-169,2.9,0,2,1,50.0,0.7,0.35,0.0,0.0,8.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Matías Viña,uy URU,DF,26-224,2.1,0,2,0,0.0,0.96,0.0,0.0,0.0,22.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Igor,br BRA,MF,21-105,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Carlinhos,br BRA,"FW,DF",27-129,0.7,0,2,0,0.0,3.05,0.0,0.0,0.0,23.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Gabriel Barbosa,br BRA,"FW,MF",27-295,0.9,1,1,1,100.0,1.13,1.13,1.0,1.0,3.3,0,0,0,0.9,0.9,0.92,0.1,0.1,Matches
Victor Hugo,br BRA,"FW,MF",20-040,0.8,0,1,1,100.0,1.22,1.22,0.0,0.0,17.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Evertton,br BRA,MF,21-113,0.2,1,1,1,100.0,5.63,5.63,1.0,1.0,10.3,0,0,0,0.0,0.0,0.05,1.0,1.0,Matches
Squad Total,0,0,28.1,9.0,16,141,55,39.0,15.67,6.11,0.11,0.27,19.5,6,1,1,12.3,11.5,0.08,3.7,3.5,0
Opponent Total,0,0,27.9,9.0,8,102,26,25.5,11.33,2.89,0.07,0.27,20.0,3,1,2,8.3,6.7,0.07,-0.3,0.3,0
