Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
João Ricardo Riedi,br BRA,GK,35-288,9.0,2,0.22,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guilherme Tinga,br BRA,DF,30-293,8.1,21,2.6,15,3,1,1,0,1,1,0.12,0,0,0,1,0,0,Matches
Titi,br BRA,DF,36-100,7.0,3,0.43,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hércules,br BRA,"MF,FW",23-244,6.5,17,2.6,14,0,1,2,0,0,1,0.15,1,0,0,0,0,0,Matches
Breno,br BRA,FW,28-148,5.4,16,2.96,9,1,3,1,2,0,3,0.55,2,0,1,0,0,0,Matches
Tomas Pochettino,ar ARG,"MF,FW",28-140,5.5,19,3.45,11,5,0,2,1,0,2,0.36,1,1,0,0,0,0,Matches
Emanuel Brítez,ar ARG,DF,32-086,5.5,6,1.09,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Borges,br BRA,MF,27-109,5.4,11,2.02,9,0,0,1,0,1,2,0.37,2,0,0,0,0,0,Matches
Felipe Jonatan,br BRA,DF,26-126,4.6,7,1.53,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato Kayser,br BRA,FW,28-124,4.3,7,1.62,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Pacheco,br BRA,DF,32-195,4.4,7,1.58,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Martín Lucero,ar ARG,FW,32-203,4.3,7,1.62,3,0,1,0,3,0,0,0.0,0,0,0,0,0,0,Matches
José Welison,br BRA,MF,29-101,4.0,6,1.5,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yago Pikachu,br BRA,"FW,DF",32-015,3.9,8,2.07,4,2,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Tomás Cardona,ar ARG,DF,28-254,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Benjamín Kuscevic,cl CHI,DF,28-049,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Emmanuel Martínez,ar ARG,MF,30-016,2.7,8,2.95,6,0,0,2,0,0,1,0.37,0,0,0,1,0,0,Matches
Marinho,br BRA,"FW,DF",34-022,2.7,12,4.44,5,4,1,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Imanol Machuca,ar ARG,"FW,MF",24-157,2.5,12,4.86,8,2,0,1,1,0,1,0.41,0,1,0,0,0,0,Matches
Matheus Rossetto,br BRA,MF,28-017,1.3,2,1.58,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Sasha,br BRA,MF,34-111,1.8,3,1.7,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kervin Andrade,ve VEN,MF,19-068,0.8,5,6.43,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Moises,br BRA,FW,27-292,1.7,10,6.04,5,0,3,1,1,0,1,0.6,1,0,0,0,0,0,Matches
Kauan,br BRA,MF,19-065,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Calebe,br BRA,FW,24-051,0.2,2,10.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Rocha Neves,br BRA,MF,29-264,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,30.2,9.0,195,21.67,135,20,11,15,12,2,12,1.33,7,2,1,2,0,0,0
Opponent Total,0,0,27.5,9.0,215,23.89,157,23,8,12,10,5,17,1.89,10,3,2,2,0,0,0
