Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
João Ricardo Riedi,br BRA,GK,35-288,9.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,100.0,Matches
Guilherme Tinga,br BRA,DF,30-293,8.1,1,0,0,7,2,0,20,9,11,0,1,0,33,19,19,50.0,Matches
Titi,br BRA,DF,36-100,7.0,1,0,0,10,4,1,0,4,5,0,0,0,26,6,13,31.6,Matches
Hércules,br BRA,"MF,FW",23-244,6.5,1,0,0,9,3,0,5,2,11,0,0,0,32,2,6,25.0,Matches
Breno,br BRA,FW,28-148,5.4,2,0,0,5,19,3,14,1,0,0,0,0,18,4,4,50.0,Matches
Tomas Pochettino,ar ARG,"MF,FW",28-140,5.5,1,0,0,6,5,1,35,2,3,0,0,0,32,1,7,12.5,Matches
Emanuel Brítez,ar ARG,DF,32-086,5.5,4,1,0,6,2,1,0,3,7,0,0,0,18,12,9,57.1,Matches
Pedro Borges,br BRA,MF,27-109,5.4,5,0,0,10,8,0,1,8,17,0,0,0,23,11,6,64.7,Matches
Felipe Jonatan,br BRA,DF,26-126,4.6,0,0,0,3,6,0,14,7,5,0,0,0,21,3,1,75.0,Matches
Renato Kayser,br BRA,FW,28-124,4.3,1,1,0,11,7,4,1,0,4,0,0,0,13,7,25,21.9,Matches
Bruno Pacheco,br BRA,DF,32-195,4.4,0,0,0,4,3,0,6,5,4,0,0,0,15,9,3,75.0,Matches
Juan Martín Lucero,ar ARG,FW,32-203,4.3,3,0,0,9,6,2,3,0,3,0,0,0,10,0,10,0.0,Matches
José Welison,br BRA,MF,29-101,4.0,1,0,0,5,3,0,5,4,11,0,0,0,24,4,8,33.3,Matches
Yago Pikachu,br BRA,"FW,DF",32-015,3.9,2,0,0,1,10,1,14,2,2,0,0,0,13,0,4,0.0,Matches
Tomás Cardona,ar ARG,DF,28-254,3.0,0,0,0,0,1,0,0,4,1,0,0,0,5,10,3,76.9,Matches
Benjamín Kuscevic,cl CHI,DF,28-049,3.0,0,0,0,1,1,1,0,1,4,0,0,0,8,9,10,47.4,Matches
Leandro Emmanuel Martínez,ar ARG,MF,30-016,2.7,1,0,0,2,5,0,11,2,0,0,0,0,21,2,3,40.0,Matches
Marinho,br BRA,"FW,DF",34-022,2.7,1,0,0,5,5,4,11,1,2,0,0,0,13,1,7,12.5,Matches
Imanol Machuca,ar ARG,"FW,MF",24-157,2.5,0,0,0,4,3,0,19,0,2,0,0,0,15,1,3,25.0,Matches
Matheus Rossetto,br BRA,MF,28-017,1.3,0,0,0,1,2,0,0,0,1,0,0,0,7,1,1,50.0,Matches
Lucas Sasha,br BRA,MF,34-111,1.8,0,0,0,6,1,0,3,4,5,0,0,0,11,1,1,50.0,Matches
Kervin Andrade,ve VEN,MF,19-068,0.8,0,0,0,1,0,0,4,0,0,0,0,0,6,0,2,0.0,Matches
Moises,br BRA,FW,27-292,1.7,0,0,0,0,1,0,2,1,1,0,0,0,4,5,6,45.5,Matches
Kauan,br BRA,MF,19-065,0.4,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,66.7,Matches
Calebe,br BRA,FW,24-051,0.2,1,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0.0,Matches
Pedro Rocha Neves,br BRA,MF,29-264,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,0,0,30.2,9.0,25,2,0,108,99,18,170,61,99,0,1,0,383,112,153,42.3,0
Opponent Total,0,0,27.5,9.0,27,2,1,106,100,12,166,61,91,0,1,0,397,153,112,57.7,0
