Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
João Ricardo Riedi,br BRA,GK,35-288,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme Tinga,br BRA,DF,30-293,9,8,728.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,16.0,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07,Matches
Titi,br BRA,DF,36-100,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Hércules,br BRA,"MF,FW",23-244,9,7,588.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,7.0,30.0,15.0,0.15,0.0,0.15,0.15,0.15,0.06,0.05,0.11,0.06,0.11,Matches
Breno,br BRA,FW,28-148,7,7,487.0,5.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.0,23.0,15.0,37.0,0.0,0.37,0.37,0.0,0.37,0.16,0.03,0.19,0.16,0.19,Matches
Tomas Pochettino,ar ARG,"MF,FW",28-140,8,6,496.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.2,1.7,15.0,24.0,35.0,0.18,0.18,0.36,0.18,0.36,0.08,0.22,0.3,0.08,0.3,Matches
Emanuel Brítez,ar ARG,DF,32-086,6,6,494.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Pedro Borges,br BRA,MF,27-109,8,5,489.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.3,1.0,23.0,5.0,0.0,0.18,0.18,0.0,0.18,0.01,0.04,0.05,0.01,0.05,Matches
Felipe Jonatan,br BRA,DF,26-126,5,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Renato Kayser,br BRA,FW,28-124,7,5,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,1.2,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.29,0.24,0.29,Matches
Bruno Pacheco,br BRA,DF,32-195,6,4,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Juan Martín Lucero,ar ARG,FW,32-203,8,4,389.0,4.3,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.6,0.8,0.4,1.1,3.0,3.0,21.0,0.46,0.23,0.69,0.23,0.46,0.36,0.08,0.45,0.18,0.26,Matches
José Welison,br BRA,MF,29-101,8,4,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,3.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.16,0.01,0.16,Matches
Yago Pikachu,br BRA,"FW,DF",32-015,8,4,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.3,0.9,8.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.24,0.17,0.24,Matches
Tomás Cardona,ar ARG,DF,28-254,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamín Kuscevic,cl CHI,DF,28-049,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,0.06,0.0,0.06,0.06,0.06,Matches
Leandro Emmanuel Martínez,ar ARG,MF,30-016,3,3,244.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.17,0.15,0.17,Matches
Marinho,br BRA,"FW,DF",34-022,5,3,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.7,10.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.28,0.11,0.28,Matches
Imanol Machuca,ar ARG,"FW,MF",24-157,8,2,222.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,13.0,7.0,21.0,0.41,0.41,0.81,0.41,0.81,0.27,0.3,0.57,0.27,0.57,Matches
Matheus Rossetto,br BRA,MF,28-017,2,2,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Lucas Sasha,br BRA,MF,34-111,5,1,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.29,0.01,0.29,Matches
Kervin Andrade,ve VEN,MF,19-068,1,1,70.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.0,3.0,6.0,1.29,0.0,1.29,1.29,1.29,0.14,0.26,0.41,0.14,0.41,Matches
Moises,br BRA,FW,27-292,6,0,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.5,11.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.79,0.13,0.92,0.79,0.92,Matches
Kauan,br BRA,MF,19-065,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Calebe,br BRA,FW,24-051,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.85,0.68,1.53,0.85,1.53,Matches
Pedro Rocha Neves,br BRA,MF,29-264,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.92,0.92,0.92,Matches
Amorim,br BRA,MF,19-033,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iarley Barros,br BRA,FW,21-066,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonzalo Escobar,ar ARG,DF,27-096,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maurício Kozlinski,br BRA,GK,33-002,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Santos,br BRA,GK,34-095,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,27-021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jhonatan Silva,br BRA,DF,24-343,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,30.2,9,99,810.0,9.0,7.0,6.0,13.0,6.0,1.0,1.0,25.0,2.0,8.6,7.9,6.3,14.2,141.0,274.0,271.0,0.78,0.67,1.44,0.67,1.33,0.96,0.7,1.66,0.87,1.57,0
Opponent Total,0,0,27.5,9,99,810.0,9.0,10.0,6.0,16.0,9.0,1.0,1.0,27.0,2.0,11.0,10.2,7.3,17.5,174.0,356.0,350.0,1.11,0.67,1.78,1.0,1.67,1.22,0.81,2.03,1.13,1.94,0
