Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
João Ricardo Riedi,br BRA,GK,35-288,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,1.44,7.0,10.0,-3.0,-0.33,0.0,8.6,11.0,-2.4,-0.26,0.0,Matches
Guilherme Tinga,br BRA,DF,30-293,9,728.0,81.0,89.9,8.1,8,90.0,8,1,8.0,0,1.44,5.0,10.0,-5.0,-0.62,-2.81,8.2,10.5,-2.3,-0.28,-0.17,Matches
Titi,br BRA,DF,36-100,7,630.0,90.0,77.8,7.0,7,90.0,7,0,0.0,2,1.43,6.0,5.0,1.0,0.14,2.14,7.3,6.7,0.6,0.09,1.57,Matches
Hércules,br BRA,"MF,FW",23-244,9,588.0,65.0,72.6,6.5,7,79.0,3,2,18.0,0,1.44,5.0,2.0,3.0,0.46,2.89,6.2,5.6,0.7,0.1,1.34,Matches
Breno,br BRA,FW,28-148,7,487.0,70.0,60.1,5.4,7,70.0,0,0,0.0,0,1.29,4.0,8.0,-4.0,-0.74,-1.02,4.4,7.1,-2.7,-0.5,-0.58,Matches
Tomas Pochettino,ar ARG,"MF,FW",28-140,8,496.0,62.0,61.2,5.5,6,73.0,1,2,28.0,1,1.5,5.0,7.0,-2.0,-0.36,-0.08,5.4,6.8,-1.4,-0.25,0.04,Matches
Emanuel Brítez,ar ARG,DF,32-086,6,494.0,82.0,61.0,5.5,6,82.0,5,0,0.0,0,1.0,5.0,8.0,-3.0,-0.55,-0.55,5.1,7.1,-2.1,-0.38,-0.3,Matches
Pedro Borges,br BRA,MF,27-109,8,489.0,61.0,60.4,5.4,5,80.0,2,3,29.0,0,1.5,4.0,5.0,-1.0,-0.18,0.38,5.8,5.9,-0.1,-0.02,0.63,Matches
Felipe Jonatan,br BRA,DF,26-126,5,412.0,82.0,50.9,4.6,5,82.0,3,0,0.0,2,1.6,4.0,3.0,1.0,0.22,1.12,4.7,4.0,0.8,0.17,0.89,Matches
Renato Kayser,br BRA,FW,28-124,7,388.0,55.0,47.9,4.3,5,71.0,1,2,16.0,0,1.0,3.0,4.0,-1.0,-0.23,0.19,3.8,3.9,0.0,-0.01,0.49,Matches
Bruno Pacheco,br BRA,DF,32-195,6,398.0,66.0,49.1,4.4,4,90.0,4,2,19.0,3,1.5,3.0,7.0,-4.0,-0.9,-1.12,3.9,7.0,-3.2,-0.72,-0.89,Matches
Juan Martín Lucero,ar ARG,FW,32-203,8,389.0,49.0,48.0,4.3,4,74.0,1,4,23.0,1,1.5,4.0,5.0,-1.0,-0.23,0.2,4.8,6.3,-1.5,-0.36,-0.18,Matches
José Welison,br BRA,MF,29-101,8,361.0,45.0,44.6,4.0,4,74.0,0,4,17.0,1,1.5,2.0,6.0,-4.0,-1.0,-1.2,2.8,6.9,-4.1,-1.01,-1.35,Matches
Yago Pikachu,br BRA,"FW,DF",32-015,8,348.0,44.0,43.0,3.9,4,72.0,1,4,15.0,0,1.44,2.0,5.0,-3.0,-0.78,-0.78,3.0,7.4,-4.4,-1.15,-1.54,Matches
Tomás Cardona,ar ARG,DF,28-254,3,270.0,90.0,33.3,3.0,3,90.0,3,0,0.0,1,2.0,2.0,5.0,-3.0,-1.0,-1.0,3.0,5.3,-2.3,-0.77,-0.76,Matches
Benjamín Kuscevic,cl CHI,DF,28-049,3,270.0,90.0,33.3,3.0,3,90.0,3,0,0.0,0,2.33,4.0,2.0,2.0,0.67,1.5,2.2,1.8,0.4,0.14,0.61,Matches
Leandro Emmanuel Martínez,ar ARG,MF,30-016,3,244.0,81.0,30.1,2.7,3,81.0,1,0,0.0,5,2.0,2.0,1.0,1.0,0.37,1.0,3.1,2.2,1.0,0.35,0.88,Matches
Marinho,br BRA,"FW,DF",34-022,5,243.0,49.0,30.0,2.7,3,68.0,0,2,20.0,0,1.4,2.0,3.0,-1.0,-0.37,-0.05,2.3,1.5,0.8,0.28,0.78,Matches
Imanol Machuca,ar ARG,"FW,MF",24-157,8,222.0,28.0,27.4,2.5,2,62.0,0,6,16.0,1,1.63,4.0,1.0,3.0,1.22,2.13,3.0,2.6,0.4,0.17,0.6,Matches
Matheus Rossetto,br BRA,MF,28-017,2,114.0,57.0,14.1,1.3,2,57.0,1,0,0.0,4,0.5,1.0,3.0,-2.0,-1.58,-1.45,0.7,2.1,-1.5,-1.17,-1.05,Matches
Lucas Sasha,br BRA,MF,34-111,5,159.0,32.0,19.6,1.8,1,69.0,0,4,23.0,1,1.6,2.0,4.0,-2.0,-1.13,-0.99,1.6,2.5,-0.8,-0.48,-0.27,Matches
Kervin Andrade,ve VEN,MF,19-068,1,70.0,70.0,8.6,0.8,1,70.0,0,0,0.0,5,1.0,1.0,1.0,0.0,0.0,0.36,0.9,0.4,0.5,0.68,1.04,Matches
