Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
João Pedro,it ITA,FW,32-103,5.2,1,0,0,0,1,0,0,0.0,0,1,0,1,1,2,4,0,Matches
Gustavo Martins Santos,br BRA,DF,21-314,5.9,9,6,5,3,1,2,5,40.0,3,5,1,4,4,13,25,0,Matches
Franco Cristaldo,ar ARG,"MF,FW",27-310,5.4,7,4,2,5,0,1,9,11.1,8,7,0,7,0,7,2,0,Matches
Rodrigo Ely,br BRA,DF,30-230,5.0,10,5,8,2,0,5,7,71.4,2,11,9,2,10,20,21,0,Matches
Mathías Villasanti,py PAR,MF,27-148,5.0,11,7,5,5,1,3,12,25.0,9,7,2,5,10,21,6,1,Matches
Dodi,br BRA,MF,28-064,4.9,14,5,6,7,1,6,10,60.0,4,4,1,3,6,20,5,0,Matches
João Pedro,br BRA,DF,27-218,4.8,6,2,3,2,1,3,6,50.0,3,6,2,4,0,6,9,0,Matches
Du Queiroz,br BRA,MF,24-153,4.1,8,5,2,5,1,4,11,36.4,7,7,0,7,6,14,3,0,Matches
Cristian Pavón,ar ARG,"FW,MF",28-151,3.3,3,2,2,1,0,1,4,25.0,3,4,0,4,4,7,3,0,Matches
Gustavo Nunes,br BRA,"FW,MF",18-213,5.3,5,3,1,1,3,1,1,100.0,0,9,0,9,1,6,2,0,Matches
Fábio,br BRA,DF,33-347,4.4,6,3,2,3,1,4,9,44.4,5,3,1,2,4,10,9,0,Matches
Agustín Marchesín,ar ARG,GK,36-096,4.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,1,0,Matches
Yeferson Soteldo,ve VEN,FW,26-356,3.3,5,3,3,2,0,5,7,71.4,2,2,0,2,0,5,0,1,Matches
Rafael Cabral,br BRA,GK,34-031,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Walter Kannemann,ar ARG,DF,33-098,2.1,6,5,4,2,0,5,7,71.4,2,2,0,2,3,9,4,0,Matches
Felipe Carballo,uy URU,MF,27-260,2.1,6,3,3,3,0,2,10,20.0,8,1,0,1,3,9,2,0,Matches
Pedro Geromel,br BRA,DF,38-273,2.0,2,2,1,1,0,2,3,66.7,1,2,2,0,0,2,14,0,Matches
Reinaldo,br BRA,DF,34-266,2.0,2,1,0,2,0,1,1,100.0,0,1,0,1,1,3,2,0,Matches
Mayk,br BRA,DF,24-294,1.9,4,3,1,2,1,1,3,33.3,2,4,2,2,2,6,5,0,Matches
Cuiabano,br BRA,DF,21-125,1.8,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0,Matches
Edenílson,br BRA,"FW,MF",34-185,1.7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
João Pedro Pepê,br BRA,MF,26-166,1.3,2,1,0,2,0,1,4,25.0,3,1,0,1,1,3,4,0,Matches
Diego Costa,es ESP,FW,35-257,1.3,2,0,0,1,1,1,1,100.0,0,1,1,0,0,2,0,0,Matches
Everton,br BRA,"FW,MF",27-095,1.7,3,2,1,1,1,2,2,100.0,0,0,0,0,1,4,1,0,Matches
Nata,br BRA,DF,23-015,1.1,4,2,4,0,0,2,2,100.0,0,2,1,1,1,5,1,0,Matches
Caíque,br BRA,GK,26-325,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Zé Guilherme,br BRA,DF,19-096,1.0,5,3,4,1,0,2,7,28.6,5,1,0,1,4,9,2,0,Matches
Nathan Fernandes,br BRA,"FW,MF",19-125,2.4,5,4,2,3,0,2,4,50.0,2,2,0,2,2,7,3,0,Matches
Nathan,br BRA,"FW,MF",28-099,0.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,Matches
Ronald,br BRA,MF,21-130,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,Matches
Squad Total,0,0,28.2,8.0,130,71,61,56,13,58,129,45.0,71,90,25,65,69,199,134,2,0
Opponent Total,0,0,27.8,8.0,182,120,100,71,11,74,161,46.0,87,92,22,70,53,235,185,0,0
