D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2024-04-02,20:00,Libertadores,Group stage,Tue,Away,L,0.0,2.0,bo The Strongest,0.5,1.8,47.0,10782.0,Fábio,4-2-3-1,Juan Gabriel Benítez,Match Report,0
2024-04-09,19:00,Libertadores,Group stage,Tue,Home,L,0.0,2.0,cl Huachipato,3.0,0.9,65.0,0.0,Pedro Geromel,4-3-3,Leodán González,Match Report,0
2024-04-14,16:00,Série A,Matchweek 1,Sun,Away,L,1.0,2.0,Vasco da Gama,1.2,0.9,53.0,17722.0,Walter Kannemann,4-2-3-1,Flavio Rodrigues de Souza,Match Report,0
2024-04-17,19:00,Série A,Matchweek 2,Wed,Home,W,2.0,0.0,Ath Paranaense,1.1,0.2,48.0,13236.0,Pedro Geromel,4-3-3,Marcelo de Lima Henrique,Match Report,0
2024-04-20,18:30,Série A,Matchweek 3,Sat,Home,W,1.0,0.0,Cuiabá,0.6,1.3,57.0,22904.0,Mathías Villasanti,4-2-3-1,Bruno Pereira Vasconcelos,Match Report,0
2024-04-23,19:00,Libertadores,Group stage,Tue,Away,W,1.0,0.0,ar Estudiantes,1.5,0.6,39.0,22065.0,Pedro Geromel,4-2-3-1,Gustavo Tejera,Match Report,0
2024-04-27,21:00,Série A,Matchweek 4,Sat,Away,L,0.0,1.0,Bahia,0.1,1.1,40.0,35836.0,Walter Kannemann,4-3-3,Braulio Machado,Match Report,0
2024-05-05,16:00,Série A,Matchweek 5,Sun,Home,0,0.0,0.0,Criciúma,0.0,0.0,0.0,0.0,0,0,0,0,Match Postponed
2024-05-11,21:00,Série A,Matchweek 6,Sat,Away,0,0.0,0.0,Atlético Mineiro,0.0,0.0,0.0,0.0,0,0,0,0,Match Postponed
2024-05-29,19:00,Libertadores,Group stage,Wed,Home,W,4.0,0.0,bo The Strongest,1.2,0.6,46.0,23107.0,Walter Kannemann,4-2-3-1,Andrés Matonte,Match Report,0
2024-06-01,16:00,Série A,Matchweek 7,Sat,Home,L,0.0,2.0,Red Bull Bragantino,0.8,1.4,45.0,7563.0,Mathías Villasanti,4-2-3-1,Ramon Abatti,Match Report,0
2024-06-04,20:00,Libertadores,Group stage,Tue,Away,W,1.0,0.0,cl Huachipato,1.0,0.9,40.0,4520.0,Walter Kannemann,4-2-3-1,Jhon Ospina,Match Report,0
2024-06-08,19:00,Libertadores,Group stage,Sat,Home,D,1.0,1.0,ar Estudiantes,0.9,0.7,44.0,32472.0,Walter Kannemann,4-2-3-1,Esteban Ostojich,Match Report,0
2024-06-13,20:00,Série A,Matchweek 8,Thu,Away,L,1.0,2.0,Flamengo,1.0,1.0,58.0,0.0,Walter Kannemann,4-4-2,Luiz Flávio de Oliveira,Match Report,0
