Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
João Pedro,it ITA,FW,32-103,8,471.0,59.0,65.4,5.2,6,68.0,0,2,32.0,0,0.75,5.0,7.0,-2.0,-0.38,0.34,5.0,5.5,-0.5,-0.1,0.2,Matches
Gustavo Martins Santos,br BRA,DF,21-314,6,527.0,88.0,73.2,5.9,5,90.0,5,1,77.0,1,1.0,5.0,7.0,-2.0,-0.34,0.59,5.8,5.8,0.0,0.0,0.62,Matches
Franco Cristaldo,ar ARG,"MF,FW",27-310,8,485.0,61.0,67.4,5.4,5,81.0,2,3,27.0,0,0.75,6.0,6.0,0.0,0.0,1.53,6.0,4.6,1.4,0.25,1.29,Matches
Rodrigo Ely,br BRA,DF,30-230,5,450.0,90.0,62.5,5.0,5,90.0,5,0,0.0,3,0.6,3.0,6.0,-3.0,-0.6,-0.27,4.0,6.0,-2.1,-0.41,-0.65,Matches
Mathías Villasanti,py PAR,MF,27-148,5,450.0,90.0,62.5,5.0,5,90.0,5,0,0.0,0,1.2,4.0,5.0,-1.0,-0.2,0.8,3.9,4.9,-1.0,-0.2,-0.08,Matches
Dodi,br BRA,MF,28-064,7,445.0,64.0,61.8,4.9,5,83.0,2,2,14.0,1,0.86,4.0,6.0,-2.0,-0.4,0.25,3.8,4.5,-0.7,-0.14,0.07,Matches
João Pedro,br BRA,DF,27-218,5,430.0,86.0,59.7,4.8,5,86.0,3,0,0.0,3,0.6,2.0,6.0,-4.0,-0.84,-0.84,2.8,5.7,-2.9,-0.6,-1.08,Matches
Du Queiroz,br BRA,MF,24-153,7,365.0,52.0,50.7,4.1,5,69.0,1,2,11.0,1,0.86,2.0,6.0,-4.0,-0.99,-0.99,2.7,5.1,-2.3,-0.58,-0.83,Matches
Cristian Pavón,ar ARG,"FW,MF",28-151,5,301.0,60.0,41.8,3.3,5,60.0,0,0,0.0,0,0.6,3.0,6.0,-3.0,-0.9,-0.68,2.7,2.7,0.0,-0.01,0.27,Matches
Gustavo Nunes,br BRA,"FW,MF",18-213,7,473.0,68.0,65.7,5.3,4,90.0,3,3,38.0,0,0.86,3.0,5.0,-2.0,-0.38,0.35,4.7,6.0,-1.3,-0.24,-0.21,Matches
Fábio,br BRA,DF,33-347,6,400.0,67.0,55.6,4.4,4,87.0,3,2,26.0,1,1.0,4.0,5.0,-1.0,-0.23,0.62,3.6,3.6,0.0,0.01,0.4,Matches
Agustín Marchesín,ar ARG,GK,36-096,4,360.0,90.0,50.0,4.0,4,90.0,4,0,0.0,1,1.5,4.0,3.0,1.0,0.25,1.5,4.0,4.1,-0.1,-0.02,0.3,Matches
Yeferson Soteldo,ve VEN,FW,26-356,5,298.0,60.0,41.4,3.3,4,67.0,0,1,30.0,0,1.2,3.0,3.0,0.0,0.0,0.85,2.5,2.6,0.0,-0.01,0.27,Matches
Rafael Cabral,br BRA,GK,34-031,3,270.0,90.0,37.5,3.0,3,90.0,3,0,0.0,1,0.0,1.0,5.0,-4.0,-1.33,-1.33,1.9,3.5,-1.6,-0.52,-0.57,Matches
Walter Kannemann,ar ARG,DF,33-098,3,193.0,64.0,26.8,2.1,3,64.0,2,0,0.0,0,0.75,2.0,3.0,-1.0,-0.47,0.05,1.1,2.4,-1.3,-0.62,-0.62,Matches
Felipe Carballo,uy URU,MF,27-260,4,186.0,47.0,25.8,2.1,2,73.0,0,2,20.0,1,0.0,2.0,4.0,-2.0,-0.97,-0.63,2.4,2.6,-0.2,-0.1,0.09,Matches
Pedro Geromel,br BRA,DF,38-273,2,180.0,90.0,25.0,2.0,2,90.0,2,0,0.0,2,1.5,3.0,2.0,1.0,0.5,1.33,2.1,0.9,1.2,0.62,1.05,Matches
Reinaldo,br BRA,DF,34-266,2,180.0,90.0,25.0,2.0,2,90.0,2,0,0.0,1,0.0,1.0,3.0,-2.0,-1.0,-0.67,2.0,2.6,-0.7,-0.33,-0.22,Matches
Mayk,br BRA,DF,24-294,2,174.0,87.0,24.2,1.9,2,87.0,1,0,0.0,2,0.0,1.0,4.0,-3.0,-1.55,-1.39,1.8,2.0,-0.2,-0.11,0.07,Matches
Cuiabano,br BRA,DF,21-125,2,163.0,82.0,22.6,1.8,2,82.0,1,0,0.0,0,1.5,3.0,2.0,1.0,0.55,1.36,2.3,0.8,1.5,0.83,1.29,Matches
Edenílson,br BRA,"FW,MF",34-185,5,157.0,31.0,21.8,1.7,2,53.0,0,3,17.0,0,0.0,1.0,3.0,-2.0,-1.15,-0.83,1.6,2.5,-0.8,-0.47,-0.39,Matches
João Pedro Pepê,br BRA,MF,26-166,2,118.0,59.0,16.4,1.3,2,59.0,0,0,0.0,2,0.0,0.0,3.0,-3.0,-2.29,-2.14,0.8,1.5,-0.7,-0.56,-0.47,Matches
