Player,Nation,Pos,Age,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
João Pedro,it ITA,FW,32-103,5.2,0,7,3,42.9,1.34,0.57,0.0,0.0,12.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
Gustavo Martins Santos,br BRA,DF,21-314,5.9,1,3,1,33.3,0.51,0.17,0.33,1.0,7.2,0,0,0,0.8,0.8,0.26,0.2,0.2,Matches
Franco Cristaldo,ar ARG,"MF,FW",27-310,5.4,2,9,3,33.3,1.67,0.56,0.22,0.67,18.4,1,0,0,0.9,0.9,0.1,1.1,1.1,Matches
Rodrigo Ely,br BRA,DF,30-230,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,9.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Mathías Villasanti,py PAR,MF,27-148,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,15.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Dodi,br BRA,MF,28-064,4.9,0,2,1,50.0,0.4,0.2,0.0,0.0,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
João Pedro,br BRA,DF,27-218,4.8,0,3,0,0.0,0.63,0.0,0.0,0.0,17.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Du Queiroz,br BRA,MF,24-153,4.1,0,3,2,66.7,0.74,0.49,0.0,0.0,26.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Cristian Pavón,ar ARG,"FW,MF",28-151,3.3,0,10,3,30.0,2.99,0.9,0.0,0.0,19.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Gustavo Nunes,br BRA,"FW,MF",18-213,5.3,1,6,3,50.0,1.14,0.57,0.17,0.33,20.8,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Fábio,br BRA,DF,33-347,4.4,0,4,0,0.0,0.9,0.0,0.0,0.0,14.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Agustín Marchesín,ar ARG,GK,36-096,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
Yeferson Soteldo,ve VEN,FW,26-356,3.3,1,5,3,60.0,1.51,0.91,0.2,0.33,20.4,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Rafael Cabral,br BRA,GK,34-031,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
