Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Vitão,br BRA,DF,24-139,6.5,6.0,0.92,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wesley,br BRA,"FW,MF",25-082,6.7,26.0,3.88,16.0,1.0,6.0,0.0,2.0,1.0,2.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,Matches
Bruno Henrique,br BRA,MF,34-243,5.8,23.0,3.99,18.0,5.0,0.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Thiago Maia,br BRA,MF,27-089,5.7,11.0,1.93,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabricio Bustos,ar ARG,DF,28-053,5.6,15.0,2.68,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renê,br BRA,DF,31-280,5.0,18.0,3.59,14.0,3.0,0.0,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Borré,co COL,FW,28-279,5.0,10.0,2.0,6.0,1.0,0.0,3.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Rochet,uy URU,GK,31-089,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauricio,br BRA,MF,23-029,4.2,16.0,3.78,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wanderson,br BRA,"FW,MF",29-257,3.8,6.0,1.59,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Mercado,ar ARG,DF,37-094,4.6,4.0,0.88,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.44,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Robert Renan,br BRA,DF,20-253,4.1,8.0,1.93,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando,br BRA,"DF,MF",36-331,3.1,3.0,0.96,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício,br BRA,GK,38-165,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo Mallo,es ESP,DF,32-364,2.9,2.0,0.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucca Holanda,br BRA,"FW,DF",21-079,2.1,3.0,1.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Charles Aránguiz,cl CHI,MF,35-064,2.5,4.0,1.63,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hyoran,br BRA,"MF,FW",31-026,2.4,7.0,2.93,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Alario,ar ARG,FW,31-256,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Romulo,br BRA,MF,24-111,1.9,4.0,2.13,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.53,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Gomes,br BRA,DF,23-106,1.1,2.0,1.75,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Gomes,br BRA,MF,23-077,0.8,8.0,10.29,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Dias,br BRA,"FW,DF",27-134,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Patrick,br BRA,MF,33-038,0.5,2.0,3.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enner Valencia,ec ECU,FW,34-229,0.5,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Prado,br BRA,"FW,MF",19-014,1.8,7.0,3.89,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Carvalho,br BRA,MF,16-308,0.2,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucca Drummond,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Squad Total,0,0,29.1,8.0,187.0,23.37,145.0,18.0,10.0,6.0,6.0,2.0,13.0,1.62,10.0,1.0,1.0,0.0,1.0,0.0,0
Opponent Total,0,0,27.5,8.0,149.0,18.62,94.0,20.0,6.0,10.0,16.0,3.0,9.0,1.13,4.0,1.0,2.0,1.0,1.0,0.0,0
