Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Vitão,br BRA,DF,24-139,7,7,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.0,0.3,14.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Wesley,br BRA,"FW,MF",25-082,8,6,603.0,6.7,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.7,1.7,1.3,3.0,31.0,24.0,62.0,0.6,0.15,0.75,0.6,0.75,0.26,0.19,0.45,0.26,0.45,Matches
Bruno Henrique,br BRA,MF,34-243,8,6,519.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.2,4.0,28.0,12.0,0.0,0.17,0.17,0.0,0.17,0.13,0.07,0.2,0.13,0.2,Matches
Thiago Maia,br BRA,MF,27-089,7,6,514.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,29.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches
Fabricio Bustos,ar ARG,DF,28-053,7,5,504.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,6.0,24.0,35.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches
Renê,br BRA,DF,31-280,6,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,19.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16,Matches
Rafael Borré,co COL,FW,28-279,5,5,450.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,3.9,3.1,0.4,3.5,3.0,4.0,34.0,0.2,0.2,0.4,0.2,0.4,0.77,0.08,0.85,0.61,0.7,Matches
Sergio Rochet,uy URU,GK,31-089,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mauricio,br BRA,MF,23-029,5,5,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,7.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches
Wanderson,br BRA,"FW,MF",29-257,6,5,339.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,1.0,9.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.08,0.18,0.26,0.08,0.26,Matches
Gabriel Mercado,ar ARG,DF,37-094,6,4,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.0,0.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Robert Renan,br BRA,DF,20-253,5,4,373.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.5,12.0,17.0,6.0,0.0,0.24,0.24,0.0,0.24,0.06,0.06,0.11,0.06,0.11,Matches
Fernando,br BRA,"DF,MF",36-331,5,3,282.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.1,5.0,8.0,3.0,0.32,0.0,0.32,0.32,0.32,0.03,0.02,0.05,0.03,0.05,Matches
Fabrício,br BRA,GK,38-165,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo Mallo,es ESP,DF,32-364,4,3,265.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,4.0,15.0,12.0,0.34,0.0,0.34,0.34,0.34,0.08,0.01,0.09,0.08,0.09,Matches
Lucca Holanda,br BRA,"FW,DF",21-079,5,3,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches
Charles Aránguiz,cl CHI,MF,35-064,4,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Hyoran,br BRA,"MF,FW",31-026,3,2,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Lucas Alario,ar ARG,FW,31-256,4,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
