Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Gabriel,br BRA,GK,31-267,9.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,Matches
Lucas Barbosa,br BRA,"FW,MF",23-119,7.7,21,14,5,10,6,10,24,41.7,14,25,0,25,5,26,7,0,Matches
Danilo Boza,br BRA,DF,26-045,8.0,8,4,5,3,0,2,4,50.0,2,16,13,3,8,16,32,0,Matches
João Lucas,br BRA,DF,26-103,8.0,21,13,7,12,2,11,17,64.7,6,10,4,6,11,32,15,0,Matches
Caíque de Jesus Gonçalves,br BRA,MF,28-254,7.6,25,14,12,13,0,6,12,50.0,6,8,3,5,10,35,12,1,Matches
Nenê,br BRA,MF,42-337,6.4,2,2,1,1,0,1,9,11.1,8,3,0,3,1,3,1,0,Matches
Jadson,br BRA,MF,30-295,6.9,22,10,14,7,1,6,13,46.2,7,5,1,4,15,37,2,0,Matches
Erick,br BRA,FW,27-169,5.8,4,4,0,4,0,0,1,0.0,1,4,0,4,2,6,3,0,Matches
Zé Marcos,br BRA,DF,26-140,5.4,7,4,5,2,0,3,5,60.0,2,5,4,1,11,18,23,0,Matches
Marcelinho,br BRA,"FW,MF",21-192,5.3,5,4,2,3,0,3,8,37.5,5,2,0,2,6,11,0,0,Matches
Alan Ruschel,br BRA,DF,34-302,5.0,13,4,4,9,0,7,15,46.7,8,2,0,2,5,18,6,0,Matches
Gabriel Inocêncio,br BRA,DF,29-305,4.1,13,6,7,5,1,4,9,44.4,5,2,0,2,1,14,17,0,Matches
Rodrigo Sam,br BRA,DF,28-332,4.2,6,3,5,1,0,5,6,83.3,1,7,6,1,8,14,17,0,Matches
Gilberto,br BRA,FW,35-015,2.6,1,0,1,0,0,0,1,0.0,1,1,0,1,1,2,2,0,Matches
Jean Carlos Vicente,br BRA,"FW,MF",32-126,2.5,3,2,0,3,0,1,3,33.3,2,3,0,3,3,6,0,0,Matches
Luis Mandaca,br BRA,"MF,FW",22-262,2.2,9,5,2,6,1,4,5,80.0,1,4,0,4,2,11,1,0,Matches
Thiaguinho,br BRA,MF,27-070,1.6,4,3,1,2,1,0,5,0.0,5,2,0,2,0,4,1,0,Matches
Luis Oyama,br BRA,MF,27-142,1.1,2,1,0,2,0,1,2,50.0,1,1,0,1,0,2,0,0,Matches
Ewerton,br BRA,"DF,FW",23-223,1.0,2,2,1,1,0,0,0,0.0,0,0,0,0,2,4,5,0,Matches
Lucas Freitas,br BRA,DF,23-152,0.4,1,1,0,1,0,0,0,0.0,0,1,1,0,1,2,2,0,Matches
Rildo,br BRA,"FW,MF",24-151,1.3,2,1,1,1,0,1,5,20.0,4,0,0,0,1,3,1,0,Matches
Ruan,br BRA,"FW,MF",19-048,0.8,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Matches
Gabriel Taliari,br BRA,"MF,FW",27-068,0.5,2,2,0,0,2,0,0,0.0,0,0,0,0,0,2,0,0,Matches
Werik Popó,br BRA,FW,22-247,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,2,0,Matches
Kleiton,br BRA,FW,25-058,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Abner,br BRA,MF,20-062,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Peixoto,br BRA,MF,26-356,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,0,0,28.8,9.0,174,100,74,86,14,66,146,45.2,80,104,32,72,93,267,156,1,0
Opponent Total,0,0,28.2,9.0,129,84,52,52,25,62,135,45.9,73,123,32,91,77,206,150,5,0
