D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2024-04-03,21:30,Libertadores,Group stage,Wed,Away,D,1.0,1.0,ar San Lorenzo,0.8,1.2,55.0,20007.0,Gustavo Gómez,3-4-3,Jesús Valenzuela,Match Report,0
2024-04-11,21:00,Libertadores,Group stage,Thu,Home,W,3.0,1.0,uy Liverpool,1.8,0.7,62.0,28365.0,Gustavo Gómez,4-2-3-1,Ángel Arteaga,Match Report,0
2024-04-14,18:30,Série A,Matchweek 1,Sun,Away,W,1.0,0.0,Vitória,0.8,1.4,44.0,30644.0,Luan Garcia,4-2-3-1,Braulio Machado,Match Report,0
2024-04-17,20:00,Série A,Matchweek 2,Wed,Home,L,0.0,1.0,Internacional,1.4,1.1,64.0,13464.0,Gustavo Gómez,3-4-3,Lucas Paulo Torezin,Match Report,0
2024-04-21,16:00,Série A,Matchweek 3,Sun,Home,D,0.0,0.0,Flamengo,0.4,0.2,50.0,29956.0,Gustavo Gómez,3-4-3,Rodrigo José Pereira de Lima,Match Report,0
2024-04-24,19:30,Libertadores,Group stage,Wed,Away,W,3.0,2.0,ec Independiente,0.7,1.3,32.0,6552.0,Gustavo Gómez,4-2-3-1,Cristián Garay,Match Report,0
2024-04-29,20:00,Série A,Matchweek 4,Mon,Away,D,0.0,0.0,São Paulo,0.8,0.9,43.0,55694.0,Gustavo Gómez,4-2-3-1,Wilton Pereira Sampaio,Match Report,0
2024-05-05,17:30,Série A,Matchweek 5,Sun,Away,W,2.0,0.0,Cuiabá,1.8,0.4,55.0,10781.0,Gustavo Gómez,3-4-3,Bruno Arleu,Match Report,0
2024-05-09,19:00,Libertadores,Group stage,Thu,Away,W,5.0,0.0,uy Liverpool,3.0,0.3,55.0,1848.0,Gustavo Gómez,4-2-3-1,Andrés Rojas,Match Report,0
2024-05-12,16:00,Série A,Matchweek 6,Sun,Home,L,0.0,2.0,Ath Paranaense,1.7,0.9,62.0,12108.0,Gustavo Gómez,4-2-3-1,Braulio Machado,Match Report,0
2024-05-15,21:30,Libertadores,Group stage,Wed,Home,W,2.0,1.0,ec Independiente,1.4,0.4,47.0,31672.0,Gustavo Gómez,4-2-2-2,Alexis Herrera,Match Report,0
2024-05-30,19:00,Libertadores,Group stage,Thu,Home,D,0.0,0.0,ar San Lorenzo,0.6,0.3,73.0,40114.0,Gustavo Gómez,4-2-3-1,Felipe González,Match Report,0
2024-06-02,16:00,Série A,Matchweek 7,Sun,Away,W,2.0,1.0,Criciúma,2.7,1.2,61.0,19027.0,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Match Report,0
2024-06-13,21:30,Série A,Matchweek 8,Thu,Home,W,2.0,0.0,Vasco da Gama,2.3,0.2,57.0,0.0,Marcos Rocha,4-2-3-1,Ramon Abatti,Match Report,0
2024-06-17,20:30,Série A,Matchweek 9,Mon,Away,W,4.0,0.0,Atlético Mineiro,2.8,0.4,48.0,28251.0,Marcos Rocha,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,0
2024-06-20,21:30,Série A,Matchweek 10,Thu,Home,0,0.0,0.0,Red Bull Bragantino,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-06-23,18:30,Série A,Matchweek 11,Sun,Home,0,0.0,0.0,Juventude,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-06-26,21:30,Série A,Matchweek 12,Wed,Away,0,0.0,0.0,Fortaleza,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-01,20:00,Série A,Matchweek 13,Mon,Home,0,0.0,0.0,Corinthians,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-04,19:00,Série A,Matchweek 14,Thu,Away,0,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-07,18:30,Série A,Matchweek 15,Sun,Home,0,0.0,0.0,Bahia,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-10,0,Série A,Matchweek 16,Wed,Home,0,0.0,0.0,Atl Goianiense,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-17,0,Série A,Matchweek 17,Wed,Away,0,0.0,0.0,Botafogo (RJ),0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-20,0,Série A,Matchweek 18,Sat,Home,0,0.0,0.0,Cruzeiro,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-24,0,Série A,Matchweek 19,Wed,Away,0,0.0,0.0,Fluminense,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-07-27,0,Série A,Matchweek 20,Sat,Home,0,0.0,0.0,Vitória,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-08-03,0,Série A,Matchweek 21,Sat,Away,0,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-08-10,0,Série A,Matchweek 22,Sat,Away,0,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-08-14,21:30,Libertadores,Round of 16,Wed,Away,0,0.0,0.0,br Botafogo (RJ),0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,Leg 1 of 2
2024-08-17,0,Série A,Matchweek 23,Sat,Home,0,0.0,0.0,São Paulo,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-08-21,21:30,Libertadores,Round of 16,Wed,Home,0,0.0,0.0,br Botafogo (RJ),0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,Leg 2 of 2
2024-08-24,0,Série A,Matchweek 24,Sat,Home,0,0.0,0.0,Cuiabá,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-08-31,0,Série A,Matchweek 25,Sat,Away,0,0.0,0.0,Ath Paranaense,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-09-14,0,Série A,Matchweek 26,Sat,Home,0,0.0,0.0,Criciúma,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-09-21,0,Série A,Matchweek 27,Sat,Away,0,0.0,0.0,Vasco da Gama,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-09-28,0,Série A,Matchweek 28,Sat,Home,0,0.0,0.0,Atlético Mineiro,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-10-04,0,Série A,Matchweek 29,Fri,Away,0,0.0,0.0,Red Bull Bragantino,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-10-19,0,Série A,Matchweek 30,Sat,Away,0,0.0,0.0,Juventude,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-10-25,0,Série A,Matchweek 31,Fri,Home,0,0.0,0.0,Fortaleza,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-11-06,0,Série A,Matchweek 32,Wed,Away,0,0.0,0.0,Corinthians,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-11-13,0,Série A,Matchweek 33,Wed,Home,0,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-11-20,0,Série A,Matchweek 34,Wed,Away,0,0.0,0.0,Bahia,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
2024-11-23,0,Série A,Matchweek 35,Sat,Away,0,0.0,0.0,Atl Goianiense,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0
