Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Wéverton,br BRA,GK,36-190,9.0,218,302,72.2,5936,4002,32,33,97.0,120,120,100.0,66,148,44.6,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Murilo Cerqueira,br BRA,DF,27-085,7.8,290,357,81.2,5953,2387,79,96,82.3,177,199,88.9,32,54,59.3,0,0.1,0.2,-0.1,3,28,1,0,38,Matches
Joaquín Piquerez,uy URU,DF,25-301,7.4,314,397,79.1,5669,2030,141,154,91.6,143,173,82.7,27,54,50.0,0,1.5,1.0,-1.5,12,29,11,7,45,Matches
Raphael Veiga,br BRA,MF,29-001,7.3,216,297,72.7,3942,1311,97,107,90.7,80,97,82.5,31,75,41.3,0,0.6,0.8,-0.6,18,30,5,2,43,Matches
Aníbal Moreno,ar ARG,MF,25-038,6.6,263,308,85.4,4627,1453,124,137,90.5,111,125,88.8,25,39,64.1,0,0.1,0.1,-0.1,5,42,1,0,38,Matches
Rony,br BRA,FW,29-040,6.4,61,92,66.3,952,160,35,49,71.4,19,24,79.2,5,11,45.5,0,0.8,0.6,-0.8,9,3,3,1,5,Matches
Gustavo Gómez,py PAR,DF,31-045,6.0,248,290,85.5,4924,1970,74,84,88.1,146,161,90.7,24,36,66.7,1,1.0,0.5,0.0,3,12,1,0,20,Matches
Endrick,br BRA,"MF,FW",17-335,5.0,74,104,71.2,1320,319,36,49,73.5,21,28,75.0,12,15,80.0,0,0.7,0.4,-0.7,2,11,4,1,15,Matches
Estevão,br BRA,FW,18-057,4.9,93,128,72.7,1271,425,67,81,82.7,19,27,70.4,4,12,33.3,2,1.4,1.0,0.6,5,11,4,0,15,Matches
Marcos Rocha,br BRA,DF,35-192,5.2,279,367,76.0,5457,2445,100,109,91.7,138,169,81.7,38,73,52.1,0,0.3,0.3,-0.3,8,23,6,2,31,Matches
Richard Ríos,co COL,MF,24-018,4.9,132,167,79.0,2354,570,50,60,83.3,61,73,83.6,16,21,76.2,0,0.2,0.3,-0.2,2,13,4,2,17,Matches
Lázaro,br BRA,"FW,DF",22-100,4.8,131,175,74.9,2331,637,71,84,84.5,38,50,76.0,21,30,70.0,0,0.5,0.5,-0.5,9,15,8,2,29,Matches
Mayke,br BRA,DF,31-223,4.2,168,216,77.8,2878,1158,69,80,86.3,81,96,84.4,13,25,52.0,0,0.2,0.9,-0.2,4,6,4,2,13,Matches
Gabriel Menino,br BRA,MF,23-265,3.4,158,195,81.0,2840,860,67,70,95.7,76,86,88.4,11,31,35.5,0,0.3,0.2,-0.3,6,14,0,0,22,Matches
Zé Rafael,br BRA,MF,31-004,3.2,107,127,84.3,1755,404,53,60,88.3,38,42,90.5,12,15,80.0,0,0.1,0.1,-0.1,2,8,1,0,12,Matches
José López,ar ARG,"FW,MF",23-197,2.8,35,56,62.5,569,82,17,26,65.4,13,20,65.0,3,4,75.0,0,0.2,0.1,-0.2,4,3,2,1,6,Matches
Luan Garcia,br BRA,DF,31-041,2.6,77,90,85.6,1611,442,22,26,84.6,47,49,95.9,8,13,61.5,0,0.0,0.0,0.0,0,4,0,0,1,Matches
Kaiky Naves,br BRA,DF,22-043,2.0,72,92,78.3,1475,661,17,23,73.9,49,54,90.7,6,12,50.0,0,0.0,0.0,0.0,1,5,0,0,6,Matches
Luis Guilherme,br BRA,"FW,DF",18-132,2.0,70,90,77.8,1202,317,35,41,85.4,29,36,80.6,5,9,55.6,1,1.0,1.0,0.0,10,6,4,3,8,Matches
Vanderlan,br BRA,DF,21-287,1.4,21,32,65.6,335,133,12,15,80.0,9,17,52.9,0,0,0.0,1,0.8,0.4,0.2,1,0,0,0,2,Matches
Romulo,br BRA,"MF,FW",22-257,1.1,29,41,70.7,440,108,15,21,71.4,13,13,100.0,1,4,25.0,0,0.2,0.2,-0.2,3,3,0,0,4,Matches
Fabinho,br BRA,MF,22-072,0.5,31,40,77.5,492,184,15,17,88.2,13,16,81.3,2,4,50.0,0,0.1,0.0,-0.1,2,9,0,0,8,Matches
Caio Paulista,br BRA,"DF,FW",26-040,0.3,13,17,76.5,173,67,9,9,100.0,4,6,66.7,0,2,0.0,0,0.0,0.1,0.0,0,0,1,0,1,Matches
Squad Total,0,0,27.2,9.0,3100,3980,77.9,58506,22125,1237,1431,86.4,1445,1681,86.0,362,687,52.7,5,9.8,8.9,-4.8,109,281,60,23,379,0
Opponent Total,0,0,28.3,9.0,2598,3432,75.7,46549,20304,1209,1388,87.1,996,1219,81.7,306,607,50.4,1,3.9,5.1,-2.9,71,162,55,16,223,0
