Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Luan Cândido,br BRA,DF,23-139,9.0,25,17,11,13,1,10,15,66.7,5,14,10,4,12,37,45,1,Matches
Cleiton Schwengber,br BRA,GK,26-306,7.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,1,Matches
Henry Mosquera,co COL,"FW,MF",22-218,7.3,8,3,6,1,1,2,5,40.0,3,4,1,3,3,11,4,0,Matches
Jadsom,br BRA,"MF,DF",23-031,5.3,21,13,14,5,2,8,18,44.4,10,2,1,1,6,27,13,0,Matches
Juninho Capixaba,br BRA,"DF,MF",26-350,5.3,19,10,9,9,1,9,15,60.0,6,8,1,7,9,28,16,0,Matches
Gustavinho,br BRA,MF,20-058,4.7,12,4,3,4,5,6,16,37.5,10,5,0,5,1,13,6,0,Matches
Eric Ramires,br BRA,MF,23-315,5.8,14,9,7,5,2,9,15,60.0,6,4,1,3,2,16,4,0,Matches
Pedro Henrique,br BRA,DF,28-262,5.0,11,6,9,2,0,4,6,66.7,2,7,5,2,4,15,22,2,Matches
Eduardo Sasha,br BRA,"FW,MF",32-117,4.6,2,2,0,1,1,1,4,25.0,3,3,0,3,2,4,2,0,Matches
Eduardo Santos,br BRA,DF,26-205,4.9,10,8,3,7,0,6,9,66.7,3,7,3,4,3,13,19,0,Matches
Thiago Borbas,uy URU,FW,22-074,4.9,4,2,0,4,0,3,4,75.0,1,3,2,1,1,5,9,0,Matches
Vitinho,br BRA,"FW,MF",25-080,4.4,11,8,6,5,0,8,11,72.7,3,9,0,9,3,14,6,0,Matches
Helinho,br BRA,"FW,MF",24-056,3.8,5,4,1,1,3,1,3,33.3,2,5,0,5,4,9,4,0,Matches
Lucas Evangelista,br BRA,MF,29-045,3.5,5,4,2,2,1,0,3,0.0,3,8,3,5,2,7,3,0,Matches
Nathan Mendes,br BRA,DF,21-306,3.9,4,2,3,0,1,3,6,50.0,3,3,3,0,1,5,8,0,Matches
Douglas Mendes,br BRA,DF,20-007,3.8,3,1,2,1,0,2,2,100.0,0,6,3,3,1,4,20,0,Matches
José Hurtado,ec ECU,DF,22-180,3.0,5,3,3,1,1,3,5,60.0,2,1,0,1,3,8,11,0,Matches
Matheus Fernandes,br BRA,MF,25-356,2.3,17,13,7,7,3,6,9,66.7,3,4,0,4,4,21,4,0,Matches
Ignacio Laquintana,uy URU,"FW,MF",25-140,1.9,2,1,1,1,0,0,3,0.0,3,1,0,1,2,4,1,0,Matches
Raul,br BRA,MF,27-345,1.7,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0,Matches
Lucão,br BRA,GK,23-115,1.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,Matches
Guilherme,br BRA,DF,22-127,1.2,1,0,1,0,0,1,2,50.0,1,1,1,0,2,3,7,0,Matches
Bruninho,br BRA,"FW,MF",21-098,0.9,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,Matches
Lincoln,br BRA,"MF,DF",25-226,1.0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Lucas Cunha,br BRA,DF,27-149,0.3,1,1,1,0,0,0,0,0.0,0,2,2,0,0,1,5,0,Matches
Vinicius Mendonça,br BRA,FW,20-121,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Talisson,br BRA,FW,22-030,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,24.7,9.0,182,111,89,69,24,84,156,53.8,72,99,37,62,66,248,224,4,0
Opponent Total,0,0,28.2,9.0,149,88,66,65,18,71,163,43.6,92,102,31,71,101,250,179,1,0
