Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Luan Cândido,br BRA,DF,23-139,9.0,3,0,0,18,4,1,1,12,17,0,0,0,28,22,12,64.7,Matches
Cleiton Schwengber,br BRA,GK,26-306,7.5,1,0,0,0,1,0,0,0,0,0,0,0,10,2,2,50.0,Matches
Henry Mosquera,co COL,"FW,MF",22-218,7.3,2,0,0,11,7,1,8,3,3,0,0,0,34,3,9,25.0,Matches
Jadsom,br BRA,"MF,DF",23-031,5.3,2,1,0,11,1,0,3,6,13,0,0,0,27,5,5,50.0,Matches
Juninho Capixaba,br BRA,"DF,MF",26-350,5.3,3,0,0,11,16,0,7,9,10,0,0,0,32,14,5,73.7,Matches
Gustavinho,br BRA,MF,20-058,4.7,0,0,0,9,4,0,26,1,4,0,0,0,22,8,18,30.8,Matches
Eric Ramires,br BRA,MF,23-315,5.8,1,0,0,8,8,0,8,2,9,0,0,0,31,2,5,28.6,Matches
Pedro Henrique,br BRA,DF,28-262,5.0,0,0,0,3,6,0,1,4,6,0,0,0,20,12,13,48.0,Matches
Eduardo Sasha,br BRA,"FW,MF",32-117,4.6,1,1,0,5,7,0,3,2,2,0,0,0,15,22,28,44.0,Matches
Eduardo Santos,br BRA,DF,26-205,4.9,1,0,0,1,3,0,1,3,8,0,0,0,23,14,4,77.8,Matches
Thiago Borbas,uy URU,FW,22-074,4.9,2,0,0,12,3,1,0,1,2,0,0,0,14,20,36,35.7,Matches
Vitinho,br BRA,"FW,MF",25-080,4.4,3,0,0,13,8,0,24,3,8,0,0,0,21,2,10,16.7,Matches
Helinho,br BRA,"FW,MF",24-056,3.8,0,0,0,5,7,0,23,4,4,0,0,0,29,4,7,36.4,Matches
Lucas Evangelista,br BRA,MF,29-045,3.5,2,0,0,8,7,0,7,2,4,0,0,0,14,5,9,35.7,Matches
Nathan Mendes,br BRA,DF,21-306,3.9,3,0,0,4,5,1,2,1,2,0,0,0,21,6,4,60.0,Matches
Douglas Mendes,br BRA,DF,20-007,3.8,1,0,0,4,0,0,2,1,1,0,0,0,8,9,4,69.2,Matches
José Hurtado,ec ECU,DF,22-180,3.0,0,0,0,1,1,0,3,3,3,0,0,0,7,1,4,20.0,Matches
Matheus Fernandes,br BRA,MF,25-356,2.3,0,0,0,5,5,0,0,4,13,0,0,0,21,2,2,50.0,Matches
Ignacio Laquintana,uy URU,"FW,MF",25-140,1.9,1,0,0,1,2,1,4,2,1,0,0,0,10,1,0,100.0,Matches
Raul,br BRA,MF,27-345,1.7,0,0,0,6,0,0,0,1,0,0,0,0,10,0,4,0.0,Matches
Lucão,br BRA,GK,23-115,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches
Guilherme,br BRA,DF,22-127,1.2,0,0,0,0,1,0,2,2,0,0,0,0,3,2,5,28.6,Matches
Bruninho,br BRA,"FW,MF",21-098,0.9,0,0,0,1,4,0,0,0,0,0,0,0,5,0,1,0.0,Matches
Lincoln,br BRA,"MF,DF",25-226,1.0,0,0,0,1,3,1,6,0,0,0,0,0,7,0,2,0.0,Matches
Lucas Cunha,br BRA,DF,27-149,0.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,Matches
Vinicius Mendonça,br BRA,FW,20-121,0.2,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,50.0,Matches
Talisson,br BRA,FW,22-030,0.2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,0,0,24.7,9.0,27,2,0,140,104,7,134,66,111,0,0,0,415,158,191,45.3,0
Opponent Total,0,0,28.2,9.0,25,1,1,110,136,20,200,101,88,0,1,0,395,190,158,54.6,0
