Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Luan Cândido,br BRA,DF,23-139,9,9,810.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.2,0.4,0.1,0.5,4.0,12.0,7.0,0.11,0.0,0.11,0.0,0.0,0.13,0.01,0.15,0.04,0.06,Matches
Cleiton Schwengber,br BRA,GK,26-306,8,8,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Henry Mosquera,co COL,"FW,MF",22-218,9,7,655.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,29.0,16.0,46.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Jadsom,br BRA,"MF,DF",23-031,9,7,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.3,0.4,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches
Juninho Capixaba,br BRA,"DF,MF",26-350,7,7,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.0,0.4,6.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.08,0.08,Matches
Gustavinho,br BRA,MF,20-058,9,7,427.0,4.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,3.0,15.0,8.0,0.0,0.42,0.42,0.0,0.42,0.01,0.12,0.14,0.01,0.14,Matches
Eric Ramires,br BRA,MF,23-315,9,5,522.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,6.0,17.0,17.0,0.17,0.17,0.34,0.17,0.34,0.18,0.02,0.21,0.18,0.21,Matches
Pedro Henrique,br BRA,DF,28-262,5,5,450.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,1.0,14.0,0.0,0.2,0.0,0.2,0.2,0.2,0.03,0.01,0.03,0.03,0.03,Matches
Eduardo Sasha,br BRA,"FW,MF",32-117,6,5,418.0,4.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.7,0.7,0.2,0.9,4.0,14.0,17.0,0.43,0.0,0.43,0.43,0.43,0.14,0.05,0.2,0.14,0.2,Matches
Eduardo Santos,br BRA,DF,26-205,6,4,443.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Thiago Borbas,uy URU,FW,22-074,9,4,441.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.8,0.0,7.0,22.0,0.2,0.0,0.2,0.2,0.2,0.14,0.03,0.17,0.14,0.17,Matches
Vitinho,br BRA,"FW,MF",25-080,8,4,400.0,4.4,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.0,19.0,5.0,38.0,0.45,0.45,0.9,0.45,0.9,0.07,0.16,0.23,0.07,0.23,Matches
Helinho,br BRA,"FW,MF",24-056,5,4,344.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.0,13.0,11.0,23.0,0.52,0.26,0.78,0.52,0.78,0.18,0.09,0.27,0.18,0.27,Matches
Lucas Evangelista,br BRA,MF,29-045,5,4,318.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,2.0,13.0,7.0,0.28,0.0,0.28,0.28,0.28,0.04,0.02,0.06,0.04,0.06,Matches
Nathan Mendes,br BRA,DF,21-306,5,3,353.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,5.0,15.0,6.0,0.0,0.25,0.25,0.0,0.25,0.05,0.02,0.07,0.05,0.07,Matches
Douglas Mendes,br BRA,DF,20-007,4,3,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
José Hurtado,ec ECU,DF,22-180,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,10.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
Matheus Fernandes,br BRA,MF,25-356,4,3,211.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,2.0,9.0,3.0,0.0,0.43,0.43,0.0,0.43,0.1,0.23,0.33,0.1,0.33,Matches
Ignacio Laquintana,uy URU,"FW,MF",25-140,5,2,169.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6,4.0,5.0,15.0,0.53,0.0,0.53,0.53,0.53,0.29,0.03,0.31,0.29,0.31,Matches
Raul,br BRA,MF,27-345,5,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Lucão,br BRA,GK,23-115,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme,br BRA,DF,22-127,2,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Bruninho,br BRA,"FW,MF",21-098,2,1,79.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.0,4.0,7.0,0.0,1.14,1.14,0.0,1.14,0.18,0.08,0.26,0.18,0.26,Matches
Lincoln,br BRA,"MF,DF",25-226,4,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Lucas Cunha,br BRA,DF,27-149,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vinicius Mendonça,br BRA,FW,20-121,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Talisson,br BRA,FW,22-030,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Gabriel Caetano,br BRA,MF,22-047,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dija,br BRA,DF,21-067,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Everton,br BRA,FW,22-117,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício,br BRA,GK,24-005,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kelvin Flórez,co COL,MF,20-134,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Lopes,br BRA,MF,17-344,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Realpe,ec ECU,DF,23-115,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,24.7,9,99,810.0,9.0,12.0,9.0,21.0,11.0,1.0,1.0,27.0,2.0,7.2,6.4,4.0,10.4,118.0,255.0,247.0,1.33,1.0,2.33,1.22,2.22,0.8,0.44,1.24,0.71,1.15,0
Opponent Total,0,0,28.2,9,99,810.0,9.0,9.0,7.0,16.0,9.0,0.0,0.0,25.0,1.0,12.3,12.3,10.0,22.3,130.0,337.0,333.0,1.0,0.78,1.78,1.0,1.78,1.36,1.11,2.47,1.36,2.47,0
