Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Luan Cândido,br BRA,DF,23-139,9,810.0,90.0,100.0,9.0,9,90.0,9,0,0.0,0,1.67,12.0,9.0,3.0,0.33,0.0,7.2,12.3,-5.1,-0.57,0.0,Matches
Cleiton Schwengber,br BRA,GK,26-306,8,675.0,84.0,83.3,7.5,8,84.0,7,0,0.0,0,1.5,8.0,7.0,1.0,0.13,-1.2,5.5,10.0,-4.6,-0.61,-0.24,Matches
Henry Mosquera,co COL,"FW,MF",22-218,9,655.0,73.0,80.9,7.3,7,83.0,4,2,38.0,0,1.67,10.0,6.0,4.0,0.55,1.13,6.4,9.6,-3.2,-0.44,0.67,Matches
Jadsom,br BRA,"MF,DF",23-031,9,479.0,53.0,59.1,5.3,7,59.0,2,2,33.0,0,1.67,8.0,8.0,0.0,0.0,-0.82,4.0,7.5,-3.6,-0.67,-0.25,Matches
Juninho Capixaba,br BRA,"DF,MF",26-350,7,476.0,68.0,58.8,5.3,7,68.0,1,0,0.0,1,1.71,8.0,5.0,3.0,0.57,0.57,4.8,5.8,-1.0,-0.19,0.91,Matches
Gustavinho,br BRA,MF,20-058,9,427.0,47.0,52.7,4.7,7,57.0,1,2,13.0,0,1.67,5.0,4.0,1.0,0.21,-0.26,3.0,6.4,-3.5,-0.73,-0.35,Matches
Eric Ramires,br BRA,MF,23-315,9,522.0,58.0,64.4,5.8,5,75.0,2,4,36.0,0,1.67,10.0,5.0,5.0,0.86,1.49,5.5,6.4,-0.9,-0.15,1.18,Matches
Pedro Henrique,br BRA,DF,28-262,5,450.0,90.0,55.6,5.0,5,90.0,5,0,0.0,0,1.6,6.0,4.0,2.0,0.4,0.15,3.4,7.1,-3.7,-0.74,-0.39,Matches
Eduardo Sasha,br BRA,"FW,MF",32-117,6,418.0,70.0,51.6,4.6,5,75.0,1,1,44.0,0,1.5,6.0,4.0,2.0,0.43,0.2,3.6,6.1,-2.5,-0.53,0.08,Matches
Eduardo Santos,br BRA,DF,26-205,6,443.0,74.0,54.7,4.9,4,90.0,4,2,42.0,2,1.33,5.0,5.0,0.0,0.0,-0.74,3.8,7.1,-3.3,-0.66,-0.22,Matches
Thiago Borbas,uy URU,FW,22-074,9,441.0,49.0,54.4,4.9,4,80.0,2,5,24.0,0,1.67,7.0,6.0,1.0,0.2,-0.28,4.1,7.0,-2.9,-0.6,-0.07,Matches
Vitinho,br BRA,"FW,MF",25-080,8,400.0,50.0,49.4,4.4,4,71.0,1,4,29.0,0,1.88,7.0,5.0,2.0,0.45,0.23,3.0,7.2,-4.2,-0.94,-0.73,Matches
Helinho,br BRA,"FW,MF",24-056,5,344.0,69.0,42.5,3.8,4,82.0,1,1,17.0,1,1.4,5.0,5.0,0.0,0.0,-0.58,3.4,4.7,-1.4,-0.36,0.37,Matches
Lucas Evangelista,br BRA,MF,29-045,5,318.0,64.0,39.3,3.5,4,75.0,1,1,17.0,0,1.4,5.0,5.0,0.0,0.0,-0.55,3.1,4.7,-1.6,-0.45,0.19,Matches
Nathan Mendes,br BRA,DF,21-306,5,353.0,71.0,43.6,3.9,3,90.0,3,2,42.0,0,1.0,3.0,3.0,0.0,0.0,-0.59,2.9,5.0,-2.1,-0.55,0.03,Matches
Douglas Mendes,br BRA,DF,20-007,4,345.0,86.0,42.6,3.8,3,90.0,3,1,75.0,3,2.5,6.0,4.0,2.0,0.52,0.33,3.0,6.2,-3.2,-0.84,-0.47,Matches
José Hurtado,ec ECU,DF,22-180,3,270.0,90.0,33.3,3.0,3,90.0,3,0,0.0,0,2.33,5.0,3.0,2.0,0.67,0.5,2.6,4.1,-1.6,-0.53,0.06,Matches
Matheus Fernandes,br BRA,MF,25-356,4,211.0,53.0,26.0,2.3,3,59.0,0,1,34.0,2,1.5,4.0,3.0,1.0,0.43,0.13,2.5,2.9,-0.5,-0.2,0.5,Matches
Ignacio Laquintana,uy URU,"FW,MF",25-140,5,169.0,34.0,20.9,1.9,2,68.0,1,3,11.0,4,2.2,2.0,2.0,0.0,0.0,-0.42,1.4,2.6,-1.2,-0.64,-0.09,Matches
Raul,br BRA,MF,27-345,5,155.0,31.0,19.1,1.7,2,50.0,0,3,19.0,1,2.6,1.0,1.0,0.0,0.0,-0.41,1.3,2.1,-0.9,-0.52,0.06,Matches
Lucão,br BRA,GK,23-115,2,135.0,68.0,16.7,1.5,1,90.0,1,1,45.0,7,2.0,4.0,2.0,2.0,1.33,1.2,1.7,2.2,-0.6,-0.37,0.24,Matches
Guilherme,br BRA,DF,22-127,2,111.0,56.0,13.7,1.2,1,90.0,1,1,21.0,7,2.0,2.0,1.0,1.0,0.81,0.55,1.0,1.8,-0.8,-0.65,-0.1,Matches
Bruninho,br BRA,"FW,MF",21-098,2,79.0,40.0,9.8,0.9,1,60.0,0,1,19.0,2,3.0,2.0,0.0,2.0,2.28,2.16,0.6,0.8,-0.2,-0.25,0.35,Matches
Lincoln,br BRA,"MF,DF",25-226,4,87.0,22.0,10.7,1.0,0,0.0,0,4,22.0,2,0.5,0.0,1.0,-1.0,-1.03,-1.53,0.4,2.0,-1.6,-1.67,-1.23,Matches
