Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Alisson,br BRA,MF,30-361,9.6,16,10,10,5,1,10,20,50.0,10,12,3,9,9,25,8,0,Matches
Robert Arboleda,ec ECU,DF,32-242,8.5,9,6,6,3,0,5,9,55.6,4,9,3,6,9,18,30,2,Matches
Igor Vinícius de Souza,br BRA,DF,27-080,8.4,18,13,9,6,3,8,15,53.3,7,4,0,4,6,24,7,0,Matches
Jonathan Calleri,ar ARG,FW,30-271,8.3,5,4,0,3,2,0,5,0.0,5,3,0,3,1,6,11,0,Matches
Luciano,br BRA,"MF,FW",31-033,8.0,12,8,3,7,2,3,8,37.5,5,10,0,10,3,15,5,0,Matches
Diego,br BRA,DF,24-335,8.5,10,6,5,5,0,4,7,57.1,3,8,5,3,13,23,41,0,Matches
Rafael Pires,br BRA,GK,34-363,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Welington,br BRA,DF,23-122,6.6,18,11,10,8,0,10,12,83.3,2,5,2,3,7,25,14,0,Matches
Alan Franco,ar ARG,DF,27-253,5.5,11,6,7,4,0,5,10,50.0,5,3,2,1,3,14,16,1,Matches
Rodrigo Nestor,br BRA,"FW,MF",23-316,4.6,5,4,3,2,0,2,6,33.3,4,3,1,2,2,7,3,0,Matches
Michel Araujo,uy URU,"DF,FW",27-266,3.8,5,2,1,3,1,0,7,0.0,7,4,0,4,2,7,4,0,Matches
Damián Bobadilla,py PAR,MF,22-345,2.6,10,6,6,3,1,3,8,37.5,5,2,0,2,1,11,2,0,Matches
André Silva,br BRA,"FW,MF",27-017,3.3,1,0,0,1,0,1,5,20.0,4,7,1,6,3,4,1,0,Matches
Lucas Moura,br BRA,FW,31-312,3.0,3,2,1,1,1,2,2,100.0,0,0,0,0,5,8,3,0,Matches
Jandrei,br BRA,GK,31-111,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,Matches
Pablo Maia,br BRA,MF,22-162,2.9,7,2,3,3,1,1,3,33.3,2,4,2,2,0,7,0,0,Matches
Giuliano Galoppo,ar ARG,MF,25-002,2.6,3,3,0,3,0,1,4,25.0,3,4,0,4,4,7,1,0,Matches
Luiz Gustavo,br BRA,MF,36-333,2.6,5,3,2,3,0,1,2,50.0,1,1,0,1,3,8,4,0,Matches
Nahuel Ferraresi,ve VEN,DF,25-214,2.3,6,5,2,3,1,4,10,40.0,6,4,1,3,3,9,3,0,Matches
Juan Santos,br BRA,"MF,FW",22-106,1.7,1,1,0,1,0,1,2,50.0,1,3,0,3,1,2,2,0,Matches
Patryck,br BRA,DF,21-154,1.0,1,1,1,0,0,1,4,25.0,3,0,0,0,3,4,4,0,Matches
Wellington Rato,br BRA,"FW,MF",31-358,0.9,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,Matches
João Moreira,pt POR,DF,20-030,0.5,2,1,0,2,0,0,0,0.0,0,0,0,0,1,3,3,1,Matches
Erick,br BRA,"MF,DF",26-193,1.6,4,4,1,2,1,0,0,0.0,0,2,0,2,1,5,2,0,Matches
Ferreira,br BRA,"MF,FW",26-172,1.6,5,4,3,2,0,1,5,20.0,4,2,0,2,1,6,0,0,Matches
Rodrigo,br BRA,MF,20-096,0.6,4,2,1,2,1,2,4,50.0,2,2,0,2,0,4,3,0,Matches
William Gomes,br BRA,"DF,MF",18-097,0.5,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,0,0,Matches
James Rodríguez,co COL,MF,32-344,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,0,0,28.5,10.0,163,105,75,73,15,65,152,42.8,87,95,20,75,81,244,169,4,0
Opponent Total,0,0,28.0,10.0,149,88,60,73,16,67,147,45.6,80,114,37,77,71,220,186,3,0
