Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Alisson,br BRA,MF,30-361,9.6,743,19,121,495,130,2,743,17,11,64.7,5,29.4,486,2195,1085,11,18,0,6,9,586,15,Matches
Robert Arboleda,ec ECU,DF,32-242,8.5,649,74,339,305,9,6,649,0,0,0.0,0,0.0,388,1360,733,1,3,0,2,0,473,0,Matches
Igor Vinícius de Souza,br BRA,DF,27-080,8.4,645,10,154,308,192,13,645,23,13,56.5,8,34.8,385,1934,915,20,21,2,12,4,444,65,Matches
Jonathan Calleri,ar ARG,FW,30-271,8.3,221,11,20,106,96,37,221,5,2,40.0,2,40.0,117,381,139,5,2,2,17,14,174,40,Matches
Luciano,br BRA,"MF,FW",31-033,8.0,322,3,35,178,113,29,321,15,7,46.7,7,46.7,184,778,200,3,7,1,8,10,239,42,Matches
Diego,br BRA,DF,24-335,8.5,671,67,288,360,25,8,671,2,1,50.0,0,0.0,399,1668,778,4,3,0,4,1,478,1,Matches
Rafael Pires,br BRA,GK,34-363,7.0,191,174,190,1,0,0,191,0,0,0.0,0,0.0,101,380,167,0,0,0,0,0,102,0,Matches
Welington,br BRA,DF,23-122,6.6,466,19,128,220,122,4,466,13,7,53.8,6,46.2,244,1061,578,12,12,2,14,6,296,46,Matches
Alan Franco,ar ARG,DF,27-253,5.5,402,47,208,183,15,5,402,2,1,50.0,1,50.0,273,1144,498,4,4,0,2,0,300,1,Matches
Rodrigo Nestor,br BRA,"FW,MF",23-316,4.6,289,5,28,132,129,7,289,10,4,40.0,5,50.0,178,898,516,17,9,3,3,4,206,25,Matches
Michel Araujo,uy URU,"DF,FW",27-266,3.8,273,2,36,131,111,17,273,15,10,66.7,4,26.7,172,994,471,15,14,3,9,4,186,24,Matches
Damián Bobadilla,py PAR,MF,22-345,2.6,141,1,24,88,29,6,141,1,0,0.0,1,100.0,82,289,133,2,3,1,0,1,106,2,Matches
André Silva,br BRA,"FW,MF",27-017,3.3,123,2,15,56,53,10,123,5,3,60.0,2,40.0,71,332,164,4,4,0,11,10,95,21,Matches
Lucas Moura,br BRA,FW,31-312,3.0,155,3,14,90,55,11,155,10,4,40.0,5,50.0,106,639,299,10,4,3,3,3,124,23,Matches
Jandrei,br BRA,GK,31-111,3.0,121,106,120,1,0,0,121,0,0,0.0,0,0.0,70,290,187,0,0,0,0,0,64,0,Matches
Pablo Maia,br BRA,MF,22-162,2.9,222,1,34,149,39,0,222,3,2,66.7,1,33.3,135,482,193,0,4,0,3,2,178,3,Matches
Giuliano Galoppo,ar ARG,MF,25-002,2.6,147,2,12,78,57,16,147,4,1,25.0,3,75.0,89,515,212,7,5,3,8,2,109,14,Matches
Luiz Gustavo,br BRA,MF,36-333,2.6,208,4,41,138,33,0,208,1,1,100.0,0,0.0,144,736,336,7,6,0,3,0,160,2,Matches
Nahuel Ferraresi,ve VEN,DF,25-214,2.3,216,11,70,122,25,5,216,3,2,66.7,1,33.3,130,505,269,3,4,0,1,0,156,4,Matches
Juan Santos,br BRA,"MF,FW",22-106,1.7,60,2,7,22,32,11,60,3,2,66.7,1,33.3,35,219,121,3,4,2,6,0,37,14,Matches
Patryck,br BRA,DF,21-154,1.0,57,4,23,28,8,0,57,2,1,50.0,1,50.0,31,199,80,1,0,0,0,1,32,2,Matches
Wellington Rato,br BRA,"FW,MF",31-358,0.9,78,0,6,41,31,1,78,1,1,100.0,0,0.0,57,242,81,1,3,0,0,2,69,9,Matches
João Moreira,pt POR,DF,20-030,0.5,32,3,19,12,1,0,32,0,0,0.0,0,0.0,17,50,28,1,1,0,0,0,18,0,Matches
Erick,br BRA,"MF,DF",26-193,1.6,89,1,8,33,49,3,89,12,4,33.3,8,66.7,60,396,161,4,3,0,3,4,64,18,Matches
Ferreira,br BRA,"MF,FW",26-172,1.6,85,2,11,41,38,12,85,4,2,50.0,2,50.0,60,409,261,12,7,7,3,3,64,14,Matches
Rodrigo,br BRA,MF,20-096,0.6,39,2,7,15,17,4,39,1,0,0.0,1,100.0,19,146,106,5,2,1,2,1,22,4,Matches
William Gomes,br BRA,"DF,MF",18-097,0.5,38,0,4,11,25,5,38,3,1,33.3,2,66.7,23,158,107,7,2,1,4,0,23,8,Matches
James Rodríguez,co COL,MF,32-344,0.4,48,0,5,31,13,0,48,1,0,0.0,1,100.0,30,130,63,0,1,0,1,0,37,3,Matches
Squad Total,0,0,28.5,10.0,6731,575,1967,3375,1447,212,6730,156,80,51.3,67,42.9,4086,18530,8881,159,146,31,125,81,4842,400,0
Opponent Total,0,0,28.0,10.0,4938,589,1665,2328,993,127,4938,165,87,52.7,64,38.8,2502,13243,6680,115,90,30,126,97,3058,273,0
