D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2024-04-14,16:00,Série A,Matchweek 1,Sun,Home,W,2.0,1.0,Grêmio,0.9,1.2,47.0,17722.0,Gary Medel,4-3-3,Flavio Rodrigues de Souza,Match Report,0.0
2024-04-17,19:00,Série A,Matchweek 2,Wed,Away,L,1.0,2.0,Red Bull Bragantino,1.2,0.9,59.0,5448.0,Léo Pelé,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,0.0
2024-04-20,16:00,Série A,Matchweek 3,Sat,Away,L,1.0,2.0,Fluminense,1.9,1.3,43.0,25842.0,Léo Pelé,4-3-3,Wilton Pereira Sampaio,Match Report,0.0
2024-04-27,16:00,Série A,Matchweek 4,Sat,Home,L,0.0,4.0,Criciúma,1.9,1.4,58.0,17124.0,Gary Medel,4-2-3-1,Caio Max Augusto Vieira,Match Report,0.0
2024-05-05,16:00,Série A,Matchweek 5,Sun,Away,L,0.0,1.0,Ath Paranaense,0.5,2.3,44.0,31192.0,Léo Pelé,4-3-3,Anderson Daronco,Match Report,0.0
2024-05-12,18:30,Série A,Matchweek 6,Sun,Home,W,2.0,1.0,Vitória,1.7,1.7,56.0,11084.0,Léo Pelé,4-2-3-1,Raphael Claus,Match Report,0.0
2024-06-02,16:00,Série A,Matchweek 7,Sun,Home,L,1.0,6.0,Flamengo,0.1,3.8,27.0,62228.0,Léo Pelé,3-4-3,Braulio Machado,Match Report,0.0
2024-06-13,21:30,Série A,Matchweek 8,Thu,Away,L,0.0,2.0,Palmeiras,0.2,2.3,43.0,0.0,Léo Pelé,5-4-1,Ramon Abatti,Match Report,0.0
2024-06-16,18:30,Série A,Matchweek 9,Sun,Home,D,0.0,0.0,Cruzeiro,1.0,0.2,50.0,0.0,Léo Pelé,4-2-3-1,Rafael Rodrigo Klein,Match Report,0.0
2024-06-19,20:00,Série A,Matchweek 10,Wed,Away,L,0.0,2.0,Juventude,0.3,1.2,46.0,0.0,Léo Pelé,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,0.0
2024-06-22,21:30,Série A,Matchweek 11,Sat,Home,0,0.0,0.0,São Paulo,0.0,0.0,0.0,0.0,0,0,0,Head-to-Head,0.0
