Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Léo Jardim,br BRA,GK,29-092,10.0,260,160,98,16,0,2,0,0,0,0,0,0,194,2,0,Matches
Léo Pelé,br BRA,DF,28-106,10.0,467,456,10,9,0,1,3,1,0,0,0,0,401,1,3,Matches
Pablo Vegetti,ar ARG,FW,35-249,8.8,154,127,27,0,0,2,4,0,0,0,0,0,97,0,5,Matches
Pablo Galdames Millán,cl CHI,MF,27-173,8.1,355,333,21,13,0,2,14,1,7,1,5,0,293,1,5,Matches
Lucas Piton,br BRA,DF,23-255,7.9,417,337,79,13,0,0,58,54,12,1,10,0,321,1,20,Matches
Rossi,br BRA,"FW,MF",31-059,4.8,138,118,20,4,0,0,44,2,14,0,12,0,77,0,10,Matches
Maicon,br BRA,DF,35-280,8.0,350,324,24,19,0,7,8,4,1,0,0,0,280,2,6,Matches
Paulo Henrique,br BRA,DF,27-331,7.2,333,272,60,5,0,2,24,55,0,0,0,0,255,1,9,Matches
David,br BRA,"FW,MF",28-247,6.6,181,174,6,1,1,0,9,2,3,1,2,0,138,1,7,Matches
Juan Sforza,ar ARG,MF,22-127,6.2,393,380,11,9,0,7,3,1,0,0,0,0,342,2,1,Matches
Mateus Cocão,br BRA,MF,22-094,3.7,224,215,6,3,0,1,1,3,0,0,0,0,182,3,7,Matches
Zé Gabriel,br BRA,MF,25-151,4.0,153,143,9,9,0,2,0,0,0,0,0,0,126,1,3,Matches
João Victor,br BRA,DF,25-339,2.9,153,137,14,2,0,0,1,12,0,0,0,0,126,2,2,Matches
Dimitri Payet,fr FRA,MF,37-083,1.9,108,101,7,2,0,0,9,3,2,2,0,0,90,0,0,Matches
Adson,br BRA,"FW,MF",23-258,3.3,162,157,4,0,0,0,8,4,0,0,0,0,131,1,7,Matches
Rayan Vitor,br BRA,"FW,MF",17-322,3.3,71,66,5,0,1,0,7,2,3,2,0,0,52,0,1,Matches
Victor Luis,br BRA,DF,30-363,2.2,127,101,26,5,0,0,9,19,2,1,1,0,101,0,3,Matches
José Luis Rodríguez Bebanz,uy URU,DF,27-098,1.8,66,49,16,1,0,1,11,15,0,0,0,0,35,1,3,Matches
João Pedro,br BRA,MF,19-062,1.5,45,45,0,0,0,1,0,0,0,0,0,0,33,0,2,Matches
Hugo Moura,br BRA,MF,26-169,1.5,86,84,2,1,0,1,1,1,0,0,0,0,70,0,3,Matches
Gary Medel,cl CHI,DF,36-322,1.2,75,71,4,4,0,0,0,0,0,0,0,0,67,0,0,Matches
Clayton,br BRA,FW,25-161,1.6,29,26,3,0,0,0,2,1,0,0,0,0,21,0,1,Matches
Robert Rojas,py PAR,DF,28-051,0.4,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
Erick Marcus,br BRA,"MF,FW",20-111,0.7,28,28,0,0,0,0,2,0,0,0,0,0,20,0,2,Matches
Bruno Praxedes,br BRA,MF,22-133,0.5,22,19,3,1,0,0,2,0,2,1,1,0,17,0,0,Matches
Sergio Antonio De Luiz Junior,br BRA,"FW,MF",29-075,0.5,12,11,1,1,0,0,3,0,0,0,0,0,5,0,0,Matches
Squad Total,0,0,28.1,10.0,4421,3946,456,118,2,29,223,180,46,9,31,0,3485,19,100,0
Opponent Total,0,0,28.1,10.0,4940,4424,503,155,6,21,191,208,53,24,14,0,4067,13,85,0
