Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Lucas Arcanjo,br BRA,GK,25-317,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheusinho,br BRA,"MF,FW",26-246,9,9,680.0,7.6,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.6,2.4,15.0,21.0,34.0,0.13,0.26,0.4,0.13,0.4,0.11,0.21,0.32,0.11,0.32,Matches
Willian,br BRA,MF,31-035,8,8,688.0,7.6,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,3.0,32.0,10.0,0.39,0.0,0.39,0.39,0.39,0.1,0.02,0.12,0.1,0.12,Matches
Wagner,br BRA,DF,24-333,8,8,636.0,7.1,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.2,0.0,1.2,1.0,19.0,0.0,0.28,0.0,0.28,0.14,0.14,0.28,0.0,0.28,0.17,0.17,Matches
Alerrandro,br BRA,FW,24-160,8,8,519.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.5,1.4,6.0,9.0,23.0,0.0,0.17,0.17,0.0,0.17,0.16,0.08,0.24,0.16,0.24,Matches
Osvaldo,br BRA,"MF,FW",37-070,7,7,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,13.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.26,0.23,0.26,Matches
Lucas Esteves,br BRA,DF,23-362,8,6,611.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,8.0,24.0,29.0,0.0,0.15,0.15,0.0,0.15,0.02,0.06,0.08,0.02,0.08,Matches
Willean Lepo,br BRA,DF,27-156,7,6,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.6,0.8,15.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.16,0.04,0.16,Matches
Camutanga,br BRA,DF,30-267,5,5,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.2,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Luan Silva,br BRA,MF,25-037,6,5,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Zeca,br BRA,DF,30-035,5,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,14.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Bruno Uvini,br BRA,DF,33-017,4,4,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Dudu,br BRA,MF,25-015,4,4,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.1,0.1,4.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Janderson,br BRA,"MF,FW",25-045,5,3,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,10.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.12,0.08,0.12,Matches
Rodrigo Andrade,br BRA,"MF,FW",27-016,3,3,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Patric Calmon PK,br BRA,DF,29-351,4,3,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,7.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Léo Naldi,br BRA,MF,22-307,5,2,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,2.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Caio Vinícius,br BRA,MF,25-161,3,2,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
