Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Lucas Arcanjo,br BRA,GK,25-317,9.0,252,213,250,2,0,0,252,0,0,0.0,0,0.0,134,791,539,0,0,0,0,0,109,1,Matches
Matheusinho,br BRA,"MF,FW",26-246,7.6,320,3,39,161,126,11,320,20,7,35.0,8,40.0,217,1403,566,15,17,1,23,17,229,34,Matches
Willian,br BRA,MF,31-035,7.6,327,22,73,208,46,11,327,4,0,0.0,3,75.0,176,621,264,3,5,0,10,7,223,10,Matches
Wagner,br BRA,DF,24-333,7.1,409,70,228,169,14,7,408,4,4,100.0,0,0.0,237,1200,657,1,2,0,3,5,249,0,Matches
Alerrandro,br BRA,FW,24-160,5.8,172,10,22,97,55,17,172,6,1,16.7,4,66.7,95,362,156,6,1,1,10,4,108,23,Matches
Osvaldo,br BRA,"MF,FW",37-070,4.5,152,2,30,70,54,10,152,10,4,40.0,6,60.0,108,694,334,13,8,4,7,10,118,32,Matches
Lucas Esteves,br BRA,DF,23-362,6.8,421,26,147,184,90,6,421,10,2,20.0,8,80.0,206,837,403,8,3,2,1,5,236,29,Matches
Willean Lepo,br BRA,DF,27-156,4.8,311,17,96,140,78,6,311,28,16,57.1,7,25.0,144,805,383,15,5,1,13,9,139,6,Matches
Camutanga,br BRA,DF,30-267,5.0,236,27,136,95,7,3,236,1,0,0.0,1,100.0,130,524,273,0,0,0,0,0,133,1,Matches
Luan Silva,br BRA,MF,25-037,3.5,165,7,41,110,15,0,165,1,1,100.0,0,0.0,89,355,109,2,1,0,5,0,90,0,Matches
Zeca,br BRA,DF,30-035,4.3,259,18,89,120,53,2,259,4,2,50.0,1,25.0,150,1043,617,14,11,2,0,9,155,12,Matches
Bruno Uvini,br BRA,DF,33-017,3.7,174,25,101,73,2,2,174,0,0,0.0,0,0.0,91,383,124,0,0,0,0,0,110,0,Matches
Dudu,br BRA,MF,25-015,3.3,203,6,49,129,31,1,203,11,7,63.6,4,36.4,113,696,350,4,3,1,5,4,132,8,Matches
Janderson,br BRA,"MF,FW",25-045,3.3,143,3,23,56,64,5,143,11,5,45.5,5,45.5,81,612,287,10,9,2,11,9,104,21,Matches
Rodrigo Andrade,br BRA,"MF,FW",27-016,2.6,126,3,25,83,21,3,126,5,1,20.0,3,60.0,83,519,267,4,4,1,5,5,92,8,Matches
Patric Calmon PK,br BRA,DF,29-351,2.3,145,12,42,62,43,4,145,6,2,33.3,4,66.7,72,451,236,7,3,3,2,2,74,16,Matches
Léo Naldi,br BRA,MF,22-307,2.6,135,6,26,84,26,2,135,1,1,100.0,0,0.0,77,316,127,2,0,0,1,3,83,7,Matches
Caio Vinícius,br BRA,MF,25-161,1.6,62,3,15,38,11,1,62,1,1,100.0,0,0.0,37,122,46,0,0,0,3,1,45,5,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",29-266,2.3,77,2,9,41,30,4,77,8,5,62.5,2,25.0,58,494,232,6,5,3,4,7,58,14,Matches
Reynaldo Cesar Moraes,br BRA,DF,27-169,2.2,83,13,59,25,0,0,83,0,0,0.0,0,0.0,37,207,106,1,0,0,1,0,45,0,Matches
Daniel Jr,br BRA,"FW,MF",22-042,0.8,58,0,5,25,28,0,58,7,2,28.6,4,57.1,35,282,94,0,3,0,2,3,39,6,Matches
Luiz Adriano,br BRA,FW,37-069,1.6,39,1,1,27,11,4,39,2,0,0.0,2,100.0,17,78,11,0,1,0,0,3,30,7,Matches
Iury de Castilho,br BRA,"FW,MF",28-288,1.3,45,2,8,15,24,4,45,8,5,62.5,3,37.5,32,240,128,5,5,0,2,5,39,8,Matches
Jean Mota,br BRA,MF,30-249,1.2,103,1,10,69,26,3,103,2,0,0.0,1,50.0,61,239,128,0,2,0,3,2,73,8,Matches
Erick Castillo,ec ECU,"MF,DF",29-136,1.2,42,2,5,8,29,3,42,5,2,40.0,3,60.0,28,204,51,3,4,1,6,1,30,10,Matches
José Hugo,br BRA,"MF,DF",24-247,1.2,57,1,4,27,28,7,57,9,6,66.7,3,33.3,44,324,74,5,3,4,8,7,41,7,Matches
Léo Gamalho,br BRA,FW,38-142,0.2,10,0,0,7,3,0,10,0,0,0.0,0,0.0,7,31,20,1,0,0,0,0,8,1,Matches
Squad Total,0,0,27.8,9.0,4526,495,1533,2125,915,116,4525,164,74,45.1,72,43.9,2559,13833,6582,125,95,26,125,118,2792,274,0
Opponent Total,0,0,28.3,9.0,5883,434,1533,3015,1375,185,5883,134,65,48.5,63,47.0,3279,16549,9135,160,124,34,143,80,4087,390,0
