Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Ohis Felix Uduokhai,de GER,DF,25.0,32.5,20,0.62,12,2,0,2,1,3,0,0.0,0,0,0,0,0,0,Matches
Ermedin Demirović,ba BIH,"FW,MF",25.0,31.9,72,2.26,49,0,9,8,6,0,14,0.44,11,0,2,0,1,0,Matches
Finn Dahmen,de GER,GK,25.0,31.0,10,0.32,6,4,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Phillip Tietz,de GER,FW,26.0,26.5,55,2.08,45,0,1,7,2,0,8,0.3,6,0,0,2,0,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,32.0,28.8,37,1.28,30,2,0,4,0,1,2,0.07,2,0,0,0,0,0,Matches
Ruben Vargas,ch SUI,"MF,FW",24.0,21.8,69,3.17,49,7,4,5,4,0,7,0.32,6,0,0,1,0,0,Matches
Elvis Rexhbeçaj,de GER,MF,25.0,22.1,41,1.86,31,2,2,3,3,0,1,0.05,1,0,0,0,0,0,Matches
Kevin Mbabu,ch SUI,DF,28.0,22.7,57,2.51,44,7,4,0,2,0,4,0.18,3,1,0,0,0,0,Matches
Mads Pedersen,dk DEN,DF,26.0,19.8,38,1.92,25,3,3,3,3,1,3,0.15,3,0,0,0,0,0,Matches
Iago,br BRA,DF,26.0,18.0,42,2.33,33,1,2,1,3,2,2,0.11,2,0,0,0,0,0,Matches
Fredrik Jensen,fi FIN,"MF,FW",25.0,14.9,50,3.36,27,18,0,4,0,1,8,0.54,4,3,0,1,0,0,Matches
Niklas Dorsch,de GER,MF,25.0,15.4,18,1.17,12,0,1,2,2,1,1,0.06,1,0,0,0,0,0,Matches
Arne Engels,be BEL,"MF,DF",19.0,15.6,40,2.56,28,8,0,2,2,0,8,0.51,5,1,0,0,2,0,Matches
Kristijan Jakić,hr CRO,MF,26.0,11.7,20,1.71,13,0,1,1,2,3,3,0.26,2,0,0,1,0,0,Matches
Arne Maier,de GER,MF,24.0,11.1,66,5.92,37,19,2,6,2,0,6,0.54,3,1,0,2,0,0,Matches
Maximilian Bauer,de GER,DF,23.0,9.0,4,0.44,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Tim Breithaupt,de GER,MF,21.0,7.0,11,1.58,11,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Robert Gumny,pl POL,DF,25.0,5.3,11,2.06,6,2,1,2,0,0,3,0.56,3,0,0,0,0,0,Matches
Sven Michel,de GER,"FW,MF",33.0,6.5,16,2.47,13,0,1,1,0,1,3,0.46,3,0,0,0,0,0,Matches
Patric Pfeiffer,de GER,DF,23.0,5.7,7,1.23,4,0,0,3,0,0,1,0.18,1,0,0,0,0,0,Matches
Dion Drena Beljo,hr CRO,"FW,MF",21.0,6.5,21,3.25,12,0,3,2,4,0,3,0.46,1,0,0,1,1,0,Matches
Tomáš Koubek,cz CZE,GK,30.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mergim Berisha,de GER,FW,25.0,1.4,5,3.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Mert Kömür,de GER,"MF,DF",18.0,1.3,5,3.81,2,1,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Pep Biel,es ESP,"MF,FW",26.0,3.2,10,3.17,7,2,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Irvin Cardona,fr FRA,"MF,DF",25.0,0.6,1,1.67,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Masaya Okugawa,jp JPN,"FW,DF",27.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathanael Mbuku,fr FRA,FW,21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mahmut Kücüksahin,0,MF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.0,34.0,726,21.35,503,78,35,58,39,13,78,2.29,58,6,2,8,4,0,0
Opponent Total,0,0,26.6,34.0,902,26.53,693,73,32,64,34,6,104,3.06,77,8,1,10,8,0,0
