Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Harry Kane,eng ENG,FW,30.0,32,32,2839.0,31.5,36.0,8.0,44.0,31.0,5.0,5.0,2.0,0.0,30.6,26.7,6.4,33.0,36.0,102.0,164.0,1.14,0.25,1.39,0.98,1.24,0.97,0.2,1.17,0.85,1.05,Matches
Joshua Kimmich,de GER,"MF,DF",28.0,28,27,2176.0,24.2,1.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,1.1,1.1,7.1,8.3,56.0,229.0,114.0,0.04,0.25,0.29,0.04,0.29,0.05,0.3,0.34,0.05,0.34,Matches
Leon Goretzka,de GER,MF,28.0,30,25,2241.0,24.9,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,5.0,5.0,5.3,10.2,66.0,176.0,71.0,0.24,0.28,0.52,0.24,0.52,0.2,0.21,0.41,0.2,0.41,Matches
Leroy Sané,de GER,FW,27.0,27,25,2137.0,23.7,8.0,11.0,19.0,8.0,0.0,0.0,4.0,0.0,10.9,10.9,10.8,21.8,121.0,113.0,274.0,0.34,0.46,0.8,0.34,0.8,0.46,0.46,0.92,0.46,0.92,Matches
Alphonso Davies,ca CAN,DF,22.0,29,24,2065.0,22.9,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9,3.8,121.0,117.0,139.0,0.09,0.22,0.31,0.09,0.31,0.04,0.12,0.17,0.04,0.17,Matches
Manuel Neuer,de GER,GK,37.0,23,23,2053.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kim Min-jae,kr KOR,DF,26.0,25,22,1970.0,21.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,14.0,131.0,3.0,0.05,0.05,0.09,0.05,0.09,0.04,0.02,0.05,0.04,0.05,Matches
Jamal Musiala,de GER,"MF,FW",20.0,24,20,1755.0,19.5,10.0,5.0,15.0,10.0,0.0,0.0,2.0,0.0,7.9,7.9,6.0,13.9,103.0,100.0,163.0,0.51,0.26,0.77,0.51,0.77,0.4,0.31,0.71,0.4,0.71,Matches
Thomas Müller,de GER,"MF,FW",33.0,31,20,1654.0,18.4,5.0,9.0,14.0,5.0,0.0,0.0,0.0,0.0,5.7,5.7,8.4,14.1,38.0,82.0,188.0,0.27,0.49,0.76,0.27,0.76,0.31,0.46,0.77,0.31,0.77,Matches
Dayot Upamecano,fr FRA,DF,24.0,25,19,1762.0,19.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.7,1.7,0.5,2.1,28.0,137.0,10.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.11,0.08,0.11,Matches
Konrad Laimer,at AUT,"DF,MF",26.0,29,18,1772.0,19.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.9,4.9,62.0,127.0,98.0,0.0,0.15,0.15,0.0,0.15,0.05,0.2,0.25,0.05,0.25,Matches
Matthijs de Ligt,nl NED,DF,23.0,22,16,1390.0,15.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,0.1,1.9,16.0,98.0,6.0,0.13,0.0,0.13,0.13,0.13,0.11,0.01,0.12,0.11,0.12,Matches
Noussair Mazraoui,ma MAR,DF,25.0,19,15,1197.0,13.3,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,1.8,2.6,34.0,103.0,79.0,0.0,0.23,0.23,0.0,0.23,0.07,0.13,0.2,0.07,0.2,Matches
Kingsley Coman,fr FRA,FW,27.0,17,15,1113.0,12.4,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.8,2.8,3.8,6.6,75.0,72.0,210.0,0.24,0.24,0.49,0.24,0.49,0.22,0.31,0.53,0.22,0.53,Matches
Aleksandar Pavlovic,de GER,MF,19.0,19,14,1227.0,13.6,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.2,1.2,1.0,2.2,14.0,105.0,14.0,0.15,0.15,0.29,0.15,0.29,0.09,0.07,0.16,0.09,0.16,Matches
Raphaël Guerreiro,pt POR,"DF,MF",29.0,20,13,1191.0,13.2,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,2.0,4.4,36.0,86.0,90.0,0.23,0.0,0.23,0.23,0.23,0.18,0.15,0.33,0.18,0.33,Matches
Eric Dier,eng ENG,DF,29.0,15,13,1166.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.7,8.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Sven Ulreich,de GER,GK,34.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",34.0,27,7,717.0,8.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.5,4.5,1.8,6.4,23.0,21.0,71.0,0.25,0.25,0.5,0.25,0.5,0.57,0.23,0.8,0.57,0.8,Matches
Mathys Tel,fr FRA,"FW,MF",18.0,30,6,1050.0,11.7,7.0,5.0,12.0,7.0,0.0,0.0,2.0,0.0,3.7,3.7,2.3,6.0,45.0,27.0,122.0,0.6,0.43,1.03,0.6,1.03,0.32,0.2,0.52,0.32,0.52,Matches
Serge Gnabry,de GER,"FW,MF",28.0,10,5,432.0,4.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,1.2,3.7,23.0,23.0,49.0,0.62,0.21,0.83,0.62,0.83,0.51,0.26,0.77,0.51,0.77,Matches
Bryan Zaragoza,es ESP,"FW,MF",22.0,7,1,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,14.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.23,0.11,0.34,0.23,0.34,Matches
Lovro Zvonarek,hr CRO,"FW,MF",18.0,5,1,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,7.0,7.0,9.0,0.55,0.0,0.55,0.55,0.55,0.04,0.12,0.15,0.04,0.15,Matches
Sacha Boey,fr FRA,DF,22.0,2,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Bouna Sarr,sn SEN,DF,31.0,2,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Frans Krätzig,de GER,DF,20.0,4,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.84,0.42,0.84,Matches
Daniel Peretz,il ISR,GK,23.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matteo Perez Vinlöf,se SWE,FW,17.0,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
