D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-12,18:00,DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,0.0,0.0,58,21452,Anthony Losilla,4-3-3,Sven Jablonski,Match Report,Arminia won on penalty kicks following extra time
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,0.8,3.0,40,53000,Anthony Losilla,3-4-3,Daniel Siebert,Match Report,0
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,1.0,1.3,36,26000,Anthony Losilla,3-5-2,Robert Schröder,Match Report,0
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,1.6,1.9,62,27424,Anthony Losilla,3-5-2,Martin Petersen,Match Report,0
2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,2.0,0.6,49,26000,Anthony Losilla,3-5-2,Benjamin Brand,Match Report,0
2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,7,Bayern Munich,0.1,4.8,38,75000,Anthony Losilla,3-5-2,Robert Hartmann,Match Report,0
2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,L,1,3,Gladbach,1.7,2.9,58,26000,Anthony Losilla,3-5-2,Felix Brych,Match Report,0
2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,D,0,0,RB Leipzig,0.4,2.5,25,44269,Anthony Losilla,3-5-2,Timo Gerach,Match Report,0
2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,1.5,2.3,42,33900,Anthony Losilla,3-4-3,Tobias Reichel,Match Report,0
2023-10-27,20:30,Bundesliga,Matchweek 9,Fri,Home,D,2,2,Mainz 05,1.4,0.4,50,26000,Anthony Losilla,3-4-3,Patrick Ittrich,Match Report,0
2023-11-03,20:30,Bundesliga,Matchweek 10,Fri,Away,W,2,1,Darmstadt 98,1.2,0.7,42,17810,Anthony Losilla,4-3-3,Marco Fritz,Match Report,0
2023-11-11,18:30,Bundesliga,Matchweek 11,Sat,Home,D,1,1,Köln,3.7,0.9,52,26000,Kevin Stöger,4-3-3,Matthias Jöllenbeck,Match Report,0
2023-11-26,15:30,Bundesliga,Matchweek 12,Sun,Away,D,0,0,Heidenheim,0.4,0.8,51,15000,Anthony Losilla,4-3-3,Felix Zwayer,Match Report,0
2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Home,W,3,1,Wolfsburg,1.5,1.3,44,24350,Anthony Losilla,4-2-3-1,Robert Schröder,Match Report,0
2023-12-08,20:30,Bundesliga,Matchweek 14,Fri,Away,L,1,3,Hoffenheim,1.5,1.5,58,16023,Anthony Losilla,4-3-3,Matthias Jöllenbeck,Match Report,0
2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Home,W,3,0,Union Berlin,2.8,0.7,49,25300,Anthony Losilla,4-3-3,Sven Jablonski,Match Report,0
2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,L,0,4,Leverkusen,0.4,3.3,31,30210,Anthony Losilla,4-3-3,Daniel Schlager,Match Report,0
2024-01-14,15:30,Bundesliga,Matchweek 17,Sun,Home,D,1,1,Werder Bremen,0.7,0.8,49,26000,Anthony Losilla,4-3-3,Tobias Stieler,Match Report,0
2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,W,1,0,Stuttgart,0.9,1.4,38,26000,Anthony Losilla,4-4-2,Bastian Dankert,Match Report,0
