Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Manuel Riemann,de GER,GK,34.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,0.0,0,1.0,41.0,70.0,-29.0,-0.88,2.12,43.7,61.7,-18.0,-0.55,0.75,Matches
Bernardo,br BRA,DF,28.0,33,2924.0,89.0,95.6,32.5,33,89.0,31,0,0.0,0,1.0,41.0,68.0,-27.0,-0.83,2.48,43.9,57.9,-14.0,-0.43,3.09,Matches
Kevin Stöger,at AUT,MF,29.0,32,2668.0,83.0,87.2,29.6,32,83.0,21,0,0.0,0,0.94,38.0,65.0,-27.0,-0.91,0.24,38.8,54.0,-15.1,-0.51,0.45,Matches
Anthony Losilla,fr FRA,MF,37.0,31,2576.0,83.0,84.2,28.6,31,83.0,19,0,0.0,0,0.94,32.0,54.0,-22.0,-0.77,1.09,33.7,49.5,-15.8,-0.55,0.1,Matches
Takuma Asano,jp JPN,"FW,MF",28.0,29,1986.0,68.0,64.9,22.1,26,74.0,5,3,21.0,0,0.86,25.0,53.0,-28.0,-1.27,-0.93,29.2,41.6,-12.4,-0.56,0.02,Matches
Erhan Mašović,rs SRB,"DF,MF",24.0,29,2219.0,77.0,72.5,24.7,24,87.0,21,5,24.0,3,1.0,25.0,53.0,-28.0,-1.14,-0.71,28.5,45.8,-17.3,-0.7,-0.48,Matches
Keven Schlotterbeck,de GER,DF,26.0,27,2185.0,81.0,71.4,24.3,24,90.0,23,3,10.0,2,1.07,33.0,48.0,-15.0,-0.62,1.13,34.0,42.8,-8.8,-0.36,0.72,Matches
Ivan Ordets,ua UKR,DF,31.0,24,1880.0,78.0,61.4,20.9,21,87.0,20,3,16.0,2,0.83,25.0,57.0,-32.0,-1.53,-1.53,27.0,49.3,-22.3,-1.07,-1.3,Matches
Patrick Osterhage,de GER,MF,23.0,24,1861.0,78.0,60.8,20.7,21,86.0,15,3,18.0,3,1.0,22.0,36.0,-14.0,-0.68,0.67,23.3,34.1,-10.8,-0.52,0.12,Matches
Matúš Bero,sk SVK,"MF,FW",27.0,24,1661.0,69.0,54.3,18.5,20,78.0,8,4,25.0,0,0.96,24.0,44.0,-20.0,-1.08,-0.31,22.2,36.6,-14.4,-0.78,-0.47,Matches
Philipp Hofmann,de GER,FW,30.0,29,1571.0,54.0,51.3,17.5,18,72.0,4,11,25.0,2,0.86,24.0,40.0,-16.0,-0.92,0.05,24.6,28.9,-4.3,-0.24,0.67,Matches
Moritz Broschinski,de GER,FW,22.0,26,1247.0,48.0,40.8,13.9,14,71.0,3,12,21.0,4,1.12,20.0,25.0,-5.0,-0.36,0.98,17.9,23.6,-5.8,-0.42,0.26,Matches
