Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Manuel Riemann,de GER,GK,34.0,33.0,1820,1045,1649,172,5,0,1820,1,1,100.0,0,0.0,1108,6090,4104,0,1,0,2,0,919,0,Matches
Bernardo,br BRA,DF,28.0,32.5,2103,200,761,1070,286,51,2103,23,12,52.2,9,39.1,796,3775,1777,26,23,1,32,16,923,38,Matches
Kevin Stöger,at AUT,MF,29.0,29.6,2384,35,247,1287,878,55,2380,65,25,38.5,31,47.7,1195,6163,3142,81,72,8,45,40,1464,139,Matches
Anthony Losilla,fr FRA,MF,37.0,28.6,1192,69,271,700,229,56,1192,23,10,43.5,13,56.5,431,1376,547,11,11,2,27,12,563,42,Matches
Takuma Asano,jp JPN,"FW,MF",28.0,22.1,636,17,71,218,363,95,636,37,16,43.2,18,48.6,378,2790,1280,56,27,28,47,33,428,167,Matches
Erhan Mašović,rs SRB,"DF,MF",24.0,24.7,1012,101,421,495,104,28,1012,6,3,50.0,2,33.3,402,2105,967,15,11,0,15,6,459,10,Matches
Keven Schlotterbeck,de GER,DF,26.0,24.3,1329,200,655,573,108,66,1329,8,6,75.0,2,25.0,580,2496,1414,9,4,2,12,0,635,15,Matches
Ivan Ordets,ua UKR,DF,31.0,20.9,936,159,458,398,84,57,936,1,0,0.0,0,0.0,302,1384,573,5,3,0,4,0,353,7,Matches
Patrick Osterhage,de GER,MF,23.0,20.7,1081,58,252,592,251,29,1081,38,17,44.7,19,50.0,547,2899,1232,26,16,3,33,17,603,65,Matches
Matúš Bero,sk SVK,"MF,FW",27.0,18.5,737,49,142,352,254,33,737,19,4,21.1,14,73.7,334,1448,543,12,15,2,31,17,395,71,Matches
Philipp Hofmann,de GER,FW,30.0,17.5,581,16,45,282,257,84,581,15,9,60.0,6,40.0,256,907,208,7,6,2,43,14,435,86,Matches
Moritz Broschinski,de GER,FW,22.0,13.9,399,9,24,141,238,58,399,31,11,35.5,19,61.3,222,1088,397,18,10,9,47,35,291,92,Matches
Maximilian Wittek,de GER,"DF,FW",27.0,11.9,642,30,146,284,216,18,642,24,10,41.7,9,37.5,278,1291,623,17,9,4,14,5,316,64,Matches
Felix Passlack,de GER,DF,25.0,10.7,517,20,105,244,172,13,517,9,6,66.7,3,33.3,200,977,463,10,7,1,12,4,240,42,Matches
Cristian Gamboa,cr CRC,DF,33.0,13.2,603,38,189,305,117,1,603,12,5,41.7,4,33.3,276,1235,527,12,11,0,11,3,282,16,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",29.0,13.5,614,10,74,170,378,51,614,35,7,20.0,24,68.6,318,2169,1071,50,22,17,31,24,380,138,Matches
Tim Oermann,de GER,DF,19.0,7.9,356,41,115,176,71,2,356,10,5,50.0,5,50.0,120,741,346,6,9,2,10,5,128,7,Matches
Gonçalo Paciência,pt POR,"FW,MF",28.0,7.2,301,8,22,140,141,37,301,27,12,44.4,14,51.9,177,670,289,9,6,3,29,27,227,50,Matches
Lukas Daschner,de GER,"MF,FW",24.0,6.0,251,2,23,97,136,24,251,22,12,54.5,8,36.4,140,741,318,11,11,3,15,8,164,37,Matches
Philipp Förster,de GER,"MF,FW",28.0,4.3,250,2,24,114,114,9,250,4,1,25.0,1,25.0,125,660,276,7,10,1,9,7,149,19,Matches
Danilo Soares,br BRA,DF,31.0,3.9,227,18,70,116,48,1,227,7,6,85.7,0,0.0,93,447,173,3,1,0,6,2,95,8,Matches
Noah Loosli,ch SUI,DF,26.0,3.8,177,18,76,83,19,4,177,1,1,100.0,0,0.0,74,309,119,1,1,0,3,0,69,3,Matches
Moritz-Broni Kwarteng,gh GHA,FW,25.0,3.1,153,0,14,65,76,15,153,18,7,38.9,8,44.4,95,637,250,8,6,3,15,5,99,24,Matches
Andreas Luthe,de GER,GK,36.0,1.0,50,29,50,0,0,0,50,0,0,0.0,0,0.0,31,117,48,0,0,0,0,0,30,0,Matches
Simon Zoller,de GER,"FW,MF",32.0,0.5,10,1,1,8,1,0,10,0,0,0.0,0,0.0,2,9,0,0,0,0,1,0,6,0,Matches
Squad Total,0,0,29.1,34.0,18361,2175,5905,8082,4546,787,18357,436,186,42.7,209,47.9,8480,42524,20687,400,292,91,494,280,9653,1140,0
Opponent Total,0,0,26.5,34.0,20892,2608,7568,8785,4737,935,20881,637,280,44.0,294,46.2,10614,56853,28646,597,419,178,550,309,12091,1250,0
