Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Marcel Schuhen,de GER,GK,30.0,31.0,2,0,0,0,8,0,0,2,0,0,0,0,53,8,2,80.0,Matches
Tim Skarke,de GER,"FW,DF",26.0,26.7,7,0,0,31,40,17,94,6,16,0,0,0,125,11,50,18.0,Matches
Christoph Klarer,at AUT,DF,23.0,26.2,9,0,0,29,13,4,8,21,22,0,0,0,87,42,38,52.5,Matches
Fabian Holland,de GER,"MF,DF",33.0,20.4,4,1,0,34,33,1,26,24,26,0,0,0,103,9,24,27.3,Matches
Matthias Bader,de GER,"DF,MF",26.0,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3,Matches
Matej Maglica,hr CRO,DF,24.0,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0,Matches
Luca Pfeiffer,de GER,"FW,MF",26.0,18.0,3,0,0,28,27,1,5,2,6,0,0,0,67,54,55,49.5,Matches
Marvin Mehlem,de GER,MF,25.0,16.5,3,0,0,20,34,8,18,33,21,0,0,0,82,13,13,50.0,Matches
Emir Karic,at AUT,DF,26.0,19.8,4,0,0,17,7,5,52,13,27,0,0,0,76,21,16,56.8,Matches
Fabian Nürnberger,de GER,"DF,MF",24.0,16.8,2,0,0,18,16,0,64,17,22,1,0,0,78,13,9,59.1,Matches
Klaus Gjasula,al ALB,"DF,MF",33.0,15.1,7,1,0,23,11,0,7,19,22,0,1,0,69,34,27,55.7,Matches
Oscar Vilhelmsson,se SWE,"FW,MF",19.0,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1,Matches
Tobias Kempe,de GER,MF,34.0,15.0,1,0,0,14,11,0,81,9,13,1,0,0,65,13,20,39.4,Matches
Bartol Franjić,hr CRO,MF,23.0,13.7,5,0,0,20,2,0,4,30,12,0,0,0,63,17,19,47.2,Matches
Christoph Zimmermann,de GER,DF,30.0,13.6,5,0,0,13,10,1,0,21,21,0,0,1,53,29,21,58.0,Matches
Jannik Müller,de GER,"DF,MF",29.0,12.6,5,0,0,19,7,0,7,17,16,0,0,0,66,21,17,55.3,Matches
Julian Justvan,de GER,"MF,FW",25.0,11.4,1,0,0,2,5,0,41,11,4,0,0,0,52,1,15,6.3,Matches
Mathias Honsak,at AUT,"FW,MF",26.0,11.3,1,0,0,14,12,3,11,8,7,0,0,0,32,15,24,38.5,Matches
Clemens Riedel,de GER,DF,20.0,8.4,2,0,0,10,4,0,8,11,13,0,0,0,57,11,14,44.0,Matches
Thomas Isherwood,se SWE,DF,25.0,7.1,1,0,0,8,3,1,1,10,5,0,0,1,17,8,6,57.1,Matches
Aaron Seydel,de GER,FW,27.0,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2,Matches
Sebastian Polter,de GER,FW,32.0,5.0,0,0,0,9,10,2,4,0,0,0,0,0,7,20,14,58.8,Matches
Alexander Brunst,de GER,GK,28.0,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0.0,Matches
Braydon Manu,gh GHA,MF,26.0,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0,Matches
Gerrit Holtmann,ph PHI,"MF,FW",28.0,4.4,1,0,0,8,2,0,12,2,5,0,0,0,31,5,7,41.7,Matches
Andreas Müller,de GER,MF,23.0,3.9,3,0,0,5,4,0,2,4,9,0,0,0,20,3,1,75.0,Matches
Fabian Schnellhardt,de GER,MF,29.0,2.6,1,0,0,2,3,0,4,4,1,0,0,0,25,1,3,25.0,Matches
Fraser Hornby,sct SCO,"FW,MF",23.0,2.4,1,0,0,5,1,1,4,0,0,0,0,0,8,11,13,45.8,Matches
Fabio Torsiello,it ITA,"FW,DF",18.0,1.7,0,0,0,4,0,0,2,1,0,0,0,0,4,0,3,0.0,Matches
Filip Stojilković,ch SUI,"FW,MF",23.0,1.7,1,0,0,3,1,2,3,0,1,0,0,0,4,0,2,0.0,Matches
Frank Ronstadt,de GER,"DF,MF",26.0,0.8,0,0,0,0,2,0,2,1,0,0,0,0,2,1,0,100.0,Matches
Asaf Arania,il ISR,MF,17.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matches
Squad Total,0,0,27.1,34.0,83,4,0,429,351,57,514,317,323,2,2,2,1502,510,569,47.3,0
Opponent Total,0,0,26.7,34.0,59,4,2,370,409,59,622,221,270,1,3,2,1748,569,510,52.7,0
