Player,Nation,Pos,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Marcel Schuhen,de GER,GK,30.0,31,2790.0,90.0,91.2,31.0,31,90.0,31,0,0.0,2,0.52,29.0,76.0,-47.0,-1.52,1.48,31.0,66.1,-35.1,-1.13,0.77,Matches
Tim Skarke,de GER,"FW,DF",26.0,30,2404.0,80.0,78.6,26.7,29,82.0,13,1,32.0,0,0.57,22.0,69.0,-47.0,-1.76,-0.52,21.2,57.1,-35.8,-1.34,-0.66,Matches
Christoph Klarer,at AUT,DF,23.0,30,2354.0,78.0,76.9,26.2,28,83.0,22,2,14.0,1,0.47,24.0,65.0,-41.0,-1.57,0.34,24.2,56.9,-32.7,-1.25,-0.22,Matches
Fabian Holland,de GER,"MF,DF",33.0,23,1835.0,80.0,60.0,20.4,23,80.0,11,0,0.0,0,0.48,21.0,48.0,-27.0,-1.32,0.81,21.4,38.6,-17.2,-0.84,0.89,Matches
Matthias Bader,de GER,"DF,MF",26.0,24,1802.0,75.0,58.9,20.0,21,82.0,12,3,26.0,0,0.71,22.0,41.0,-19.0,-0.95,1.7,20.5,38.2,-17.7,-0.88,0.77,Matches
Matej Maglica,hr CRO,DF,24.0,26,1698.0,65.0,55.5,18.9,21,78.0,13,5,13.0,1,0.58,16.0,41.0,-25.0,-1.33,0.72,19.8,35.0,-15.3,-0.81,0.88,Matches
Luca Pfeiffer,de GER,"FW,MF",26.0,24,1619.0,67.0,52.9,18.0,20,77.0,9,4,20.0,6,0.46,20.0,37.0,-17.0,-0.95,1.49,20.0,32.4,-12.4,-0.69,1.09,Matches
Marvin Mehlem,de GER,MF,25.0,20,1482.0,74.0,48.4,16.5,19,77.0,6,1,24.0,1,0.55,16.0,38.0,-22.0,-1.34,0.6,16.3,31.4,-15.1,-0.92,0.54,Matches
Emir Karic,at AUT,DF,26.0,27,1783.0,66.0,58.3,19.8,18,87.0,12,9,25.0,2,0.37,15.0,56.0,-41.0,-2.07,-1.01,16.3,46.4,-30.0,-1.52,-0.76,Matches
Fabian Nürnberger,de GER,"DF,MF",24.0,21,1513.0,72.0,49.4,16.8,17,81.0,10,4,32.0,0,0.71,14.0,41.0,-27.0,-1.61,0.08,17.5,33.7,-16.3,-0.97,0.46,Matches
Klaus Gjasula,al ALB,"DF,MF",33.0,22,1363.0,62.0,44.5,15.1,17,75.0,10,5,18.0,5,0.55,15.0,31.0,-16.0,-1.06,1.06,15.3,28.8,-13.5,-0.89,0.56,Matches
Oscar Vilhelmsson,se SWE,"FW,MF",19.0,26,1374.0,53.0,44.9,15.3,16,73.0,5,10,21.0,2,0.31,12.0,37.0,-25.0,-1.64,0.02,15.3,31.2,-15.9,-1.04,0.29,Matches
Tobias Kempe,de GER,MF,34.0,24,1350.0,56.0,44.1,15.0,15,79.0,5,9,19.0,5,0.54,19.0,34.0,-15.0,-1.0,1.16,17.2,33.1,-15.9,-1.06,0.25,Matches
Bartol Franjić,hr CRO,MF,23.0,20,1229.0,61.0,40.2,13.7,14,79.0,7,6,21.0,6,0.5,6.0,45.0,-39.0,-2.86,-2.02,10.7,34.7,-24.0,-1.76,-0.93,Matches
