Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Willian Pacho,ec ECU,DF,21.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,0.0,0,1.42,51.0,48.0,3.0,0.09,2.09,45.3,50.8,-5.4,-0.16,0.32,Matches
Kevin Trapp,de GER,GK,33.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,0.0,0,1.34,47.0,48.0,-1.0,-0.03,-1.03,41.3,49.2,-7.8,-0.24,-1.2,Matches
Robin Koch,de GER,DF,27.0,31,2738.0,88.0,89.5,30.4,31,88.0,29,0,0.0,0,1.45,45.0,43.0,2.0,0.07,0.35,41.3,44.6,-3.3,-0.11,0.62,Matches
Tuta,br BRA,DF,24.0,30,2600.0,87.0,85.0,28.9,30,87.0,22,0,0.0,1,1.4,43.0,42.0,1.0,0.03,0.03,38.0,44.9,-6.9,-0.24,-0.43,Matches
Omar Marmoush,eg EGY,"FW,MF",24.0,29,2301.0,79.0,75.2,25.6,27,83.0,15,2,26.0,0,1.38,43.0,41.0,2.0,0.08,0.2,37.2,37.3,-0.2,-0.01,0.67,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",22.0,31,1956.0,63.0,63.9,21.7,25,73.0,4,6,24.0,0,1.39,31.0,28.0,3.0,0.14,0.3,26.2,30.8,-4.6,-0.21,-0.1,Matches
Ellyes Skhiri,tn TUN,MF,28.0,27,2168.0,80.0,70.8,24.1,24,88.0,18,3,22.0,0,1.41,36.0,32.0,4.0,0.17,0.47,34.6,34.8,-0.2,-0.01,0.57,Matches
Ansgar Knauff,de GER,"MF,DF",21.0,31,2109.0,68.0,68.9,23.4,24,78.0,5,7,35.0,1,1.35,35.0,37.0,-2.0,-0.09,-0.37,31.1,37.9,-6.8,-0.29,-0.37,Matches
Mario Götze,de GER,MF,31.0,30,2068.0,69.0,67.6,23.0,23,82.0,7,7,25.0,1,1.33,32.0,30.0,2.0,0.09,0.18,30.5,34.5,-3.9,-0.17,0.01,Matches
Fares Chaïbi,dz ALG,"MF,FW",20.0,28,1912.0,68.0,62.5,21.2,21,79.0,6,7,35.0,1,1.36,37.0,37.0,0.0,0.0,-0.08,31.4,32.5,-1.1,-0.05,0.32,Matches
Hugo Larsson,se SWE,MF,19.0,29,1886.0,65.0,61.6,21.0,21,81.0,13,8,22.0,1,1.38,35.0,32.0,3.0,0.14,0.3,30.0,34.4,-4.4,-0.21,-0.09,Matches
Aurélio Buta,pt POR,"DF,MF",26.0,30,1744.0,58.0,57.0,19.4,20,78.0,7,10,18.0,2,1.4,30.0,33.0,-3.0,-0.15,-0.43,25.0,32.1,-7.1,-0.37,-0.45,Matches
Philipp Max,de GER,DF,29.0,23,1350.0,59.0,44.1,15.0,17,73.0,3,6,18.0,11,1.52,22.0,22.0,0.0,0.0,-0.05,20.3,19.7,0.6,0.04,0.38,Matches
Niels Nkounkou,fr FRA,"DF,MF",22.0,29,1309.0,45.0,42.8,14.5,13,77.0,6,16,20.0,2,1.24,20.0,18.0,2.0,0.14,0.19,18.2,21.6,-3.4,-0.23,-0.11,Matches
Hugo Ekitike,fr FRA,FW,21.0,14,716.0,51.0,23.4,8.0,7,78.0,0,7,24.0,0,1.07,9.0,16.0,-7.0,-0.88,-1.19,10.4,12.7,-2.3,-0.29,-0.15,Matches
Sasa Kalajdzic,at AUT,FW,26.0,5,325.0,65.0,10.6,3.6,5,65.0,1,0,0.0,0,1.6,4.0,2.0,2.0,0.55,0.59,4.3,4.6,-0.3,-0.08,0.11,Matches
Donny van de Beek,nl NED,"MF,FW",26.0,8,357.0,45.0,11.7,4.0,4,59.0,0,4,30.0,7,1.5,4.0,3.0,1.0,0.25,0.25,4.8,5.3,-0.4,-0.11,0.07,Matches
Hrvoje Smolčić,hr CRO,DF,22.0,11,347.0,32.0,11.3,3.9,3,87.0,2,8,11.0,20,1.73,4.0,6.0,-2.0,-0.52,-0.62,5.1,6.2,-1.1,-0.28,-0.12,Matches
Jessic Ngankam,de GER,FW,23.0,15,280.0,19.0,9.2,3.1,2,56.0,0,13,13.0,2,1.53,5.0,2.0,3.0,0.96,1.03,4.0,6.6,-2.5,-0.82,-0.71,Matches
Makoto Hasebe,jp JPN,"DF,MF",39.0,8,218.0,27.0,7.1,2.4,2,87.0,1,6,7.0,23,1.75,3.0,7.0,-4.0,-1.65,-1.81,2.5,4.9,-2.4,-0.98,-0.87,Matches
Jens Grahl,de GER,GK,34.0,2,180.0,90.0,5.9,2.0,2,90.0,2,0,0.0,32,2.0,4.0,2.0,2.0,1.0,1.03,4.8,2.9,1.9,0.96,1.2,Matches
