Player,Nation,Pos,Age,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Matches
Noah Atubolu,de GER,GK,21.0,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1,Matches
Maximilian Eggestein,de GER,MF,26.0,32.4,1330,1296,28,21,4,2,9,5,0,0,0,0,1080,6,48,Matches
Vincenzo Grifo,it ITA,"MF,FW",30.0,25.8,1335,1131,193,63,7,17,173,13,79,43,28,0,971,11,24,Matches
Nicolas Höfler,de GER,MF,33.0,25.9,1153,1098,52,26,0,3,2,1,0,0,0,0,985,3,19,Matches
Lucas Höler,de GER,"FW,MF",29.0,25.6,739,717,16,4,2,3,12,3,0,0,0,0,494,6,28,Matches
Ritsu Doan,jp JPN,"DF,MF",25.0,25.0,713,678,31,11,5,6,61,5,15,10,5,0,504,4,26,Matches
Manuel Gulde,de GER,DF,32.0,22.7,1095,1031,62,39,0,6,3,4,0,0,0,0,942,2,6,Matches
Matthias Ginter,de GER,DF,29.0,21.3,1250,1180,68,38,2,2,16,29,0,0,0,0,1039,2,10,Matches
Lukas Kübler,de GER,DF,30.0,20.5,1030,841,187,14,2,3,21,172,0,0,0,0,805,2,10,Matches
Roland Sallai,hu HUN,"MF,FW",26.0,20.4,588,567,17,6,5,1,73,2,9,7,1,0,416,4,32,Matches
Kiliann Sildillia,fr FRA,DF,21.0,20.1,1167,973,192,17,1,4,37,170,0,0,0,0,847,2,32,Matches
Michael Gregoritsch,at AUT,FW,29.0,18.7,440,422,16,1,0,0,11,0,0,0,0,0,268,2,16,Matches
Merlin Röhl,de GER,"MF,FW",21.0,16.4,458,454,4,4,1,2,16,0,0,0,0,0,365,0,14,Matches
Philipp Lienhart,at AUT,DF,27.0,14.1,982,914,65,31,2,8,4,17,0,0,0,0,814,3,6,Matches
Christian Günter,de GER,DF,30.0,11.8,505,409,96,12,0,1,62,68,16,10,4,0,387,0,16,Matches
Yannik Keitel,de GER,"DF,MF",23.0,10.2,560,549,11,11,0,3,2,0,0,0,0,0,443,0,4,Matches
Jordy Makengo,fr FRA,DF,21.0,11.4,545,479,66,9,0,1,23,57,0,0,0,0,449,0,10,Matches
Noah Weißhaupt,de GER,"DF,FW",21.0,8.4,392,353,38,7,1,2,52,29,2,0,1,0,284,1,12,Matches
Maximilian Philipp,de GER,"FW,MF",29.0,3.6,109,106,3,1,0,0,4,0,1,0,0,0,81,0,7,Matches
Junior Adamu,at AUT,"FW,MF",22.0,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Matches
Florent Muslija,xk KVX,"MF,FW",25.0,1.2,83,74,9,2,1,0,9,1,6,6,0,0,57,0,5,Matches
Attila Szalai,hu HUN,DF,25.0,1.1,72,68,3,0,1,0,0,0,0,0,0,0,58,1,0,Matches
Kenneth Schmidt,de GER,DF,21.0,0.8,48,41,7,1,0,0,2,6,0,0,0,0,43,0,1,Matches
Maximilian Breunig,de GER,FW,22.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Fabian Rüdlin,de GER,MF,26.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,0,0,27.0,34.0,16023,14477,1494,406,34,68,593,582,128,76,39,0,12337,52,327,0
Opponent Total,0,0,26.6,34.0,18560,17024,1492,399,49,69,601,611,190,82,78,1,15011,44,316,0
