Player,Nation,Pos,Age,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Noah Atubolu,de GER,GK,21.0,34.0,982,1392,70.5,28328,20599,171,173,98.8,468,474,98.7,343,741,46.3,0,0.0,0.2,0.0,0,33,2,0,1,Matches
Maximilian Eggestein,de GER,MF,26.0,32.4,1080,1330,81.2,16943,5068,528,611,86.4,463,523,88.5,55,82,67.1,2,2.8,2.4,-0.8,25,103,20,1,162,Matches
Vincenzo Grifo,it ITA,"MF,FW",30.0,25.8,971,1335,72.7,17305,4934,446,523,85.3,366,465,78.7,120,259,46.3,8,8.2,7.5,-0.2,56,87,42,14,115,Matches
Nicolas Höfler,de GER,MF,33.0,25.9,985,1153,85.4,16479,4636,426,492,86.6,468,515,90.9,59,81,72.8,1,0.4,0.7,0.6,9,82,6,0,94,Matches
Lucas Höler,de GER,"FW,MF",29.0,25.6,494,739,66.8,6619,1500,301,419,71.8,127,182,69.8,24,36,66.7,2,2.1,2.0,-0.1,32,34,12,1,49,Matches
Ritsu Doan,jp JPN,"DF,MF",25.0,25.0,504,713,70.7,7391,2663,310,367,84.5,151,210,71.9,27,79,34.2,2,3.1,4.2,-1.1,31,49,22,4,78,Matches
Manuel Gulde,de GER,DF,32.0,22.7,942,1095,86.0,17496,5437,309,348,88.8,546,589,92.7,76,135,56.3,0,0.1,0.5,-0.1,3,59,6,1,74,Matches
Matthias Ginter,de GER,DF,29.0,21.3,1039,1250,83.1,19708,7154,346,378,91.5,605,682,88.7,82,165,49.7,2,1.4,1.5,0.6,5,86,9,2,136,Matches
Lukas Kübler,de GER,DF,30.0,20.5,805,1030,78.2,13760,4910,379,427,88.8,340,423,80.4,74,146,50.7,0,0.3,0.6,-0.3,4,74,4,2,70,Matches
Roland Sallai,hu HUN,"MF,FW",26.0,20.4,416,588,70.7,6140,1376,234,269,87.0,136,184,73.9,23,64,35.9,2,3.5,3.6,-1.5,29,26,28,12,41,Matches
Kiliann Sildillia,fr FRA,DF,21.0,20.1,847,1167,72.6,15116,5689,394,459,85.8,338,452,74.8,100,197,50.8,1,0.8,1.6,0.2,11,61,19,12,70,Matches
Michael Gregoritsch,at AUT,FW,29.0,18.7,268,440,60.9,4009,1147,150,240,62.5,81,112,72.3,19,30,63.3,4,1.0,1.3,3.0,15,21,15,2,48,Matches
Merlin Röhl,de GER,"MF,FW",21.0,16.4,365,458,79.7,5622,1221,187,233,80.3,139,157,88.5,25,36,69.4,4,2.5,2.1,1.5,19,36,10,4,38,Matches
Philipp Lienhart,at AUT,DF,27.0,14.1,814,982,82.9,16894,6421,236,268,88.1,465,501,92.8,111,199,55.8,0,1.1,0.6,-1.1,3,51,5,0,53,Matches
Christian Günter,de GER,DF,30.0,11.8,387,505,76.6,6330,2230,194,211,91.9,154,189,81.5,34,74,45.9,2,2.1,1.9,-0.1,18,18,11,9,23,Matches
Yannik Keitel,de GER,"DF,MF",23.0,10.2,443,560,79.1,8934,3894,145,170,85.3,239,260,91.9,57,115,49.6,0,0.4,0.2,-0.4,2,49,4,0,48,Matches
Jordy Makengo,fr FRA,DF,21.0,11.4,449,545,82.4,7494,2108,200,227,88.1,219,244,89.8,24,51,47.1,0,0.2,0.5,-0.2,5,36,5,4,52,Matches
Noah Weißhaupt,de GER,"DF,FW",21.0,8.4,284,392,72.4,4698,1210,141,157,89.8,109,149,73.2,26,58,44.8,2,1.3,1.8,0.7,16,16,16,11,26,Matches
Maximilian Philipp,de GER,"FW,MF",29.0,3.6,81,109,74.3,1056,161,47,54,87.0,24,32,75.0,2,3,66.7,0,0.4,0.4,-0.4,3,6,2,1,6,Matches
Junior Adamu,at AUT,"FW,MF",22.0,1.2,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
Florent Muslija,xk KVX,"MF,FW",25.0,1.2,57,83,68.7,970,348,29,34,85.3,19,25,76.0,8,16,50.0,0,0.6,0.6,-0.6,6,5,5,0,13,Matches
Attila Szalai,hu HUN,DF,25.0,1.1,58,72,80.6,1064,580,20,23,87.0,33,39,84.6,4,8,50.0,0,0.1,0.2,-0.1,1,2,1,0,5,Matches
Kenneth Schmidt,de GER,DF,21.0,0.8,43,48,89.6,749,239,18,18,100.0,22,25,88.0,2,2,100.0,0,0.1,0.1,-0.1,2,2,1,1,4,Matches
Maximilian Breunig,de GER,FW,22.0,0.1,1,2,50.0,13,0,1,1,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Fabian Rüdlin,de GER,MF,26.0,0.1,4,5,80.0,89,35,1,1,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Squad Total,0,0,27.0,34.0,12337,16023,77.0,223388,83596,5228,6120,85.4,5515,6445,85.6,1296,2579,50.3,32,32.4,34.7,-0.4,296,936,246,81,1208,0
Opponent Total,0,0,26.6,34.0,15011,18560,80.9,260679,94538,6651,7565,87.9,6723,7698,87.3,1268,2365,53.6,45,38.1,46.1,6.9,394,1093,307,90,1334,0
