Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Noah Atubolu,de GER,GK,21.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maximilian Eggestein,de GER,MF,26.0,33,33,2914.0,32.4,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,2.8,5.2,42.0,162.0,72.0,0.03,0.06,0.09,0.03,0.09,0.07,0.09,0.16,0.07,0.16,Matches
Vincenzo Grifo,it ITA,"MF,FW",30.0,32,29,2325.0,25.8,8.0,8.0,16.0,2.0,6.0,6.0,3.0,0.0,7.7,3.0,8.2,11.2,54.0,115.0,148.0,0.31,0.31,0.62,0.08,0.39,0.3,0.32,0.62,0.12,0.43,Matches
Nicolas Höfler,de GER,MF,33.0,28,26,2330.0,25.9,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.7,0.7,0.4,1.1,14.0,94.0,15.0,0.04,0.04,0.08,0.04,0.08,0.03,0.02,0.04,0.03,0.04,Matches
Lucas Höler,de GER,"FW,MF",29.0,33,26,2305.0,25.6,7.0,2.0,9.0,6.0,1.0,2.0,7.0,0.0,8.6,7.0,2.1,9.1,24.0,49.0,153.0,0.27,0.08,0.35,0.23,0.31,0.34,0.08,0.42,0.27,0.36,Matches
Ritsu Doan,jp JPN,"DF,MF",25.0,30,26,2246.0,25.0,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.0,5.0,3.1,8.1,49.0,78.0,139.0,0.28,0.08,0.36,0.28,0.36,0.2,0.12,0.32,0.2,0.32,Matches
Manuel Gulde,de GER,DF,32.0,27,23,2047.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,0.1,1.2,10.0,74.0,3.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.05,0.05,0.05,Matches
Matthias Ginter,de GER,DF,29.0,23,22,1913.0,21.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.4,1.4,1.4,2.8,23.0,136.0,20.0,0.0,0.09,0.09,0.0,0.09,0.07,0.06,0.13,0.07,0.13,Matches
Lukas Kübler,de GER,DF,30.0,26,22,1847.0,20.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.6,0.6,0.3,0.9,13.0,70.0,32.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.04,0.03,0.04,Matches
Roland Sallai,hu HUN,"MF,FW",26.0,27,22,1840.0,20.4,3.0,2.0,5.0,3.0,0.0,1.0,6.0,0.0,7.9,7.1,3.5,10.6,47.0,41.0,139.0,0.15,0.1,0.24,0.15,0.24,0.39,0.17,0.56,0.35,0.52,Matches
Kiliann Sildillia,fr FRA,DF,21.0,27,20,1806.0,20.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,0.8,1.4,22.0,70.0,58.0,0.0,0.05,0.05,0.0,0.05,0.03,0.04,0.07,0.03,0.07,Matches
Michael Gregoritsch,at AUT,FW,29.0,32,19,1682.0,18.7,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,9.2,9.2,1.0,10.2,12.0,48.0,89.0,0.37,0.21,0.59,0.37,0.59,0.49,0.05,0.55,0.49,0.55,Matches
Merlin Röhl,de GER,"MF,FW",21.0,24,17,1477.0,16.4,2.0,4.0,6.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,2.5,4.5,44.0,38.0,87.0,0.12,0.24,0.37,0.12,0.37,0.12,0.15,0.28,0.12,0.28,Matches
Philipp Lienhart,at AUT,DF,27.0,15,14,1265.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.1,2.2,14.0,53.0,3.0,0.07,0.0,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16,Matches
Christian Günter,de GER,DF,30.0,15,13,1060.0,11.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,2.1,2.6,15.0,23.0,63.0,0.08,0.17,0.25,0.08,0.25,0.04,0.18,0.22,0.04,0.22,Matches
Yannik Keitel,de GER,"DF,MF",23.0,15,11,920.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,4.0,48.0,7.0,0.1,0.0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,Matches
Jordy Makengo,fr FRA,DF,21.0,20,10,1026.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,27.0,52.0,34.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Noah Weißhaupt,de GER,"DF,FW",21.0,24,6,759.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,1.3,1.7,41.0,26.0,84.0,0.12,0.24,0.36,0.12,0.36,0.05,0.16,0.21,0.05,0.21,Matches
Maximilian Philipp,de GER,"FW,MF",29.0,17,1,323.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.4,0.9,3.0,6.0,28.0,0.28,0.0,0.28,0.28,0.28,0.14,0.11,0.25,0.14,0.25,Matches
Junior Adamu,at AUT,"FW,MF",22.0,15,0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,Matches
Florent Muslija,xk KVX,"MF,FW",25.0,10,0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.6,6.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.48,0.54,0.06,0.54,Matches
Attila Szalai,hu HUN,DF,25.0,3,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Kenneth Schmidt,de GER,DF,21.0,5,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12,Matches
