Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Patrick Mainka,de GER,DF,28.0,34.0,26,0.76,16,0,0,8,0,2,1,0.03,1,0,0,0,0,0,Matches
Kevin Müller,de GER,GK,32.0,34.0,5,0.15,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tim Kleindienst,de GER,FW,27.0,31.9,71,2.23,54,0,4,9,1,3,11,0.35,8,0,1,1,1,0,Matches
Eren Dinkçi,de GER,"FW,MF",21.0,29.4,86,2.92,61,5,7,7,6,0,13,0.44,9,0,3,1,0,0,Matches
Jonas Föhrenbach,de GER,DF,27.0,31.0,50,1.61,37,8,2,1,2,0,5,0.16,4,1,0,0,0,0,Matches
Jan-Niklas Beste,de GER,"FW,MF",24.0,28.9,123,4.26,43,60,2,7,10,1,20,0.69,9,8,0,1,2,0,Matches
Omar Traoré,de GER,DF,25.0,27.5,44,1.6,38,3,1,1,1,0,6,0.22,5,0,0,0,1,0,Matches
Lennard Maloney,us USA,MF,23.0,25.4,20,0.79,16,0,0,3,0,1,2,0.08,2,0,0,0,0,0,Matches
Benedikt Gimber,de GER,DF,26.0,22.5,8,0.36,7,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Matches
Jan Schöppner,de GER,MF,24.0,22.2,32,1.44,29,0,2,1,0,0,2,0.09,2,0,0,0,0,0,Matches
Marvin Pieringer,de GER,"MF,FW",23.0,16.8,29,1.72,23,0,1,3,2,0,4,0.24,3,0,0,1,0,0,Matches
Norman Theuerkauf,de GER,"MF,DF",36.0,14.0,27,1.93,19,4,0,1,2,1,2,0.14,2,0,0,0,0,0,Matches
Adrian Beck,de GER,"MF,FW",26.0,10.8,29,2.68,22,0,3,3,0,1,4,0.37,3,0,0,1,0,0,Matches
Tim Siersleben,de GER,DF,23.0,10.1,8,0.79,6,0,0,1,0,1,1,0.1,0,0,0,0,0,1,Matches
Kevin Sessa,de GER,"MF,FW",23.0,11.2,41,3.64,20,8,3,3,7,0,1,0.09,1,0,0,0,0,0,Matches
Nikola Dovedan,at AUT,"MF,FW",29.0,7.3,23,3.17,16,0,1,3,3,0,3,0.41,2,0,0,0,1,0,Matches
Marnon Busch,de GER,DF,28.0,6.6,13,1.96,13,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Denis Thomalla,de GER,"MF,FW",30.0,5.0,9,1.82,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Florian Pick,de GER,"MF,FW",27.0,3.6,17,4.65,9,4,4,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Stefan Schimmer,de GER,"MF,FW",29.0,1.7,4,2.32,2,0,0,1,0,1,1,0.58,1,0,0,0,0,0,Matches
Christian Kühlwetter,de GER,MF,27.0,0.1,1,11.25,1,0,0,0,0,0,1,11.25,1,0,0,0,0,0,Matches
Thomas Keller,de GER,"MF,FW",23.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,0,0,26.7,34.0,666,19.59,442,95,30,54,34,11,81,2.38,57,9,4,5,5,1,0
Opponent Total,0,0,26.6,34.0,913,26.85,650,74,59,65,50,15,92,2.71,68,5,5,8,5,1,0
