D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-14,18:00,DFB-Pokal,Round of 64,Mon,Away,W,4,1,Lübeck,0.0,0.0,69,13000,Oliver Baumann,3-5-2,Florian Lechner,Match Report,0.0
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,L,1,2,Freiburg,1.4,2.6,50,25890,Oliver Baumann,3-5-2,Sven Jablonski,Match Report,0.0
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,3,2,Heidenheim,3.0,2.4,62,15000,Oliver Baumann,3-4-3,Robert Hartmann,Match Report,0.0
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,3,1,Wolfsburg,2.0,1.2,40,17500,Oliver Baumann,3-5-2,Felix Zwayer,Match Report,0.0
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3,1,Köln,1.0,1.0,44,49300,Oliver Baumann,3-5-2,Daniel Siebert,Match Report,0.0
2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,W,2,0,Union Berlin,2.0,1.6,43,20000,Oliver Baumann,3-5-2,Deniz Aytekin,Match Report,0.0
2023-09-29,20:30,Bundesliga,Matchweek 6,Fri,Home,L,1,3,Dortmund,1.9,1.6,53,30150,Oliver Baumann,3-5-2,Florian Badstübner,Match Report,0.0
2023-10-07,18:30,Bundesliga,Matchweek 7,Sat,Away,W,3,2,Werder Bremen,1.9,0.8,52,41000,Oliver Baumann,3-5-2,Christian Dingert,Match Report,0.0
2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,L,1,3,Eint Frankfurt,1.4,2.4,54,30150,Oliver Baumann,3-5-2,Matthias Jöllenbeck,Match Report,0.0
2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,W,3,2,Stuttgart,1.7,3.6,27,53200,Oliver Baumann,3-1-4-2,Felix Zwayer,Match Report,0.0
2023-11-01,18:00,DFB-Pokal,Round of 32,Wed,Away,L,0,1,Dortmund,0.0,0.0,46,81365,Oliver Baumann,3-4-1-2,Harm Osmers,Match Report,0.0
2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Home,L,2,3,Leverkusen,1.7,1.0,47,30150,Oliver Baumann,3-5-2,Frank Willenborg,Match Report,0.0
2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Away,D,1,1,Augsburg,0.8,1.0,66,28260,Oliver Baumann,3-1-4-2,Felix Brych,Match Report,0.0
2023-11-26,17:30,Bundesliga,Matchweek 12,Sun,Home,D,1,1,Mainz 05,1.2,1.8,53,22000,Oliver Baumann,3-1-4-2,Deniz Aytekin,Match Report,0.0
2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Away,L,1,2,Gladbach,1.4,1.6,51,49341,Oliver Baumann,3-1-4-2,Tobias Reichel,Match Report,0.0
2023-12-08,20:30,Bundesliga,Matchweek 14,Fri,Home,W,3,1,Bochum,1.5,1.5,42,16023,Oliver Baumann,4-1-2-1-2◆,Matthias Jöllenbeck,Match Report,0.0
2023-12-16,18:30,Bundesliga,Matchweek 15,Sat,Away,L,1,3,RB Leipzig,0.8,2.8,43,42946,Oliver Baumann,3-4-1-2,Robert Schröder,Match Report,0.0
2023-12-19,20:30,Bundesliga,Matchweek 16,Tue,Home,D,3,3,Darmstadt 98,3.5,0.8,45,18125,Oliver Baumann,3-1-4-2,Frank Willenborg,Match Report,0.0
2024-01-12,20:30,Bundesliga,Matchweek 17,Fri,Away,L,0,3,Bayern Munich,1.2,2.8,39,75000,Oliver Baumann,3-1-4-2,Benjamin Brand,Match Report,0.0
