D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-14,20:45,DFB-Pokal,Round of 64,Mon,Away,W,3,1,Osnabrück,0.0,0.0,46,15741,Florian Kainz,4-4-2◆,Florian Badstübner,Match Report,Required Extra Time
2023-08-19,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0,1,Dortmund,1.2,1.8,34,81365,Florian Kainz,4-2-3-1,Deniz Aytekin,Match Report,0
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1,2,Wolfsburg,0.9,1.7,50,49500,Florian Kainz,4-2-3-1,Matthias Jöllenbeck,Match Report,0
2023-09-03,15:30,Bundesliga,Matchweek 3,Sun,Away,D,1,1,Eint Frankfurt,0.9,1.1,35,54000,Florian Kainz,4-1-4-1,Florian Badstübner,Match Report,0
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,1,3,Hoffenheim,1.0,1.0,56,49300,Florian Kainz,4-2-3-1,Daniel Siebert,Match Report,0
2023-09-23,18:30,Bundesliga,Matchweek 5,Sat,Away,L,1,2,Werder Bremen,1.3,2.1,53,42100,Florian Kainz,4-2-3-1,Bastian Dankert,Match Report,0
2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,L,0,2,Stuttgart,0.7,2.5,40,50000,Florian Kainz,4-1-3-2,Tobias Stieler,Match Report,0
2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Away,L,0,3,Leverkusen,1.3,3.2,36,30210,Florian Kainz,4-1-3-2,Felix Zwayer,Match Report,0
2023-10-22,15:30,Bundesliga,Matchweek 8,Sun,Home,W,3,1,Gladbach,2.7,0.3,60,50000,Florian Kainz,4-2-3-1,Deniz Aytekin,Match Report,0
2023-10-28,18:30,Bundesliga,Matchweek 9,Sat,Away,L,0,6,RB Leipzig,0.9,4.2,38,46480,Florian Kainz,4-2-3-1,Benjamin Brand,Match Report,0
2023-10-31,20:45,DFB-Pokal,Round of 32,Tue,Away,L,2,3,Kaiserslautern,0.0,0.0,73,49327,Florian Kainz,4-2-3-1,Sven Jablonski,Match Report,0
2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Home,D,1,1,Augsburg,2.0,2.6,59,49300,Florian Kainz,4-2-3-1,Christian Dingert,Match Report,0
2023-11-11,18:30,Bundesliga,Matchweek 11,Sat,Away,D,1,1,Bochum,0.9,3.7,48,26000,Florian Kainz,4-2-3-1,Matthias Jöllenbeck,Match Report,0
2023-11-24,20:30,Bundesliga,Matchweek 12,Fri,Home,L,0,1,Bayern Munich,0.2,3.5,32,50000,Florian Kainz,3-4-1-2,Marco Fritz,Match Report,0
2023-12-01,20:30,Bundesliga,Matchweek 13,Fri,Away,W,1,0,Darmstadt 98,1.5,0.7,55,17810,Florian Kainz,4-2-3-1,Patrick Ittrich,Match Report,0
2023-12-10,17:30,Bundesliga,Matchweek 14,Sun,Home,D,0,0,Mainz 05,0.3,1.4,54,50000,Marvin Schwäbe,4-2-3-1,Frank Willenborg,Match Report,0
2023-12-17,15:30,Bundesliga,Matchweek 15,Sun,Away,L,0,2,Freiburg,1.2,3.0,48,34700,Florian Kainz,4-2-3-1,Harm Osmers,Match Report,0
2023-12-20,18:30,Bundesliga,Matchweek 16,Wed,Away,L,0,2,Union Berlin,0.8,1.5,60,22012,Marvin Schwäbe,4-1-3-2,Deniz Aytekin,Match Report,0
2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Home,D,1,1,Heidenheim,0.9,0.9,51,50000,Florian Kainz,4-2-3-1,Felix Zwayer,Match Report,0
2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,4,Dortmund,1.3,3.4,39,50000,Florian Kainz,4-4-2,Daniel Schlager,Match Report,0
2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,D,1,1,Wolfsburg,0.6,1.5,48,24525,Florian Kainz,4-2-3-1,Sören Storks,Match Report,0
2024-02-03,18:30,Bundesliga,Matchweek 20,Sat,Home,W,2,0,Eint Frankfurt,1.3,0.8,41,50000,Florian Kainz,4-2-3-1,Timo Gerach,Match Report,0
2024-02-11,17:30,Bundesliga,Matchweek 21,Sun,Away,D,1,1,Hoffenheim,0.1,1.2,43,23020,Florian Kainz,4-2-3-1,Christian Dingert,Match Report,0
