Player,Nation,Pos,Age,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Matches
Marvin Schwäbe,de GER,GK,28.0,34.0,0,0,0,0,1,0,0,0,0,0,0,0,35,5,3,62.5,Matches
Julian Chabot,de GER,DF,25.0,30.0,9,1,1,28,42,4,4,45,42,0,0,0,149,101,38,72.7,Matches
Timo Hübers,de GER,DF,27.0,30.9,6,0,0,44,25,1,3,63,47,1,0,0,211,99,49,66.9,Matches
Eric Martel,de GER,MF,21.0,27.3,6,0,0,52,41,2,19,43,43,1,1,0,152,70,54,56.5,Matches
Florian Kainz,at AUT,"MF,FW",30.0,24.4,4,0,0,19,33,1,167,13,20,0,0,0,126,12,25,32.4,Matches
Dejan Ljubicic,at AUT,"MF,FW",25.0,22.8,6,0,0,32,13,1,31,18,27,0,0,0,112,8,11,42.1,Matches
Linton Maina,de GER,"FW,MF",24.0,21.1,4,0,0,10,17,5,74,6,15,0,0,0,92,0,14,0.0,Matches
Jan Thielmann,de GER,"FW,DF",21.0,17.5,4,1,0,27,27,6,42,8,18,0,0,0,75,20,27,42.6,Matches
Max Finkgräfe,de GER,"DF,FW",19.0,19.5,4,0,0,19,21,0,61,22,39,0,0,0,104,23,27,46.0,Matches
Rasmus Carstensen,dk DEN,"DF,FW",22.0,18.4,2,1,1,22,13,3,58,20,22,0,1,0,95,16,19,45.7,Matches
Denis Huseinbasic,ba BIH,MF,22.0,18.1,5,0,0,28,14,0,15,13,18,0,0,0,114,8,8,50.0,Matches
Davie Selke,de GER,FW,28.0,14.1,3,0,0,24,18,10,4,0,2,0,0,0,9,67,55,54.9,Matches
Faride Alidou,de GER,"FW,MF",22.0,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,Matches
Luca Waldschmidt,de GER,"MF,FW",27.0,12.7,0,0,0,20,15,5,39,6,12,1,0,0,64,7,9,43.8,Matches
Benno Schmitz,de GER,DF,28.0,12.8,5,0,0,9,10,0,40,7,15,0,0,0,59,14,22,38.9,Matches
Leart Paqarada,xk KVX,DF,28.0,11.9,0,0,0,7,8,1,92,10,11,0,0,0,56,9,21,30.0,Matches
Sargis Adamyan,am ARM,"FW,MF",30.0,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,Matches
Steffen Tigges,de GER,FW,25.0,8.1,0,0,0,7,8,2,7,1,6,0,0,0,25,38,41,48.1,Matches
Luca Kilian,de GER,DF,23.0,7.1,1,0,0,4,0,0,1,7,9,0,0,0,24,10,7,58.8,Matches
Dominique Heintz,de GER,DF,29.0,6.3,0,0,0,7,4,1,23,3,5,0,0,0,30,11,11,50.0,Matches
Mark Uth,de GER,"MF,FW",31.0,4.1,2,0,0,9,12,0,31,1,4,0,0,0,24,3,3,50.0,Matches
Jacob Christensen,dk DEN,MF,22.0,2.4,1,0,0,4,0,0,5,4,6,0,0,0,18,0,5,0.0,Matches
Justin Diehl,de GER,"FW,MF",18.0,1.9,0,0,0,2,4,0,18,0,0,0,0,0,8,0,2,0.0,Matches
Damion Downs,de GER,"FW,MF",19.0,2.0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,6,14.3,Matches
Mathias Olesen,lu LUX,"MF,FW",22.0,1.2,2,1,1,3,2,0,1,2,0,0,0,0,14,1,3,25.0,Matches
Florian Dietz,de GER,"FW,MF",24.0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,2,2,8,20.0,Matches
Squad Total,0,0,25.4,34.0,71,4,3,418,364,53,779,305,375,5,3,0,1689,557,533,51.1,0
Opponent Total,0,0,26.6,34.0,75,4,2,381,403,40,629,268,322,2,6,0,1620,533,557,48.9,0
