Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Marvin Schwäbe,de GER,GK,28.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julian Chabot,de GER,DF,25.0,32,32,2703.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.4,1.4,0.4,1.8,17.0,71.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Timo Hübers,de GER,DF,27.0,31,31,2778.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.8,1.8,0.5,2.3,19.0,104.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Eric Martel,de GER,MF,21.0,30,29,2457.0,27.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.2,2.2,1.1,3.3,21.0,75.0,35.0,0.04,0.04,0.07,0.04,0.07,0.08,0.04,0.12,0.08,0.12,Matches
Florian Kainz,at AUT,"MF,FW",30.0,33,29,2197.0,24.4,5.0,4.0,9.0,0.0,5.0,5.0,4.0,0.0,5.0,1.0,3.3,4.3,40.0,124.0,100.0,0.2,0.16,0.37,0.0,0.16,0.2,0.13,0.34,0.04,0.18,Matches
Dejan Ljubicic,at AUT,"MF,FW",25.0,26,24,2048.0,22.8,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.9,1.9,3.0,4.9,41.0,84.0,73.0,0.0,0.09,0.09,0.0,0.09,0.08,0.13,0.22,0.08,0.22,Matches
Linton Maina,de GER,"FW,MF",24.0,31,21,1901.0,21.1,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,3.1,5.0,109.0,61.0,169.0,0.05,0.14,0.19,0.05,0.19,0.09,0.15,0.24,0.09,0.24,Matches
Jan Thielmann,de GER,"FW,DF",21.0,22,20,1579.0,17.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,2.3,2.3,1.1,3.3,46.0,51.0,69.0,0.06,0.0,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,Matches
Max Finkgräfe,de GER,"DF,FW",19.0,24,18,1756.0,19.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.6,2.6,51.0,53.0,59.0,0.05,0.0,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13,Matches
Rasmus Carstensen,dk DEN,"DF,FW",22.0,23,18,1659.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.9,0.9,2.6,3.5,32.0,52.0,89.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.19,0.05,0.19,Matches
