Player,Nation,Pos,Age,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Matches
Marvin Schwäbe,de GER,GK,28.0,34.0,1393,1004,1359,35,0,0,1393,0,0,0.0,0,0.0,833,4192,2745,0,0,0,0,0,821,0,Matches
Julian Chabot,de GER,DF,25.0,30.0,1985,361,1213,731,65,40,1985,19,9,47.4,8,42.1,1001,5034,2914,17,14,2,18,2,1076,8,Matches
Timo Hübers,de GER,DF,27.0,30.9,2143,267,1200,897,65,31,2143,6,4,66.7,2,33.3,1203,6033,3442,19,14,1,11,7,1280,3,Matches
Eric Martel,de GER,MF,21.0,27.3,1515,116,491,817,220,35,1515,17,7,41.2,6,35.3,690,3155,1186,21,14,2,24,24,841,35,Matches
Florian Kainz,at AUT,"MF,FW",30.0,24.4,1321,35,204,645,489,34,1316,42,23,54.8,17,40.5,796,3853,1452,40,39,8,27,25,826,100,Matches
Dejan Ljubicic,at AUT,"MF,FW",25.0,22.8,1046,20,205,537,319,37,1046,33,15,45.5,16,48.5,634,3423,1746,41,47,5,37,18,734,73,Matches
Linton Maina,de GER,"FW,MF",24.0,21.1,846,14,110,334,429,82,846,57,22,38.6,31,54.4,599,5140,2671,109,64,47,38,27,607,169,Matches
Jan Thielmann,de GER,"FW,DF",21.0,17.5,760,35,177,324,272,34,760,27,18,66.7,6,22.2,406,2852,1357,46,34,11,40,24,438,69,Matches
Max Finkgräfe,de GER,"DF,FW",19.0,19.5,1121,53,333,510,308,24,1121,58,36,62.1,21,36.2,495,3461,1845,51,35,11,37,24,527,59,Matches
Rasmus Carstensen,dk DEN,"DF,FW",22.0,18.4,1072,81,326,459,304,36,1072,30,13,43.3,12,40.0,513,2976,1376,32,26,3,37,22,568,89,Matches
Denis Huseinbasic,ba BIH,MF,22.0,18.1,949,36,214,550,203,13,949,23,10,43.5,12,52.2,547,3256,1553,35,30,3,19,19,633,29,Matches
Davie Selke,de GER,FW,28.0,14.1,341,24,35,166,140,63,341,12,6,50.0,6,50.0,171,653,232,9,3,5,20,12,257,46,Matches
Faride Alidou,de GER,"FW,MF",22.0,14.2,522,14,77,210,243,51,522,70,24,34.3,38,54.3,312,2561,1191,51,23,18,39,27,344,95,Matches
Luca Waldschmidt,de GER,"MF,FW",27.0,12.7,604,9,82,297,234,29,603,40,18,45.0,20,50.0,336,1835,822,30,20,6,23,14,387,61,Matches
Benno Schmitz,de GER,DF,28.0,12.8,821,37,216,378,237,11,821,14,5,35.7,7,50.0,349,1573,847,27,22,2,6,0,433,47,Matches
Leart Paqarada,xk KVX,DF,28.0,11.9,832,43,254,351,233,10,832,10,7,70.0,3,30.0,423,2003,1158,26,13,1,7,6,467,29,Matches
Sargis Adamyan,am ARM,"FW,MF",30.0,8.9,312,8,30,151,136,52,312,18,7,38.9,10,55.6,162,814,344,15,9,5,27,17,183,42,Matches
Steffen Tigges,de GER,FW,25.0,8.1,295,14,33,163,102,35,295,8,4,50.0,4,50.0,146,661,235,9,5,2,19,9,211,48,Matches
Luca Kilian,de GER,DF,23.0,7.1,395,51,221,152,24,4,395,1,0,0.0,1,100.0,205,1203,582,7,3,0,5,0,232,1,Matches
Dominique Heintz,de GER,DF,29.0,6.3,489,37,154,274,64,2,489,4,3,75.0,1,25.0,253,1278,699,10,12,1,6,3,307,16,Matches
Mark Uth,de GER,"MF,FW",31.0,4.1,232,0,21,106,105,19,232,13,4,30.8,5,38.5,122,681,266,12,6,2,13,8,142,29,Matches
Jacob Christensen,dk DEN,MF,22.0,2.4,121,9,40,68,14,1,121,2,1,50.0,1,50.0,53,321,160,2,1,0,5,0,61,1,Matches
Justin Diehl,de GER,"FW,MF",18.0,1.9,96,2,11,31,54,10,96,15,8,53.3,6,40.0,55,500,204,6,2,5,9,1,57,17,Matches
Damion Downs,de GER,"FW,MF",19.0,2.0,52,1,4,21,27,8,52,4,1,25.0,3,75.0,22,89,37,1,1,1,2,1,32,5,Matches
Mathias Olesen,lu LUX,"MF,FW",22.0,1.2,61,3,16,28,18,2,61,1,1,100.0,0,0.0,37,178,89,2,1,0,1,2,35,2,Matches
Florian Dietz,de GER,"FW,MF",24.0,0.8,32,0,2,17,13,5,32,0,0,0.0,0,0.0,17,39,3,0,1,0,2,0,22,8,Matches
Squad Total,0,0,25.4,34.0,19356,2274,7028,8252,4318,668,19350,524,246,46.9,236,45.0,10380,57764,29156,618,439,141,472,292,11521,1081,0
Opponent Total,0,0,26.6,34.0,22354,2312,7246,10218,5080,871,22351,724,317,43.8,342,47.2,12564,61749,29966,502,372,141,478,275,14638,1425,0
