Player,Nation,Pos,Age,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
Julian Weigl,de GER,MF,27.0,30.7,66,40,28,32,6,41,67,61.2,26,47,14,33,48,114,61,1,Matches
Nico Elvedi,ch SUI,DF,26.0,27.6,33,18,22,10,1,18,24,75.0,6,40,25,15,43,76,150,2,Matches
Franck Honorat,fr FRA,"DF,FW",26.0,26.1,25,13,13,10,2,11,20,55.0,9,22,3,19,9,34,35,1,Matches
Moritz Nicolas,de GER,GK,25.0,27.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,12,5,Matches
Joe Scally,us USA,DF,20.0,24.8,41,28,21,17,3,23,40,57.5,17,31,11,20,18,59,78,2,Matches
Luca Netz,de GER,DF,20.0,24.7,38,22,19,16,3,23,43,53.5,20,36,10,26,22,60,76,1,Matches
Rocco Reitz,de GER,MF,21.0,23.7,61,36,28,29,4,28,55,50.9,27,61,20,41,44,105,31,1,Matches
Maximilian Wöber,at AUT,DF,25.0,23.0,66,31,40,25,1,31,53,58.5,22,47,26,21,38,104,111,0,Matches
Alassane Pléa,fr FRA,"FW,MF",30.0,21.3,17,7,5,8,4,7,15,46.7,8,11,0,11,2,19,6,0,Matches
Ko Itakura,jp JPN,"DF,MF",26.0,17.7,34,21,17,15,2,16,26,61.5,10,32,18,14,22,56,62,0,Matches
Manu Koné,fr FRA,MF,22.0,17.3,45,26,20,20,5,17,25,68.0,8,22,1,21,15,60,16,1,Matches
Jordan Pefok,us USA,FW,27.0,15.8,10,4,0,8,2,3,8,37.5,5,12,3,9,5,15,28,0,Matches
Marvin Friedrich,de GER,DF,27.0,17.4,23,15,16,6,1,12,20,60.0,8,28,20,8,17,40,87,0,Matches
Florian Neuhaus,de GER,MF,26.0,13.6,15,12,7,8,0,8,26,30.8,18,8,6,2,14,29,8,0,Matches
Nathan N'Goumou,fr FRA,"FW,MF",23.0,15.4,37,22,17,18,2,16,34,47.1,18,22,0,22,5,42,17,1,Matches
Robin Hack,de GER,"FW,MF",24.0,15.0,15,8,6,7,2,4,17,23.5,13,16,0,16,14,29,21,0,Matches
Stefan Lainer,at AUT,"DF,MF",30.0,8.3,23,16,15,8,0,14,24,58.3,10,13,6,7,5,28,28,0,Matches
Tomáš Čvančara,cz CZE,FW,22.0,10.0,4,3,0,2,2,1,3,33.3,2,5,1,4,2,6,8,0,Matches
Jonas Omlin,ch SUI,GK,29.0,7.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
Christoph Kramer,de GER,MF,32.0,2.8,10,5,5,5,0,2,14,14.3,12,7,1,6,4,14,6,0,Matches
Fabio Chiarodia,it ITA,DF,18.0,1.7,8,5,5,1,2,5,7,71.4,2,2,1,1,3,11,9,0,Matches
Patrick Herrmann,de GER,"FW,DF",32.0,1.0,4,4,2,1,1,2,2,100.0,0,1,0,1,1,5,2,0,Matches
Grant Ranos,am ARM,"MF,FW",20.0,0.5,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,Matches
Lukas Ullrich,de GER,"DF,FW",19.0,0.5,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,1,0,Matches
Shiō Fukuda,jp JPN,"FW,MF",19.0,0.4,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,Matches
Tony Jantschke,de GER,"DF,MF",33.0,0.3,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,4,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",19.0,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,Matches
Squad Total,0,0,25.4,34.0,582,337,291,247,44,287,534,53.7,247,465,168,297,333,915,860,15,0
Opponent Total,0,0,26.7,34.0,581,358,246,233,102,261,498,52.4,237,404,105,299,286,867,552,6,0
