Player,Nation,Pos,Age,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Matches
Julian Weigl,de GER,MF,27.0,30.7,52,1.69,42,2,3,1,1,3,5,0.16,5,0,0,0,0,0,Matches
Nico Elvedi,ch SUI,DF,26.0,27.6,22,0.8,20,0,0,2,0,0,3,0.11,3,0,0,0,0,0,Matches
Franck Honorat,fr FRA,"DF,FW",26.0,26.1,133,5.1,79,47,3,1,2,1,18,0.69,12,5,0,0,0,1,Matches
Moritz Nicolas,de GER,GK,25.0,27.0,9,0.33,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Scally,us USA,DF,20.0,24.8,30,1.21,23,2,0,1,3,1,5,0.2,5,0,0,0,0,0,Matches
Luca Netz,de GER,DF,20.0,24.7,70,2.83,49,13,3,4,0,1,8,0.32,7,1,0,0,0,0,Matches
Rocco Reitz,de GER,MF,21.0,23.7,63,2.66,42,0,7,5,4,5,8,0.34,5,0,2,0,0,1,Matches
Maximilian Wöber,at AUT,DF,25.0,23.0,32,1.4,23,2,0,5,0,2,7,0.31,4,1,0,2,0,0,Matches
Alassane Pléa,fr FRA,"FW,MF",30.0,21.3,77,3.62,55,6,5,4,7,0,11,0.52,7,1,2,0,1,0,Matches
Ko Itakura,jp JPN,"DF,MF",26.0,17.7,17,0.96,16,0,0,1,0,0,3,0.17,3,0,0,0,0,0,Matches
Manu Koné,fr FRA,MF,22.0,17.3,59,3.4,42,0,7,6,4,0,3,0.17,0,0,0,2,1,0,Matches
Jordan Pefok,us USA,FW,27.0,15.8,35,2.22,25,0,2,5,3,0,6,0.38,4,0,0,1,1,0,Matches
Marvin Friedrich,de GER,DF,27.0,17.4,14,0.81,11,0,1,2,0,0,1,0.06,1,0,0,0,0,0,Matches
Florian Neuhaus,de GER,MF,26.0,13.6,47,3.46,36,0,2,9,0,0,5,0.37,5,0,0,0,0,0,Matches
Nathan N'Goumou,fr FRA,"FW,MF",23.0,15.4,42,2.73,27,0,8,4,3,0,4,0.26,3,0,0,1,0,0,Matches
Robin Hack,de GER,"FW,MF",24.0,15.0,45,3.0,32,8,4,1,0,0,2,0.13,2,0,0,0,0,0,Matches
Stefan Lainer,at AUT,"DF,MF",30.0,8.3,19,2.28,18,0,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
Tomáš Čvančara,cz CZE,FW,22.0,10.0,20,2.01,10,0,2,7,0,1,3,0.3,1,0,0,2,0,0,Matches
Jonas Omlin,ch SUI,GK,29.0,7.0,2,0.29,1,1,0,0,0,0,2,0.29,1,1,0,0,0,0,Matches
Christoph Kramer,de GER,MF,32.0,2.8,5,1.8,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabio Chiarodia,it ITA,DF,18.0,1.7,1,0.59,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Herrmann,de GER,"FW,DF",32.0,1.0,7,7.33,4,2,0,1,0,0,1,1.05,1,0,0,0,0,0,Matches
Grant Ranos,am ARM,"MF,FW",20.0,0.5,2,3.6,2,0,0,0,0,0,1,1.8,1,0,0,0,0,0,Matches
Lukas Ullrich,de GER,"DF,FW",19.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Shiō Fukuda,jp JPN,"FW,MF",19.0,0.4,2,4.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tony Jantschke,de GER,"DF,MF",33.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",19.0,0.2,1,5.0,0,0,0,0,1,0,1,5.0,0,0,0,0,1,0,Matches
Squad Total,0,0,25.4,34.0,806,23.71,572,85,47,59,29,14,98,2.88,71,9,4,8,4,2,0
Opponent Total,0,0,26.7,34.0,1009,29.68,740,94,49,61,43,22,119,3.5,88,7,11,3,7,3,0
