D a t e,T i m e,C o m p,R o u n d,D a y,V e n u e,R e s u l t,G F,G A,O p p o n e n t,x G,x G A,P o s s,A t t e n d a n c e,C a p t a i n,F o r m a t i o n,R e f e r e e,M a t c h   R e p o r t,N o t e s
2023-08-11,18:00,DFB-Pokal,Round of 64,Fri,Away,W,7,0,TuS Bersenbrück,0.0,0.0,59,16098,Jonas Omlin,4-2-3-1,Alexander Sather,Match Report,0
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,D,4,4,Augsburg,1.7,2.3,44,30660,Jonas Omlin,4-2-3-1,Daniel Schlager,Match Report,0
2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Home,L,0,3,Leverkusen,0.9,2.7,40,54042,Jonas Omlin,5-4-1,Christian Dingert,Match Report,0
2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Home,L,1,2,Bayern Munich,0.3,2.4,35,54042,Julian Weigl,4-1-4-1,Deniz Aytekin,Match Report,0
2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Away,D,3,3,Darmstadt 98,3.9,1.2,63,17810,Julian Weigl,4-2-3-1,Timo Gerach,Match Report,0
2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,1,RB Leipzig,0.8,0.7,45,50122,Julian Weigl,3-5-2,Robert Schröder,Match Report,0
2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,1,Bochum,2.9,1.7,42,26000,Julian Weigl,3-5-2,Felix Brych,Match Report,0
2023-10-06,20:30,Bundesliga,Matchweek 7,Fri,Home,D,2,2,Mainz 05,2.3,0.8,60,51529,Julian Weigl,3-5-2,Sven Jablonski,Match Report,0
2023-10-22,15:30,Bundesliga,Matchweek 8,Sun,Away,L,1,3,Köln,0.3,2.7,40,50000,Julian Weigl,3-5-2,Deniz Aytekin,Match Report,0
2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,W,2,1,Heidenheim,1.0,0.4,53,51541,Julian Weigl,4-2-3-1,Robert Hartmann,Match Report,0
2023-10-31,20:45,DFB-Pokal,Round of 32,Tue,Home,W,3,1,Heidenheim,0.0,0.0,48,41660,Julian Weigl,4-2-3-1,Timo Gerach,Match Report,0
2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,D,3,3,Freiburg,2.2,3.3,41,34700,Julian Weigl,4-4-1-1,Felix Brych,Match Report,0
2023-11-10,20:30,Bundesliga,Matchweek 11,Fri,Home,W,4,0,Wolfsburg,1.5,0.5,47,45308,Julian Weigl,3-5-2,Felix Zwayer,Match Report,0
2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,L,2,4,Dortmund,1.0,3.2,49,81365,Julian Weigl,3-5-2,Sven Jablonski,Match Report,0
2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,Hoffenheim,1.6,1.4,49,49341,Florian Neuhaus,3-5-1-1,Tobias Reichel,Match Report,0
2023-12-05,20:45,DFB-Pokal,Round of 16,Tue,Home,W,1,0,Wolfsburg,0.0,0.0,50,39827,Julian Weigl,3-1-4-2,Bastian Dankert,Match Report,Required Extra Time
2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,3,Union Berlin,1.1,2.1,62,22012,Julian Weigl,3-1-4-2,Martin Petersen,Match Report,0
2023-12-15,20:30,Bundesliga,Matchweek 15,Fri,Home,D,2,2,Werder Bremen,1.4,1.6,50,50660,Julian Weigl,3-5-2,Felix Zwayer,Match Report,0
2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,L,1,2,Eint Frankfurt,0.3,1.4,37,58000,Julian Weigl,3-4-3,Florian Badstübner,Match Report,0
2024-01-14,17:30,Bundesliga,Matchweek 17,Sun,Home,W,3,1,Stuttgart,1.9,0.9,29,53429,Julian Weigl,4-3-3,Harm Osmers,Match Report,0
2024-01-21,17:30,Bundesliga,Matchweek 18,Sun,Home,L,1,2,Augsburg,1.7,1.3,55,44867,Alassane Pléa,4-4-2,Martin Petersen,Match Report,0
2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Away,D,0,0,Leverkusen,0.3,2.9,25,30210,Julian Weigl,5-3-2,Deniz Aytekin,Match Report,0
2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,L,1,3,Bayern Munich,1.0,2.1,45,75000,Julian Weigl,4-1-4-1,Tobias Stieler,Match Report,0
2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,D,0,0,Darmstadt 98,1.5,0.7,58,46121,Julian Weigl,3-5-2,Sascha Stegemann,Match Report,0
2024-02-17,18:30,Bundesliga,Matchweek 22,Sat,Away,L,0,2,RB Leipzig,0.7,1.7,51,44822,Julian Weigl,3-5-2,Sören Storks,Match Report,0
2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Home,W,5,2,Bochum,3.5,1.6,48,53196,Julian Weigl,4-3-3,Frank Willenborg,Match Report,0
2024-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Mainz 05,1.0,1.0,57,33305,Julian Weigl,4-3-3,Robert Schröder,Match Report,0
2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Home,D,3,3,Köln,1.8,0.6,58,54042,Julian Weigl,4-2-3-1,Felix Zwayer,Match Report,0
2024-03-12,20:30,DFB-Pokal,Quarter-finals,Tue,Away,L,1,2,Saarbrücken,0.0,0.0,73,15903,Julian Weigl,3-4-3,Robert Hartmann,Match Report,0
2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Heidenheim,0.5,1.1,47,15000,Julian Weigl,4-3-3,Martin Petersen,Match Report,0
2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,L,0,3,Freiburg,1.5,1.7,54,53259,Jonas Omlin,4-2-3-1,Christian Dingert,Match Report,0
2024-04-07,17:30,Bundesliga,Matchweek 28,Sun,Away,W,3,1,Wolfsburg,1.1,1.2,39,26105,Julian Weigl,3-4-3,Bastian Dankert,Match Report,0
2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,L,1,2,Dortmund,1.1,1.3,46,54042,Jonas Omlin,3-4-3,Florian Badstübner,Match Report,0
2024-04-20,15:30,Bundesliga,Matchweek 30,Sat,Away,L,3,4,Hoffenheim,1.0,2.3,41,26078,Julian Weigl,5-4-1,Sören Storks,Match Report,0
2024-04-28,15:30,Bundesliga,Matchweek 31,Sun,Home,D,0,0,Union Berlin,0.9,1.0,52,53723,Alassane Pléa,3-4-3,Sascha Stegemann,Match Report,0
2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,D,2,2,Werder Bremen,1.9,1.4,44,42100,Julian Weigl,3-1-4-2,Timo Gerach,Match Report,0
2024-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Eint Frankfurt,0.4,1.5,44,54042,Julian Weigl,3-5-2,Robert Schröder,Match Report,0
2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,0,4,Stuttgart,1.3,1.6,40,60000,Jonas Omlin,4-1-4-1,Daniel Schlager,Match Report,0
