Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Matches
Julian Weigl,de GER,MF,27.0,31,31,2764.0,30.7,2.0,3.0,5.0,0.0,2.0,2.0,10.0,0.0,2.4,0.9,2.1,2.9,14.0,105.0,14.0,0.07,0.1,0.16,0.0,0.1,0.08,0.07,0.15,0.03,0.09,Matches
Nico Elvedi,ch SUI,DF,26.0,30,28,2482.0,27.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,0.1,1.7,37.0,109.0,6.0,0.07,0.04,0.11,0.07,0.11,0.06,0.0,0.06,0.06,0.06,Matches
Franck Honorat,fr FRA,"DF,FW",26.0,32,28,2345.0,26.1,3.0,9.0,12.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,9.3,10.8,97.0,93.0,242.0,0.12,0.35,0.46,0.12,0.46,0.06,0.36,0.42,0.06,0.42,Matches
Moritz Nicolas,de GER,GK,25.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joe Scally,us USA,DF,20.0,31,25,2236.0,24.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,1.9,39.0,75.0,75.0,0.04,0.16,0.2,0.04,0.2,0.02,0.06,0.08,0.02,0.08,Matches
Luca Netz,de GER,DF,20.0,30,25,2225.0,24.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,3.9,46.0,81.0,99.0,0.0,0.16,0.16,0.0,0.16,0.04,0.12,0.16,0.04,0.16,Matches
Rocco Reitz,de GER,MF,21.0,34,24,2136.0,23.7,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,3.7,3.7,2.4,6.0,41.0,110.0,58.0,0.25,0.13,0.38,0.25,0.38,0.15,0.1,0.25,0.15,0.25,Matches
Maximilian Wöber,at AUT,DF,25.0,25,24,2066.0,23.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,1.3,1.3,1.6,2.9,32.0,128.0,23.0,0.09,0.13,0.22,0.09,0.22,0.06,0.07,0.13,0.06,0.13,Matches
Alassane Pléa,fr FRA,"FW,MF",30.0,27,24,1913.0,21.3,7.0,4.0,11.0,6.0,1.0,1.0,1.0,0.0,7.0,6.2,4.0,10.2,56.0,115.0,157.0,0.33,0.19,0.52,0.28,0.47,0.33,0.19,0.52,0.29,0.48,Matches
Ko Itakura,jp JPN,"DF,MF",26.0,20,18,1596.0,17.7,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,1.3,1.3,0.2,1.5,14.0,36.0,7.0,0.17,0.0,0.17,0.17,0.17,0.08,0.01,0.09,0.08,0.09,Matches
Manu Koné,fr FRA,MF,22.0,22,18,1561.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.2,1.2,1.2,2.4,42.0,70.0,56.0,0.06,0.0,0.06,0.06,0.06,0.07,0.07,0.14,0.07,0.14,Matches
Jordan Pefok,us USA,FW,27.0,25,18,1420.0,15.8,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,6.5,6.5,2.5,8.9,5.0,22.0,73.0,0.32,0.19,0.51,0.32,0.51,0.41,0.16,0.57,0.41,0.57,Matches
Marvin Friedrich,de GER,DF,27.0,24,17,1566.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.7,2.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Florian Neuhaus,de GER,MF,26.0,25,15,1224.0,13.6,4.0,2.0,6.0,3.0,1.0,1.0,4.0,0.0,4.3,3.5,1.8,5.4,30.0,74.0,43.0,0.29,0.15,0.44,0.22,0.37,0.32,0.13,0.45,0.26,0.39,Matches
