Player,Nation,Pos,Age,MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Matches
Julian Weigl,de GER,MF,27.0,31,2764.0,89.0,90.3,30.7,31,89.0,29,0,0.0,0,0.97,53.0,63.0,-10.0,-0.33,-0.02,41.5,49.0,-7.4,-0.24,-0.13,Matches
Nico Elvedi,ch SUI,DF,26.0,30,2482.0,83.0,81.1,27.6,28,87.0,24,2,27.0,1,1.0,44.0,48.0,-4.0,-0.15,0.94,35.7,40.5,-4.8,-0.17,0.28,Matches
Franck Honorat,fr FRA,"DF,FW",26.0,32,2345.0,73.0,76.6,26.1,28,81.0,10,4,16.0,0,1.06,47.0,50.0,-3.0,-0.12,0.89,36.9,38.0,-1.1,-0.04,0.8,Matches
Moritz Nicolas,de GER,GK,25.0,27,2430.0,90.0,79.4,27.0,27,90.0,27,0,0.0,7,1.07,47.0,49.0,-2.0,-0.07,1.21,38.3,41.9,-3.6,-0.13,0.46,Matches
Joe Scally,us USA,DF,20.0,31,2236.0,72.0,73.1,24.8,25,85.0,19,6,20.0,3,1.06,43.0,50.0,-7.0,-0.28,0.16,31.2,42.2,-11.0,-0.44,-0.8,Matches
Luca Netz,de GER,DF,20.0,30,2225.0,74.0,72.7,24.7,25,82.0,14,5,33.0,1,1.0,39.0,43.0,-4.0,-0.16,0.59,34.6,36.7,-2.0,-0.08,0.53,Matches
Rocco Reitz,de GER,MF,21.0,34,2136.0,63.0,69.8,23.7,24,80.0,7,10,21.0,0,1.0,39.0,45.0,-6.0,-0.25,0.23,33.1,37.8,-4.7,-0.2,0.09,Matches
Maximilian Wöber,at AUT,DF,25.0,25,2066.0,83.0,67.5,23.0,24,85.0,17,1,21.0,0,0.96,45.0,46.0,-1.0,-0.04,0.86,32.7,35.7,-3.0,-0.13,0.31,Matches
Alassane Pléa,fr FRA,"FW,MF",30.0,27,1913.0,71.0,62.5,21.3,24,75.0,5,3,34.0,0,1.0,37.0,41.0,-4.0,-0.19,0.36,25.1,33.9,-8.7,-0.41,-0.48,Matches
Ko Itakura,jp JPN,"DF,MF",26.0,20,1596.0,80.0,52.2,17.7,18,87.0,13,2,20.0,0,0.8,23.0,36.0,-13.0,-0.73,-0.86,24.0,26.6,-2.5,-0.14,0.18,Matches
Manu Koné,fr FRA,MF,22.0,22,1561.0,71.0,51.0,17.3,18,83.0,7,4,19.0,1,1.0,26.0,30.0,-4.0,-0.23,0.19,22.3,24.7,-2.4,-0.14,0.18,Matches
Jordan Pefok,us USA,FW,27.0,25,1420.0,57.0,46.4,15.8,18,74.0,6,7,14.0,1,1.0,28.0,31.0,-3.0,-0.19,0.25,27.2,22.0,5.2,0.33,1.05,Matches
Marvin Friedrich,de GER,DF,27.0,24,1566.0,65.0,51.2,17.4,17,85.0,14,7,17.0,9,0.96,23.0,39.0,-16.0,-0.92,-1.22,20.8,33.1,-12.4,-0.71,-0.99,Matches
Florian Neuhaus,de GER,MF,26.0,25,1224.0,49.0,40.0,13.6,15,71.0,2,10,16.0,7,1.04,22.0,24.0,-2.0,-0.15,0.29,20.2,21.6,-1.3,-0.1,0.22,Matches
Nathan N'Goumou,fr FRA,"FW,MF",23.0,32,1385.0,43.0,45.3,15.4,14,70.0,0,18,23.0,2,0.94,27.0,31.0,-4.0,-0.26,0.12,21.7,25.0,-3.3,-0.21,0.03,Matches
Robin Hack,de GER,"FW,MF",24.0,29,1348.0,46.0,44.1,15.0,14,75.0,3,15,20.0,3,0.97,23.0,26.0,-3.0,-0.2,0.22,20.2,22.7,-2.6,-0.17,0.1,Matches
Stefan Lainer,at AUT,"DF,MF",30.0,15,751.0,50.0,24.5,8.3,8,73.0,2,7,24.0,2,0.8,13.0,18.0,-5.0,-0.6,-0.37,10.4,12.9,-2.5,-0.3,-0.1,Matches
Tomáš Čvančara,cz CZE,FW,22.0,21,896.0,43.0,29.3,10.0,7,75.0,1,14,27.0,0,0.9,19.0,23.0,-4.0,-0.4,-0.11,14.7,20.4,-5.6,-0.57,-0.48,Matches
Jonas Omlin,ch SUI,GK,29.0,7,630.0,90.0,20.6,7.0,7,90.0,7,0,0.0,1,0.71,9.0,18.0,-9.0,-1.29,-1.21,8.2,12.4,-4.2,-0.6,-0.46,Matches
Christoph Kramer,de GER,MF,32.0,14,249.0,18.0,8.1,2.8,1,58.0,0,13,15.0,6,1.47,3.0,10.0,-7.0,-2.53,-2.4,3.4,8.0,-4.6,-1.66,-1.55,Matches
Fabio Chiarodia,it ITA,DF,18.0,7,152.0,22.0,5.0,1.7,1,79.0,0,6,12.0,17,1.57,2.0,5.0,-3.0,-1.78,-1.53,2.7,4.3,-1.5,-0.9,-0.71,Matches
Patrick Herrmann,de GER,"FW,DF",32.0,8,86.0,11.0,2.8,1.0,0,0.0,0,8,11.0,21,1.38,2.0,2.0,0.0,0.0,0.33,1.9,1.4,0.6,0.58,0.83,Matches
Grant Ranos,am ARM,"MF,FW",20.0,9,49.0,5.0,1.6,0.5,0,0.0,0,9,5.0,11,1.0,1.0,0.0,1.0,1.84,2.2,1.5,0.8,0.7,1.21,1.46,Matches
Lukas Ullrich,de GER,"DF,FW",19.0,4,47.0,12.0,1.5,0.5,0,0.0,0,4,12.0,2,0.0,0.0,3.0,-3.0,-5.74,-5.51,0.6,0.8,-0.3,-0.52,-0.3,Matches
Shiō Fukuda,jp JPN,"FW,MF",19.0,5,36.0,7.0,1.2,0.4,0,0.0,0,5,7.0,1,0.2,0.0,2.0,-2.0,-5.0,-4.73,0.5,1.5,-1.0,-2.4,-2.2,Matches
Tony Jantschke,de GER,"DF,MF",33.0,4,27.0,7.0,0.9,0.3,0,0.0,0,4,7.0,8,1.75,1.0,1.0,0.0,0.0,0.33,0.6,0.5,0.1,0.18,0.42,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",19.0,3,18.0,6.0,0.6,0.2,0,0.0,0,3,6.0,4,0.67,1.0,0.0,1.0,5.0,5.36,0.9,0.4,0.5,2.62,2.86,Matches
Jan Olschowsky,de GER,GK,21.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tobias Sippel,de GER,GK,35.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simon Walde,de GER,DF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,0,0,25.4,34,3060.0,90.0,100.0,34.0,374,82.0,207,167,18.0,138,1.0,56.0,67.0,-11.0,-0.32,0.0,46.5,54.2,-7.8,-0.23,0.0,0
Opponent Total,0,0,26.7,34,3060.0,90.0,100.0,34.0,374,82.0,223,149,21.0,154,1.62,67.0,56.0,11.0,0.32,0.0,54.2,46.5,7.8,0.23,0.0,0
